Elecció;Any;CUSEC;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;ICV / Comuns;% ICV / Comuns;Podemos;% Podemos;PP;% PP;VOX;% VOX;SALF;% SALF;PACMA;% PACMA;Cs;% Cs;Altres;% Altres;Partido X;% Partido X;UPyD;% UPyD
Europees;2009;;1;1;1020;518;19;0;499;50.78%;56;10.81%;264;50.97%;63;12.16%;24;4.63%;;;74;14.29%;;;;;2;0.39%;;;16;3.09%;8;1.16%;1;0.14%
Europees;2009;;1;2;1094;473;22;1;450;43.24%;50;10.59%;178;37.71%;71;15.04%;35;7.42%;;;84;17.80%;;;;;1;0.21%;;;31;6.57%;14;2.24%;1;0.16%
Europees;2009;;1;4;1257;531;25;3;503;42.24%;84;15.91%;198;37.50%;85;16.10%;43;8.14%;;;70;13.26%;;;;;3;0.57%;;;20;3.79%;23;2.54%;2;0.22%
Europees;2009;;1;5;889;435;13;0;422;48.93%;78;17.93%;177;40.69%;54;12.41%;22;5.06%;;;65;14.94%;;;;;4;0.92%;;;22;5.06%;7;1.18%;4;0.67%
Europees;2009;;1;6;1190;513;23;0;490;43.11%;82;15.98%;211;41.13%;51;9.94%;28;5.46%;;;92;17.93%;;;;;2;0.39%;;;24;4.68%;4;0.54%;9;1.22%
Europees;2009;;1;7;1189;554;24;2;528;46.59%;99;17.93%;208;37.68%;59;10.69%;32;5.80%;;;105;19.02%;;;;;2;0.36%;;;23;4.17%;4;0.51%;0;0.00%
Europees;2009;;1;8;1507;659;19;10;630;43.73%;87;13.41%;290;44.68%;79;12.17%;37;5.70%;;;98;15.10%;;;;;7;1.08%;;;32;4.93%;8;0.73%;9;0.82%
Europees;2009;;1;9;847;352;12;2;338;41.56%;53;15.14%;134;38.29%;41;11.71%;28;8.00%;;;66;18.86%;;;;;2;0.57%;;;14;4.00%;3;0.49%;1;0.16%
Europees;2009;;1;10;915;367;20;0;347;40.11%;93;25.34%;133;36.24%;56;15.26%;22;5.99%;;;32;8.72%;;;;;1;0.27%;;;10;2.72%;6;1.09%;3;0.54%
Europees;2009;;1;11;937;335;15;4;316;35.75%;145;43.81%;52;15.71%;32;9.67%;24;7.25%;;;44;13.29%;;;;;1;0.30%;;;18;5.44%;14;2.99%;3;0.64%
Europees;2009;;1;12;1096;397;10;6;381;36.22%;119;30.43%;88;22.51%;42;10.74%;47;12.02%;;;59;15.09%;;;;;2;0.51%;;;24;6.14%;0;0.00%;11;2.01%
Europees;2009;;1;13;624;225;4;6;215;36.06%;112;51.14%;19;8.68%;10;4.57%;29;13.24%;;;36;16.44%;;;;;0;0.00%;;;9;4.11%;6;2.08%;4;1.38%
Europees;2009;;1;14;1608;623;21;6;596;38.74%;291;47.16%;89;14.42%;36;5.83%;24;3.89%;;;128;20.75%;;;;;2;0.32%;;;26;4.21%;10;1.36%;13;1.77%
Europees;2009;;1;15;920;359;21;0;338;39.02%;141;39.28%;51;14.21%;43;11.98%;39;10.86%;;;52;14.48%;;;;;1;0.28%;;;11;3.06%;2;0.42%;3;0.64%
Europees;2009;;1;16;1784;715;17;9;689;40.08%;215;30.45%;196;27.76%;89;12.61%;57;8.07%;;;93;13.17%;;;;;6;0.85%;;;33;4.67%;10;1.01%;7;0.70%
Europees;2009;;1;17;1635;712;23;6;683;43.55%;144;20.40%;285;40.37%;76;10.76%;72;10.20%;;;84;11.90%;;;;;2;0.28%;;;20;2.83%;3;0.29%;3;0.29%
Europees;2009;;1;18;424;202;9;1;192;47.64%;35;17.41%;73;36.32%;31;15.42%;18;8.96%;;;17;8.46%;;;;;2;1.00%;;;16;7.96%;1;0.36%;2;0.72%
Europees;2009;;1;19;928;358;10;0;348;38.58%;141;39.39%;74;20.67%;30;8.38%;30;8.38%;;;61;17.04%;;;;;0;0.00%;;;12;3.35%;10;1.70%;4;0.68%
Europees;2009;;1;20;861;391;27;2;362;45.41%;108;27.76%;106;27.25%;44;11.31%;32;8.23%;;;52;13.37%;;;;;1;0.26%;;;19;4.88%;4;0.66%;11;1.82%
Europees;2009;;1;21;1059;408;12;6;390;38.53%;149;37.06%;89;22.14%;46;11.44%;27;6.72%;;;56;13.93%;;;;;0;0.00%;;;23;5.72%;9;1.65%;13;2.39%
Europees;2009;;1;22;1260;504;21;3;480;40.00%;122;24.35%;163;32.53%;47;9.38%;32;6.39%;;;95;18.96%;;;;;3;0.60%;;;18;3.59%;4;0.53%;7;0.92%
Europees;2009;;1;23;903;423;17;1;405;46.84%;115;27.25%;131;31.04%;46;10.90%;29;6.87%;;;55;13.03%;;;;;1;0.24%;;;28;6.64%;4;0.66%;7;1.15%
Europees;2009;;1;24;600;304;7;4;293;50.67%;48;16.00%;125;41.67%;41;13.67%;21;7.00%;;;44;14.67%;;;;;2;0.67%;;;12;4.00%;7;1.63%;1;0.23%
Europees;2009;;2;1;1050;444;5;2;437;42.29%;245;55.43%;29;6.56%;19;4.30%;31;7.01%;;;97;21.95%;;;;;0;0.00%;;;16;3.62%;1;0.22%;17;3.68%
Europees;2009;;2;2;507;202;0;5;197;39.84%;111;56.35%;18;9.14%;7;3.55%;8;4.06%;;;49;24.87%;;;;;0;0.00%;;;4;2.03%;5;2.27%;3;1.36%
Europees;2009;;2;3;531;206;1;1;204;38.79%;139;67.80%;16;7.80%;3;1.46%;6;2.93%;;;35;17.07%;;;;;0;0.00%;;;5;2.44%;1;0.33%;4;1.32%
Europees;2009;;2;4;761;303;6;1;296;39.82%;184;60.93%;11;3.64%;5;1.66%;20;6.62%;;;64;21.19%;;;;;0;0.00%;;;12;3.97%;5;1.79%;6;2.15%
Europees;2009;;2;5;789;333;5;1;327;42.21%;190;57.23%;26;7.83%;10;3.01%;21;6.33%;;;59;17.77%;;;;;1;0.30%;;;20;6.02%;5;1.52%;10;3.05%
Europees;2009;;2;6;682;285;4;0;281;41.79%;145;50.88%;35;12.28%;13;4.56%;0;0.00%;;;59;20.70%;;;;;2;0.70%;;;27;9.47%;8;2.63%;3;0.99%
Europees;2009;;2;7;308;108;4;0;104;35.06%;44;40.74%;11;10.19%;4;3.70%;8;7.41%;;;28;25.93%;;;;;0;0.00%;;;9;8.33%;3;1.07%;6;2.14%
Europees;2009;;2;8;742;259;8;1;250;34.91%;135;52.33%;19;7.36%;4;1.55%;17;6.59%;;;66;25.58%;;;;;1;0.39%;;;8;3.10%;9;2.01%;8;1.79%
Europees;2009;;2;9;576;248;1;4;243;43.06%;142;58.20%;17;6.97%;10;4.10%;18;7.38%;;;45;18.44%;;;;;1;0.41%;;;10;4.10%;10;3.08%;6;1.85%
Europees;2009;;2;10;453;187;6;0;181;41.28%;92;49.20%;18;9.63%;15;8.02%;13;6.95%;;;34;18.18%;;;;;0;0.00%;;;9;4.81%;0;0.00%;14;6.01%
Europees;2009;;2;11;820;280;6;1;273;34.15%;170;60.93%;19;6.81%;2;0.72%;18;6.45%;;;52;18.64%;;;;;0;0.00%;;;12;4.30%;7;1.29%;10;1.85%
Europees;2009;;2;12;646;262;7;0;255;40.56%;149;56.87%;29;11.07%;6;2.29%;14;5.34%;;;45;17.18%;;;;;2;0.76%;;;10;3.82%;0;0.00%;5;3.09%
Europees;2009;;2;14;1328;344;11;1;332;25.90%;187;54.52%;35;10.20%;14;4.08%;28;8.16%;;;56;16.33%;;;;;2;0.58%;;;10;2.92%;9;1.92%;14;2.99%
Europees;2009;;2;15;661;149;2;0;147;22.54%;80;53.69%;35;23.49%;4;2.68%;6;4.03%;;;20;13.42%;;;;;0;0.00%;;;2;1.34%;3;0.78%;6;1.57%
Europees;2009;;2;16;1074;276;5;1;270;25.70%;126;45.82%;31;11.27%;18;6.55%;27;9.82%;;;49;17.82%;;;;;1;0.36%;;;18;6.55%;6;1.01%;9;1.51%
Europees;2009;;2;17;653;187;3;1;183;28.64%;114;61.29%;18;9.68%;3;1.61%;14;7.53%;;;22;11.83%;;;;;1;0.54%;;;11;5.91%;15;2.73%;6;1.09%
Europees;2009;;3;1;1328;473;9;5;459;35.62%;199;42.52%;109;23.29%;30;6.41%;30;6.41%;;;64;13.68%;;;;;0;0.00%;;;27;5.77%;7;1.43%;13;2.65%
Europees;2009;;3;2;992;382;15;1;366;38.51%;140;36.75%;86;22.57%;45;11.81%;22;5.77%;;;51;13.39%;;;;;1;0.26%;;;21;5.51%;8;2.27%;2;0.57%
Europees;2009;;3;3;1149;398;6;3;389;34.64%;186;47.09%;55;13.92%;26;6.58%;33;8.35%;;;67;16.96%;;;;;1;0.25%;;;21;5.32%;7;1.00%;6;0.85%
Europees;2009;;3;4;875;281;7;0;274;32.11%;136;48.40%;41;14.59%;7;2.49%;24;8.54%;;;58;20.64%;;;;;0;0.00%;;;8;2.85%;13;1.77%;10;1.36%
Europees;2009;;3;5;1276;447;13;2;432;35.03%;133;29.89%;146;32.81%;52;11.69%;31;6.97%;;;50;11.24%;;;;;6;1.35%;;;14;3.15%;11;1.42%;15;1.94%
Europees;2009;;3;6;1344;501;22;6;473;37.28%;164;33.13%;144;29.09%;44;8.89%;30;6.06%;;;62;12.53%;;;;;4;0.81%;;;25;5.05%;11;1.81%;5;0.82%
