Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;Cs;% Cs;ERC;% ERC;ICV;% ICV;PP;% PP;PACMA;% PACMA;Partido X;% Partido X;Podemos;% Podemos;PSC;% PSC;UPyD;% UPyD;VOX;% VOX;Altres;% Altres
1;1;1033;692;7;2;683;66.99%;353;51.16%;15;2.17%;178;25.80%;32;4.64%;52;7.54%;4;0.58%;8;1.16%;6;0.87%;23;3.33%;1;0.14%;1;0.14%;10;1.45%
1;2;1070;632;9;7;616;59.07%;242;38.72%;7;1.12%;195;31.20%;44;7.04%;56;8.96%;4;0.64%;14;2.24%;9;1.44%;22;3.52%;1;0.16%;2;0.32%;20;3.20%
1;4;1492;910;14;5;891;60.99%;282;31.16%;38;4.20%;298;32.93%;78;8.62%;62;6.85%;9;0.99%;23;2.54%;25;2.76%;45;4.97%;2;0.22%;4;0.44%;25;2.76%
1;5;980;596;13;3;580;60.82%;214;36.09%;29;4.89%;151;25.46%;57;9.61%;42;7.08%;4;0.67%;7;1.18%;13;2.19%;40;6.75%;4;0.67%;2;0.34%;17;2.87%
1;6;1185;742;9;3;730;62.62%;291;39.38%;21;2.84%;207;28.01%;47;6.36%;84;11.37%;4;0.54%;4;0.54%;10;1.35%;31;4.19%;9;1.22%;0;0.00%;22;2.98%
1;7;1331;784;11;4;769;58.90%;282;36.15%;26;3.33%;238;30.51%;48;6.15%;90;11.54%;4;0.51%;4;0.51%;13;1.67%;41;5.26%;0;0.00%;3;0.38%;20;2.56%
1;8;1804;1098;21;4;1073;60.86%;451;41.22%;31;2.83%;321;29.34%;84;7.68%;68;6.22%;10;0.91%;8;0.73%;17;1.55%;46;4.20%;9;0.82%;4;0.37%;24;2.19%
1;9;983;615;14;1;600;62.56%;223;36.32%;16;2.61%;198;32.25%;57;9.28%;51;8.31%;7;1.14%;3;0.49%;11;1.79%;14;2.28%;1;0.16%;3;0.49%;16;2.61%
1;10;954;553;2;1;550;57.97%;157;28.44%;20;3.62%;185;33.51%;71;12.86%;32;5.80%;2;0.36%;6;1.09%;11;1.99%;43;7.79%;3;0.54%;1;0.18%;19;3.44%
1;11;915;470;6;1;463;51.37%;70;14.93%;35;7.46%;119;25.37%;50;10.66%;30;6.40%;7;1.49%;14;2.99%;27;5.76%;88;18.76%;3;0.64%;1;0.21%;19;4.05%
1;12;1084;553;19;5;529;51.01%;109;19.89%;30;5.47%;128;23.36%;67;12.23%;34;6.20%;2;0.36%;0;0.00%;33;6.02%;78;14.23%;11;2.01%;4;0.73%;33;6.02%
1;13;629;290;6;1;283;46.10%;12;4.15%;35;12.11%;33;11.42%;41;14.19%;30;10.38%;5;1.73%;6;2.08%;17;5.88%;87;30.10%;4;1.38%;0;0.00%;13;4.50%
1;14;1559;739;8;5;726;47.40%;88;11.99%;74;10.08%;138;18.80%;65;8.86%;81;11.04%;5;0.68%;10;1.36%;46;6.27%;177;24.11%;13;1.77%;1;0.14%;28;3.81%
1;15;911;472;9;1;462;51.81%;86;18.26%;31;6.58%;102;21.66%;64;13.59%;30;6.37%;14;2.97%;2;0.42%;19;4.03%;92;19.53%;3;0.64%;0;0.00%;19;4.03%
1;16;1805;1001;12;6;983;55.46%;271;27.24%;44;4.42%;296;29.75%;90;9.05%;63;6.33%;19;1.91%;10;1.01%;31;3.12%;115;11.56%;7;0.70%;3;0.30%;34;3.42%
1;17;1637;1027;10;9;1008;62.74%;363;35.66%;19;1.87%;298;29.27%;96;9.43%;45;4.42%;4;0.39%;3;0.29%;36;3.54%;102;10.02%;3;0.29%;5;0.49%;34;3.34%
1;18;443;277;5;1;271;62.53%;98;35.51%;9;3.26%;72;26.09%;28;10.14%;21;7.61%;1;0.36%;1;0.36%;13;4.71%;19;6.88%;2;0.72%;0;0.00%;7;2.54%
