Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Podemos;% Podemos;Cs;% Cs;ERC;% ERC;Junts;% Junts;PACMA;% PACMA;PP;% PP;PSC;% PSC;VOX;% VOX;Altres;% Altres
Europees;2019;1;1;08279801001;1091;843;3;3;837;76.99%;26;3.10%;34;4.05%;175;20.83%;480;57.14%;10;1.19%;39;4.64%;55;6.55%;8;0.95%;10;1.19%
Europees;2019;1;2;08279801002;1115;790;7;0;783;70.85%;40;5.06%;24;3.04%;194;24.56%;384;48.61%;10;1.27%;43;5.44%;67;8.48%;6;0.76%;15;1.92%
Europees;2019;1;4;08279801004;1539;1126;5;5;1116;72.84%;69;6.16%;36;3.21%;289;25.78%;517;46.12%;20;1.78%;42;3.75%;108;9.63%;13;1.16%;22;1.97%
Europees;2019;1;5;08279801005;987;759;5;3;751;76.60%;60;7.94%;39;5.16%;170;22.49%;340;44.97%;4;0.53%;34;4.50%;84;11.11%;6;0.79%;14;1.86%
Europees;2019;1;6;08279801006;1209;897;3;3;891;73.95%;42;4.70%;56;6.26%;199;22.26%;445;49.78%;2;0.22%;37;4.14%;84;9.40%;18;2.01%;8;0.90%
Europees;2019;1;7;08279801007;1427;993;6;1;986;69.52%;43;4.33%;38;3.83%;201;20.26%;476;47.98%;23;2.32%;62;6.25%;110;11.09%;17;1.71%;16;1.62%
Europees;2019;1;8;08279801008;1984;1461;10;0;1451;73.64%;80;5.48%;80;5.48%;345;23.61%;694;47.50%;21;1.44%;63;4.31%;139;9.51%;15;1.03%;14;0.96%
Europees;2019;1;9;08279801009;1050;744;2;1;741;70.76%;49;6.59%;39;5.25%;199;26.78%;341;45.90%;5;0.67%;37;4.98%;48;6.46%;11;1.48%;12;1.62%
Europees;2019;1;10;08279801010;979;693;3;1;689;70.68%;35;5.06%;24;3.47%;203;29.34%;286;41.33%;10;1.45%;27;3.90%;89;12.86%;5;0.72%;10;1.45%
Europees;2019;1;11;08279801011;920;581;3;1;577;63.04%;71;12.24%;60;10.34%;129;22.24%;116;20.00%;2;0.34%;11;1.90%;166;28.62%;7;1.21%;15;2.60%
Europees;2019;1;12;08279801012;1098;691;8;0;683;62.93%;91;13.17%;46;6.66%;166;24.02%;180;26.05%;8;1.16%;19;2.75%;158;22.87%;4;0.58%;11;1.61%
Europees;2019;1;13;08279801013;642;386;7;1;378;59.97%;56;14.55%;33;8.57%;55;14.29%;38;9.87%;11;2.86%;16;4.16%;149;38.70%;14;3.64%;6;1.59%
Europees;2019;1;14;08279801014;1624;929;4;2;923;57.08%;82;8.85%;120;12.94%;186;20.06%;160;17.26%;21;2.27%;55;5.93%;268;28.91%;17;1.83%;14;1.52%
Europees;2019;1;15;08279801015;934;592;0;4;588;62.96%;73;12.41%;44;7.48%;100;17.01%;133;22.62%;12;2.04%;22;3.74%;191;32.48%;10;1.70%;3;0.51%
Europees;2019;1;16;08279801016;1863;1242;0;2;1240;66.56%;85;6.85%;86;6.94%;312;25.16%;430;34.68%;24;1.94%;29;2.34%;231;18.63%;21;1.69%;22;1.77%
Europees;2019;1;17;08279801017;1653;1192;4;0;1188;72.11%;89;7.47%;56;4.70%;299;25.08%;524;43.96%;17;1.43%;35;2.94%;139;11.66%;8;0.67%;21;1.77%
Europees;2019;1;18;08279801018;440;337;4;1;332;76.36%;19;5.65%;22;6.55%;82;24.40%;154;45.83%;2;0.60%;5;1.49%;41;12.20%;1;0.30%;6;1.81%
