Elecció;Any;CDIS;CSEC;CUSEC;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Comuns Sumar;% Comuns Sumar;Cs;% Cs;ERC;% ERC;Junts;% Junts;PACMA;% PACMA;Podemos;% Podemos;PP;% PP;PSC;% PSC;SALF;% SALF;VOX;% VOX;Altres;% Altres
Europees;2024;01;001;0827901001;1;1;1094;585;3;7;575;53.47%;15;2.60%;1;0.17%;88;15.22%;273;47.23%;5;0.87%;32;5.54%;41;7.09%;74;12.80%;8;1.38%;22;3.81%;16;2.78%
Europees;2024;01;002;0827901002;1;2;1161;614;7;1;606;52.89%;38;6.20%;0;0.00%;107;17.46%;226;36.87%;13;2.12%;34;5.55%;74;12.07%;72;11.75%;11;1.79%;18;2.94%;13;2.15%
Europees;2024;01;004;0827901004;1;4;1614;859;1;1;857;53.22%;56;6.53%;1;0.12%;172;20.05%;300;34.97%;7;0.82%;36;4.20%;69;8.04%;148;17.25%;13;1.52%;29;3.38%;26;3.03%
Europees;2024;01;005;0827901005;1;5;1063;587;4;3;580;55.22%;24;4.11%;5;0.86%;124;21.23%;186;31.85%;5;0.86%;23;3.94%;57;9.76%;111;19.01%;10;1.71%;22;3.77%;13;2.24%
Europees;2024;01;006;0827901006;1;6;1227;679;9;2;668;55.34%;24;3.55%;12;1.77%;136;20.09%;242;35.75%;8;1.18%;25;3.69%;68;10.04%;104;15.36%;5;0.74%;33;4.87%;11;1.65%
Europees;2024;01;007;0827901007;1;7;1429;716;5;1;710;50.10%;28;3.92%;4;0.56%;118;16.50%;243;33.99%;8;1.12%;30;4.20%;81;11.33%;138;19.30%;13;1.82%;38;5.31%;9;1.27%
Europees;2024;01;008;0827901008;1;8;991;529;5;0;524;53.38%;10;1.89%;2;0.38%;88;16.64%;220;41.59%;6;1.13%;24;4.54%;56;10.59%;84;15.88%;8;1.51%;19;3.59%;7;1.34%
Europees;2024;01;009;0827901009;1;9;1080;570;5;6;559;52.78%;21;3.72%;3;0.53%;109;19.33%;172;30.50%;7;1.24%;17;3.01%;64;11.35%;105;18.62%;12;2.13%;30;5.32%;19;3.40%
Europees;2024;01;010;0827901010;1;10;1032;563;3;1;559;54.55%;35;6.23%;2;0.36%;108;19.22%;153;27.22%;17;3.02%;32;5.69%;33;5.87%;126;22.42%;13;2.31%;25;4.45%;15;2.68%
Europees;2024;01;011;0827901011;1;11;959;434;6;2;426;45.26%;17;3.94%;3;0.69%;77;17.82%;65;15.05%;8;1.85%;33;7.64%;59;13.66%;112;25.93%;17;3.94%;27;6.25%;8;1.88%
Europees;2024;01;012;0827901012;1;12;1171;599;4;2;593;51.15%;39;6.53%;2;0.34%;103;17.25%;87;14.57%;9;1.51%;27;4.52%;64;10.72%;184;30.82%;21;3.52%;40;6.70%;17;2.87%
Europees;2024;01;013;0827901013;1;13;638;256;4;5;247;40.13%;12;4.78%;2;0.80%;30;11.95%;7;2.79%;7;2.79%;9;3.59%;32;12.75%;101;40.24%;8;3.19%;31;12.35%;8;3.24%
Europees;2024;01;014;0827901014;1;14;1573;747;3;3;741;47.49%;29;3.90%;5;0.67%;86;11.56%;80;10.75%;11;1.48%;44;5.91%;136;18.28%;258;34.68%;30;4.03%;49;6.59%;13;1.75%
Europees;2024;01;015;0827901015;1;15;948;453;3;2;448;47.78%;16;3.55%;5;1.11%;73;16.19%;79;17.52%;9;2.00%;28;6.21%;50;11.09%;141;31.26%;11;2.44%;27;5.99%;9;2.01%
Europees;2024;01;016;0827901016;1;16;1769;880;6;5;869;49.75%;22;2.51%;3;0.34%;167;19.09%;192;21.94%;9;1.03%;27;3.09%;96;10.97%;254;29.03%;12;1.37%;62;7.09%;25;2.88%
Europees;2024;01;017;0827901017;1;17;1664;871;0;4;867;52.34%;43;4.96%;3;0.35%;157;18.11%;265;30.57%;11;1.27%;46;5.31%;78;9.00%;209;24.11%;10;1.15%;26;3.00%;19;2.19%
Europees;2024;01;018;0827901018;1;18;487;290;3;0;287;59.55%;11;3.79%;2;0.69%;70;24.14%;91;31.38%;3;1.03%;14;4.83%;23;7.93%;47;16.21%;7;2.41%;14;4.83%;5;1.74%
Europees;2024;01;019;0827901019;1;19;1147;517;3;1;513;45.07%;23;4.46%;1;0.19%;70;13.57%;66;12.79%;9;1.74%;29;5.62%;72;13.95%;166;32.17%;19;3.68%;38;7.36%;20;3.90%
Europees;2024;01;020;0827901020;1;20;1202;639;4;4;631;53.16%;34;5.35%;12;1.89%;112;17.64%;143;22.52%;7;1.10%;42;6.61%;87;13.70%;150;23.62%;9;1.42%;23;3.62%;12;1.90%
Europees;2024;01;021;0827901021;1;21;1119;520;2;2;516;46.47%;28;5.41%;3;0.58%;91;17.57%;83;16.02%;9;1.74%;30;5.79%;74;14.29%;133;25.68%;15;2.90%;29;5.60%;21;4.07%
Europees;2024;01;022;0827901022;1;22;1436;761;6;2;753;52.99%;23;3.03%;7;0.92%;142;18.71%;175;23.06%;10;1.32%;29;3.82%;87;11.46%;215;28.33%;14;1.84%;44;5.80%;7;0.93%
