Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;PP;% PP;PSC;% PSC;ERC;% ERC;ICV;% ICV;EUiA;% EUiA;Altres;% Altres
Generals;2000;1;1;;1163;874;13;8;853;75.15%;496;57.27%;208;24.02%;75;8.66%;55;6.35%;10;1.15%;4;0.46%;5;0.58%
Generals;2000;1;2;;1076;662;8;1;653;61.52%;379;57.34%;87;13.16%;69;10.44%;80;12.10%;26;3.93%;4;0.61%;8;1.21%
Generals;2000;1;4;;1108;713;14;0;699;64.35%;395;55.40%;94;13.18%;101;14.17%;67;9.40%;23;3.23%;5;0.70%;14;1.96%
Generals;2000;1;5;;1809;1176;14;5;1157;65.01%;569;48.59%;244;20.84%;196;16.74%;101;8.63%;26;2.22%;12;1.02%;9;0.77%
Generals;2000;1;6;;1562;1107;27;1;1079;70.87%;569;51.45%;209;18.90%;162;14.65%;82;7.41%;39;3.53%;9;0.81%;9;0.81%
Generals;2000;1;7;;1112;792;12;1;779;71.22%;393;49.68%;181;22.88%;97;12.26%;68;8.60%;27;3.41%;8;1.01%;5;0.63%
Generals;2000;1;8;;886;676;90;1;585;76.30%;307;45.48%;126;18.67%;80;11.85%;43;6.37%;14;2.07%;12;1.78%;3;0.44%
Generals;2000;1;9;;781;542;10;1;531;69.40%;235;43.44%;138;25.51%;67;12.38%;54;9.98%;23;4.25%;8;1.48%;6;1.11%
Generals;2000;1;10;;675;443;10;0;433;65.63%;235;53.05%;73;16.48%;73;16.48%;29;6.55%;16;3.61%;0;0.00%;7;1.58%
Generals;2000;1;11;;809;537;9;5;523;66.38%;122;22.93%;105;19.74%;218;40.98%;29;5.45%;28;5.26%;11;2.07%;10;1.88%
Generals;2000;1;12;;2438;1594;22;5;1567;65.38%;498;31.34%;312;19.63%;480;30.21%;101;6.36%;94;5.92%;40;2.52%;42;2.64%
Generals;2000;1;13;;616;385;10;0;375;62.50%;56;14.55%;85;22.08%;184;47.79%;6;1.56%;23;5.97%;12;3.12%;9;2.34%
Generals;2000;1;14;;1742;1118;20;4;1094;64.18%;232;20.83%;265;23.79%;471;42.28%;39;3.50%;53;4.76%;15;1.35%;19;1.71%
Generals;2000;1;15;;2008;1315;13;7;1295;65.49%;405;30.96%;262;20.03%;447;34.17%;76;5.81%;48;3.67%;32;2.45%;25;1.91%
Generals;2000;1;16;;1795;1261;22;6;1233;70.25%;448;35.70%;216;17.21%;359;28.61%;107;8.53%;67;5.34%;18;1.43%;18;1.43%
Generals;2000;1;17;;1750;1263;25;12;1226;72.17%;638;51.00%;211;16.87%;218;17.43%;95;7.59%;34;2.72%;22;1.76%;8;0.64%
Generals;2000;1;18;;390;263;6;0;257;67.44%;129;49.05%;43;16.35%;37;14.07%;32;12.17%;9;3.42%;4;1.52%;3;1.14%
Generals;2000;2;1;;1338;902;17;3;882;67.41%;85;9.45%;238;26.47%;450;50.06%;19;2.11%;34;3.78%;32;3.56%;24;2.67%
Generals;2000;2;2;;1053;620;5;0;615;58.88%;40;6.45%;126;20.32%;393;63.39%;5;0.81%;12;1.94%;19;3.06%;20;3.23%
Generals;2000;2;3;;765;490;7;4;479;64.05%;52;10.70%;99;20.37%;288;59.26%;5;1.03%;18;3.70%;8;1.65%;9;1.85%
Generals;2000;2;4;;1123;701;14;2;685;62.42%;73;10.44%;142;20.31%;402;57.51%;8;1.14%;27;3.86%;23;3.29%;10;1.43%
Generals;2000;2;5;;1014;658;6;1;651;64.89%;79;12.02%;152;23.14%;364;55.40%;8;1.22%;20;3.04%;14;2.13%;14;2.13%
Generals;2000;2;6;;835;569;7;2;560;68.14%;104;18.34%;134;23.63%;271;47.80%;9;1.59%;23;4.06%;13;2.29%;6;1.06%
Generals;2000;2;7;;528;344;6;1;337;65.15%;29;8.45%;72;20.99%;189;55.10%;3;0.87%;13;3.79%;15;4.37%;16;4.66%
Generals;2000;2;8;;864;540;5;8;527;62.50%;62;11.65%;105;19.74%;300;56.39%;13;2.44%;28;5.26%;6;1.13%;13;2.44%
Generals;2000;2;9;;744;487;2;2;483;65.46%;42;8.66%;100;20.62%;291;60.00%;4;0.82%;14;2.89%;26;5.36%;6;1.24%
Generals;2000;2;10;;516;343;0;0;343;66.47%;37;10.79%;83;24.20%;197;57.43%;2;0.58%;11;3.21%;6;1.75%;7;2.04%
Generals;2000;2;11;;776;481;8;3;470;61.98%;46;9.62%;105;21.97%;279;58.37%;1;0.21%;17;3.56%;15;3.14%;7;1.46%
Generals;2000;2;12;;966;626;6;6;614;64.80%;89;14.35%;125;20.16%;344;55.48%;7;1.13%;19;3.06%;23;3.71%;7;1.13%
Generals;2000;2;14;;1295;780;8;1;771;60.23%;72;9.24%;157;20.15%;443;56.87%;11;1.41%;35;4.49%;27;3.47%;26;3.34%
Generals;2000;2;15;;749;346;0;2;344;46.19%;58;16.86%;51;14.83%;177;51.45%;3;0.87%;15;4.36%;5;1.45%;35;10.17%
Generals;2000;3;1;;971;622;7;1;614;64.06%;187;30.11%;102;16.43%;252;40.58%;30;4.83%;24;3.86%;9;1.45%;10;1.61%
Generals;2000;3;2;;2019;1282;12;3;1267;63.50%;372;29.09%;251;19.62%;475;37.14%;85;6.65%;31;2.42%;30;2.35%;23;1.80%
Generals;2000;3;3;;1060;631;11;1;619;59.53%;138;21.90%;144;22.86%;263;41.75%;15;2.38%;28;4.44%;16;2.54%;15;2.38%
Generals;2000;3;4;;883;519;6;2;511;58.78%;82;15.86%;132;25.53%;233;45.07%;11;2.13%;28;5.42%;15;2.90%;10;1.93%
Generals;2000;3;5;;1101;691;8;2;681;62.76%;257;37.30%;109;15.82%;230;33.38%;54;7.84%;18;2.61%;10;1.45%;3;0.44%
