Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;ERC;% ERC;Verds;% Verds;ICV;% ICV;PP;% PP;PSC;% PSC;Altres;% Altres
1;1;1086;938;6;2;930;86.37%;487;52.03%;152;16.24%;2;0.21%;26;2.78%;127;13.57%;126;13.46%;10;1.07%
1;2;1077;864;12;1;851;80.22%;349;40.44%;197;22.83%;5;0.58%;42;4.87%;128;14.83%;124;14.37%;6;0.70%
1;4;1191;984;4;5;975;82.62%;346;35.34%;213;21.76%;4;0.41%;57;5.82%;144;14.71%;199;20.33%;12;1.23%
1;5;2504;2071;13;3;2055;82.71%;663;32.06%;418;20.21%;11;0.53%;118;5.71%;271;13.10%;566;27.37%;8;0.39%
1;6;1803;1503;11;1;1491;83.36%;569;37.88%;313;20.84%;10;0.67%;82;5.46%;218;14.51%;281;18.71%;18;1.20%
1;7;1153;944;6;1;937;81.87%;376;39.87%;196;20.78%;5;0.53%;36;3.82%;142;15.06%;179;18.98%;3;0.32%
1;8;934;722;8;1;713;77.30%;281;38.97%;147;20.39%;5;0.69%;40;5.55%;115;15.95%;122;16.92%;3;0.42%
1;9;801;644;6;2;636;80.40%;237;36.92%;135;21.03%;4;0.62%;43;6.70%;85;13.24%;129;20.09%;3;0.47%
1;10;787;645;7;0;638;81.96%;201;31.16%;150;23.26%;3;0.47%;46;7.13%;72;11.16%;163;25.27%;3;0.47%
1;11;779;599;6;4;589;76.89%;107;17.98%;78;13.11%;7;1.18%;39;6.55%;63;10.59%;291;48.91%;4;0.67%
1;12;1046;799;5;3;791;76.39%;166;20.85%;146;18.34%;6;0.75%;65;8.17%;105;13.19%;295;37.06%;8;1.01%
1;13;587;458;5;0;453;78.02%;42;9.17%;44;9.61%;5;1.09%;36;7.86%;69;15.07%;253;55.24%;4;0.87%
1;14;1690;1315;11;10;1294;77.81%;184;14.10%;176;13.49%;17;1.30%;58;4.44%;224;17.16%;626;47.97%;9;0.69%
1;15;924;725;1;0;724;78.46%;155;21.38%;112;15.45%;6;0.83%;50;6.90%;77;10.62%;318;43.86%;6;0.83%
1;16;1813;1453;16;6;1431;80.14%;365;25.22%;321;22.18%;10;0.69%;77;5.32%;179;12.37%;474;32.76%;5;0.35%
1;17;1725;1431;6;7;1418;82.96%;511;35.88%;304;21.35%;6;0.42%;96;6.74%;169;11.87%;325;22.82%;7;0.49%
1;18;372;303;0;0;303;81.45%;96;31.68%;73;24.09%;0;0.00%;13;4.29%;33;10.89%;83;27.39%;5;1.65%
1;19;903;711;7;0;704;78.74%;138;19.41%;91;12.80%;3;0.42%;58;8.16%;117;16.46%;290;40.79%;7;0.98%
1;20;809;702;7;1;694;86.77%;205;29.24%;127;18.12%;3;0.43%;45;6.42%;97;13.84%;213;30.39%;4;0.57%
1;21;997;779;9;1;769;78.13%;215;27.63%;118;15.17%;0;0.00%;58;7.46%;93;11.95%;280;35.99%;5;0.64%
2;1;1156;907;8;2;897;78.46%;93;10.28%;57;6.30%;8;0.88%;58;6.41%;178;19.67%;497;54.92%;6;0.66%
2;2;791;492;5;8;479;62.20%;35;7.23%;27;5.58%;4;0.83%;36;7.44%;76;15.70%;297;61.36%;4;0.83%
2;3;642;449;5;1;443;69.94%;28;6.25%;29;6.47%;2;0.45%;20;4.46%;70;15.63%;287;64.06%;7;1.56%
2;4;930;667;9;2;656;71.72%;67;10.08%;22;3.31%;4;0.60%;47;7.07%;100;15.04%;413;62.11%;3;0.45%
2;5;914;682;7;2;673;74.62%;68;10.00%;36;5.29%;8;1.18%;36;5.29%;118;17.35%;402;59.12%;5;0.74%
2;6;765;592;2;1;589;77.39%;68;11.51%;49;8.29%;2;0.34%;45;7.61%;99;16.75%;323;54.65%;3;0.51%
2;7;430;313;1;1;311;72.79%;20;6.41%;18;5.77%;4;1.28%;23;7.37%;67;21.47%;177;56.73%;2;0.64%
2;8;804;592;7;2;583;73.63%;56;9.49%;42;7.12%;5;0.85%;41;6.95%;119;20.17%;315;53.39%;5;0.85%
2;9;664;476;3;2;471;71.69%;35;7.38%;27;5.70%;4;0.84%;37;7.81%;61;12.87%;304;64.14%;3;0.63%
2;10;513;362;3;3;356;70.57%;28;7.80%;16;4.46%;4;1.11%;24;6.69%;55;15.32%;223;62.12%;6;1.67%
2;11;752;559;4;1;554;74.34%;50;8.96%;32;5.73%;0;0.00%;55;9.86%;88;15.77%;321;57.53%;8;1.43%
2;12;938;652;4;0;648;69.51%;88;13.50%;36;5.52%;7;1.07%;50;7.67%;104;15.95%;357;54.75%;6;0.92%
2;14;1587;1151;14;4;1133;72.53%;113;9.85%;58;5.06%;19;1.66%;96;8.37%;146;12.73%;690;60.16%;11;0.96%
2;15;675;371;2;0;369;54.96%;54;14.56%;16;4.31%;7;1.89%;28;7.55%;31;8.36%;222;59.84%;11;2.96%
3;1;1186;921;7;0;914;77.66%;188;20.41%;121;13.14%;15;1.63%;44;4.78%;117;12.70%;425;46.15%;4;0.43%
3;2;1014;811;6;2;803;79.98%;156;19.28%;154;19.04%;10;1.24%;43;5.32%;119;14.71%;315;38.94%;6;0.74%
3;3;1140;815;9;1;805;71.49%;109;13.39%;88;10.81%;10;1.23%;63;7.74%;123;15.11%;407;50.00%;5;0.61%
3;4;893;636;9;3;624;71.22%;72;11.37%;64;10.11%;7;1.11%;36;5.69%;107;16.90%;330;52.13%;8;1.26%
3;5;1155;867;3;0;864;75.06%;227;26.18%;182;20.99%;10;1.15%;43;4.96%;90;10.38%;312;35.99%;0;0.00%
3;6;1140;941;5;1;935;82.54%;251;26.70%;209;22.23%;15;1.60%;56;5.96%;109;11.60%;290;30.85%;5;0.53%
3;7;1207;973;7;1;965;80.61%;252;25.93%;176;18.11%;14;1.44%;64;6.58%;92;9.47%;361;37.14%;6;0.62%
3;8;1359;965;2;1;962;71.01%;60;6.22%;41;4.25%;21;2.18%;48;4.98%;125;12.97%;662;68.67%;5;0.52%
3;9;1092;875;1;1;873;80.13%;163;18.65%;114;13.04%;6;0.69%;61;6.98%;153;17.51%;373;42.68%;3;0.34%
3;10;1717;1170;13;9;1148;68.14%;64;5.51%;49;4.22%;23;1.98%;110;9.47%;198;17.05%;686;59.09%;18;1.55%
3;11;1239;757;7;5;745;61.10%;56;7.45%;30;3.99%;11;1.46%;61;8.11%;131;17.42%;449;59.71%;7;0.93%
3;12;1611;1187;24;6;1157;73.68%;140;11.85%;54;4.57%;21;1.78%;80;6.77%;320;27.10%;533;45.13%;9;0.76%
3;13;524;396;1;1;394;75.57%;38;9.62%;24;6.08%;4;1.01%;31;7.85%;61;15.44%;235;59.49%;1;0.25%
