Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;CiU;% CiU;ERC;% ERC;ICV;% ICV;PP;% PP;PSC;% PSC;Altres;% Altres
1;1;1045;823;12;3;808;78.76%;2;0.24%;438;53.41%;64;7.80%;16;1.95%;103;12.56%;153;18.66%;32;3.90%
1;2;1075;783;20;3;760;72.84%;0;0.00%;327;41.92%;86;11.03%;53;6.79%;115;14.74%;162;20.77%;17;2.18%
1;4;1219;911;18;3;890;74.73%;4;0.44%;362;39.87%;95;10.46%;68;7.49%;111;12.22%;233;25.66%;17;1.87%
1;5;883;685;13;2;670;77.58%;4;0.59%;254;37.19%;81;11.86%;50;7.32%;88;12.88%;178;26.06%;15;2.20%
1;6;1808;1390;34;9;1347;76.88%;0;0.00%;559;40.48%;129;9.34%;86;6.23%;189;13.69%;347;25.13%;37;2.68%
1;7;1192;918;20;2;896;77.01%;8;0.87%;359;39.19%;86;9.39%;30;3.28%;159;17.36%;234;25.55%;20;2.18%
1;8;1417;1101;18;8;1075;77.70%;8;0.73%;472;43.18%;109;9.97%;54;4.94%;156;14.27%;266;24.34%;10;0.91%
1;9;825;616;11;2;603;74.67%;2;0.33%;252;41.04%;61;9.93%;40;6.51%;101;16.45%;128;20.85%;19;3.09%
1;10;914;721;20;1;700;78.88%;2;0.28%;217;30.14%;90;12.50%;51;7.08%;76;10.56%;252;35.00%;12;1.67%
1;11;912;676;11;2;663;74.12%;12;1.78%;114;16.91%;44;6.53%;45;6.68%;78;11.57%;355;52.67%;15;2.23%
1;12;1097;759;14;2;743;69.19%;6;0.79%;150;19.82%;75;9.91%;64;8.45%;73;9.64%;351;46.37%;24;3.17%
1;13;643;447;4;0;443;69.52%;7;1.57%;42;9.40%;21;4.70%;24;5.37%;84;18.79%;252;56.38%;13;2.91%
1;14;1586;1163;13;2;1148;73.33%;16;1.38%;157;13.52%;62;5.34%;47;4.05%;218;18.78%;624;53.75%;24;2.07%
1;15;932;722;11;3;708;77.47%;1;0.14%;146;20.31%;55;7.65%;51;7.09%;89;12.38%;352;48.96%;14;1.95%
1;16;1754;1285;19;13;1253;73.26%;13;1.02%;357;28.07%;124;9.75%;75;5.90%;157;12.34%;496;38.99%;31;2.44%
1;17;1665;1296;29;11;1256;77.84%;5;0.39%;498;38.75%;105;8.17%;94;7.32%;150;11.67%;384;29.88%;20;1.56%
1;18;414;305;5;2;298;73.67%;0;0.00%;106;34.98%;38;12.54%;19;6.27%;30;9.90%;97;32.01%;8;2.64%
1;19;912;669;9;7;653;73.36%;10;1.51%;114;17.22%;44;6.65%;43;6.50%;122;18.43%;306;46.22%;14;2.11%
1;20;843;659;8;0;651;78.17%;9;1.37%;183;27.77%;60;9.10%;52;7.89%;92;13.96%;246;37.33%;9;1.37%
1;21;1051;750;13;2;735;71.36%;8;1.07%;194;25.94%;61;8.16%;44;5.88%;87;11.63%;334;44.65%;7;0.94%
1;22;1264;913;11;4;898;72.23%;6;0.66%;281;30.91%;83;9.13%;34;3.74%;161;17.71%;315;34.65%;18;1.98%
1;23;880;673;13;4;656;76.48%;9;1.35%;184;27.50%;65;9.72%;29;4.33%;92;13.75%;266;39.76%;11;1.64%
2;1;1070;762;4;4;754;71.21%;7;0.92%;64;8.44%;19;2.51%;42;5.54%;162;21.37%;453;59.76%;7;0.92%
2;2;533;345;2;1;342;64.73%;1;0.29%;32;9.30%;5;1.45%;5;1.45%;79;22.97%;210;61.05%;10;2.91%
2;3;564;344;6;1;337;60.99%;4;1.17%;23;6.71%;3;0.87%;1;0.29%;68;19.83%;231;67.35%;7;2.04%
2;4;786;544;18;2;524;69.21%;0;0.00%;43;7.93%;6;1.11%;20;3.69%;97;17.90%;347;64.02%;11;2.03%
2;5;805;559;7;4;548;69.44%;2;0.36%;60;10.81%;13;2.34%;21;3.78%;97;17.48%;332;59.82%;23;4.14%
2;6;672;494;11;4;479;73.51%;12;2.45%;52;10.61%;11;2.24%;27;5.51%;85;17.35%;271;55.31%;21;4.29%
2;7;320;198;2;0;196;61.88%;1;0.51%;14;7.07%;1;0.51%;7;3.54%;47;23.74%;124;62.63%;2;1.01%
2;8;733;466;14;4;448;63.57%;2;0.43%;46;9.96%;5;1.08%;23;4.98%;93;20.13%;266;57.58%;13;2.81%
2;9;590;399;7;0;392;67.63%;6;1.50%;31;7.77%;12;3.01%;21;5.26%;71;17.79%;238;59.65%;13;3.26%
2;10;455;322;8;1;313;70.77%;4;1.25%;27;8.41%;9;2.80%;13;4.05%;54;16.82%;198;61.68%;8;2.49%
2;11;805;546;4;4;538;67.83%;3;0.55%;57;10.52%;8;1.48%;37;6.83%;95;17.53%;327;60.33%;11;2.03%
2;12;681;438;5;5;428;64.32%;3;0.69%;34;7.85%;7;1.62%;20;4.62%;79;18.24%;270;62.36%;15;3.46%
2;14;1847;1219;17;3;1199;66.00%;15;1.23%;98;8.06%;50;4.11%;61;5.02%;228;18.75%;716;58.88%;31;2.55%
2;15;650;336;1;0;335;51.69%;3;0.89%;71;21.13%;4;1.19%;6;1.79%;56;16.67%;187;55.65%;8;2.38%
2;16;985;689;13;2;674;69.95%;8;1.16%;73;10.63%;35;5.09%;48;6.99%;106;15.43%;384;55.90%;20;2.91%
3;1;1288;962;10;3;949;74.69%;10;1.04%;170;17.73%;46;4.80%;57;5.94%;115;11.99%;527;54.95%;24;2.50%
3;2;989;725;13;1;711;73.31%;7;0.97%;129;17.82%;58;8.01%;36;4.97%;120;16.57%;347;47.93%;14;1.93%
3;3;1159;752;7;3;742;64.88%;11;1.47%;96;12.82%;40;5.34%;36;4.81%;112;14.95%;428;57.14%;19;2.54%
3;4;881;580;16;2;562;65.83%;3;0.52%;62;10.73%;26;4.50%;30;5.19%;107;18.51%;320;55.36%;14;2.42%
3;5;1240;894;10;2;882;72.10%;7;0.78%;233;26.12%;92;10.31%;49;5.49%;102;11.43%;386;43.27%;13;1.46%
3;6;1273;980;24;0;956;76.98%;7;0.71%;272;27.76%;90;9.18%;55;5.61%;128;13.06%;389;39.69%;15;1.53%
3;7;1360;1008;16;3;989;74.12%;18;1.79%;250;24.88%;101;10.05%;83;8.26%;110;10.95%;405;40.30%;22;2.19%
3;8;1226;831;6;5;820;67.78%;8;0.97%;49;5.93%;9;1.09%;31;3.75%;136;16.46%;573;69.37%;14;1.69%
3;9;1503;1099;18;3;1078;73.12%;13;1.19%;198;18.07%;61;5.57%;90;8.21%;176;16.06%;508;46.35%;32;2.92%
3;10;1631;1020;12;2;1006;62.54%;6;0.59%;45;4.42%;19;1.87%;54;5.30%;190;18.66%;666;65.42%;26;2.55%
3;11;1151;654;7;1;646;56.82%;3;0.46%;45;6.89%;12;1.84%;16;2.45%;120;18.38%;435;66.62%;15;2.30%
