Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;En Blanc;% En Blanc;ERC;% ERC;ICV;% ICV;PACMA;% PACMA;Pirata;% Pirata;PP;% PP;PSC;% PSC;PxC;% PxC;UPYD;% UPYD;Altres;% Altres
1;1;1028;816;12;7;797;79.38%;486;59.56%;10;1.23%;65;7.97%;42;5.15%;2;0.25%;8;0.98%;98;12.01%;75;9.19%;7;0.86%;2;0.25%;2;0.25%
1;2;1102;762;13;14;735;69.15%;351;46.06%;8;1.05%;106;13.91%;55;7.22%;8;1.05%;5;0.66%;113;14.83%;75;9.84%;8;1.05%;3;0.39%;3;0.39%
1;4;1340;1002;13;12;977;74.78%;459;45.81%;13;1.30%;120;11.98%;84;8.38%;4;0.40%;8;0.80%;133;13.27%;140;13.97%;6;0.60%;3;0.30%;7;0.70%
1;5;957;736;25;3;708;76.91%;318;43.21%;14;1.90%;84;11.41%;63;8.56%;0;0.00%;6;0.82%;117;15.90%;87;11.82%;7;0.95%;7;0.95%;5;0.68%
1;6;1172;885;18;13;854;75.51%;444;50.17%;11;1.24%;78;8.81%;49;5.54%;3;0.34%;9;1.02%;152;17.18%;91;10.28%;3;0.34%;8;0.90%;6;0.68%
1;7;1241;912;15;14;883;73.49%;435;47.70%;17;1.86%;83;9.10%;51;5.59%;6;0.66%;10;1.10%;163;17.87%;104;11.40%;6;0.66%;4;0.44%;4;0.44%
1;8;1709;1304;19;23;1262;76.30%;688;52.76%;14;1.07%;114;8.74%;79;6.06%;6;0.46%;13;1.00%;180;13.80%;155;11.89%;3;0.23%;6;0.46%;4;0.31%
1;9;880;631;7;10;614;71.70%;308;48.81%;8;1.27%;78;12.36%;43;6.81%;1;0.16%;8;1.27%;93;14.74%;57;9.03%;7;1.11%;4;0.63%;7;1.11%
1;10;940;683;11;7;665;72.66%;268;39.24%;21;3.07%;85;12.45%;74;10.83%;3;0.44%;5;0.73%;77;11.27%;115;16.84%;7;1.02%;7;1.02%;3;0.44%
1;11;915;625;5;17;603;68.31%;164;26.24%;14;2.24%;30;4.80%;48;7.68%;0;0.00%;12;1.92%;126;20.16%;182;29.12%;14;2.24%;9;1.44%;4;0.64%
1;12;1067;729;15;11;703;68.32%;214;29.36%;10;1.37%;70;9.60%;85;11.66%;10;1.37%;11;1.51%;103;14.13%;177;24.28%;9;1.23%;13;1.78%;1;0.14%
1;13;632;432;10;10;412;68.35%;82;18.98%;3;0.69%;11;2.55%;62;14.35%;3;0.69%;1;0.23%;87;20.14%;145;33.56%;10;2.31%;6;1.39%;2;0.46%
1;14;1578;1021;25;14;982;64.70%;193;18.90%;11;1.08%;59;5.78%;74;7.25%;9;0.88%;15;1.47%;235;23.02%;344;33.69%;29;2.84%;11;1.08%;2;0.20%
1;15;926;662;4;7;651;71.49%;176;26.59%;7;1.06%;65;9.82%;70;10.57%;12;1.81%;4;0.60%;105;15.86%;194;29.31%;6;0.91%;9;1.36%;3;0.45%
1;16;1766;1266;16;15;1235;71.69%;479;37.84%;26;2.05%;133;10.51%;97;7.66%;9;0.71%;7;0.55%;177;13.98%;269;21.25%;19;1.50%;14;1.11%;5;0.39%
