Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;Convergència / Junts;% Convergència / Junts;ERC;% ERC;PP;% PP;Comuns / Sumar;% Comuns / Sumar;Cs;% Cs;CUP;% CUP;Unió;% Unió;PACMA;% PACMA;Front Republicà;% Front Republicà;VOX;% VOX;Más País;% Más País;Altres;% Altres;En Blanc;% En Blanc;Pirata;% Pirata;UPYD;% UPYD;PxC;% PxC
Generals;2011;1;1;0827901001;1028;816;12;7;797;79.38%;75;9.19%;486;59.56%;65;7.97%;98;12.01%;42;5.15%;;;;;;;2;0.25%;;;;;;;2;0.25%;10;1.23%;8;0.98%;2;0.25%;7;0.86%
Generals;2011;1;2;0827901002;1102;762;13;14;735;69.15%;75;9.84%;351;46.06%;106;13.91%;113;14.83%;55;7.22%;;;;;;;8;1.05%;;;;;;;3;0.39%;8;1.05%;5;0.66%;3;0.39%;8;1.05%
Generals;2011;1;4;0827901004;1340;1002;13;12;977;74.78%;140;13.97%;459;45.81%;120;11.98%;133;13.27%;84;8.38%;;;;;;;4;0.40%;;;;;;;7;0.70%;13;1.30%;8;0.80%;3;0.30%;6;0.60%
Generals;2011;1;5;0827901005;957;736;25;3;708;76.91%;87;11.82%;318;43.21%;84;11.41%;117;15.90%;63;8.56%;;;;;;;0;0.00%;;;;;;;5;0.68%;14;1.90%;6;0.82%;7;0.95%;7;0.95%
Generals;2011;1;6;0827901006;1172;885;18;13;854;75.51%;91;10.28%;444;50.17%;78;8.81%;152;17.18%;49;5.54%;;;;;;;3;0.34%;;;;;;;6;0.68%;11;1.24%;9;1.02%;8;0.90%;3;0.34%
Generals;2011;1;7;0827901007;1241;912;15;14;883;73.49%;104;11.40%;435;47.70%;83;9.10%;163;17.87%;51;5.59%;;;;;;;6;0.66%;;;;;;;4;0.44%;17;1.86%;10;1.10%;4;0.44%;6;0.66%
Generals;2011;1;8;0827901008;1709;1304;19;23;1262;76.30%;155;11.89%;688;52.76%;114;8.74%;180;13.80%;79;6.06%;;;;;;;6;0.46%;;;;;;;4;0.31%;14;1.07%;13;1.00%;6;0.46%;3;0.23%
Generals;2011;1;9;0827901009;880;631;7;10;614;71.70%;57;9.03%;308;48.81%;78;12.36%;93;14.74%;43;6.81%;;;;;;;1;0.16%;;;;;;;7;1.11%;8;1.27%;8;1.27%;4;0.63%;7;1.11%
Generals;2011;1;10;0827901010;940;683;11;7;665;72.66%;115;16.84%;268;39.24%;85;12.45%;77;11.27%;74;10.83%;;;;;;;3;0.44%;;;;;;;3;0.44%;21;3.07%;5;0.73%;7;1.02%;7;1.02%
Generals;2011;1;11;0827901011;915;625;5;17;603;68.31%;182;29.12%;164;26.24%;30;4.80%;126;20.16%;48;7.68%;;;;;;;0;0.00%;;;;;;;4;0.64%;14;2.24%;12;1.92%;9;1.44%;14;2.24%
Generals;2011;1;12;0827901012;1067;729;15;11;703;68.32%;177;24.28%;214;29.36%;70;9.60%;103;14.13%;85;11.66%;;;;;;;10;1.37%;;;;;;;1;0.14%;10;1.37%;11;1.51%;13;1.78%;9;1.23%
Generals;2011;1;13;0827901013;632;432;10;10;412;68.35%;145;33.56%;82;18.98%;11;2.55%;87;20.14%;62;14.35%;;;;;;;3;0.69%;;;;;;;2;0.46%;3;0.69%;1;0.23%;6;1.39%;10;2.31%
Generals;2011;1;14;0827901014;1578;1021;25;14;982;64.70%;344;33.69%;193;18.90%;59;5.78%;235;23.02%;74;7.25%;;;;;;;9;0.88%;;;;;;;2;0.20%;11;1.08%;15;1.47%;11;1.08%;29;2.84%
Generals;2011;1;15;0827901015;926;662;4;7;651;71.49%;194;29.31%;176;26.59%;65;9.82%;105;15.86%;70;10.57%;;;;;;;12;1.81%;;;;;;;3;0.45%;7;1.06%;4;0.60%;9;1.36%;6;0.91%
Generals;2011;1;16;0827901016;1766;1266;16;15;1235;71.69%;269;21.25%;479;37.84%;133;10.51%;177;13.98%;97;7.66%;;;;;;;9;0.71%;;;;;;;5;0.39%;26;2.05%;7;0.55%;14;1.11%;19;1.50%
Generals;2011;1;17;0827901017;1637;1233;20;15;1198;75.32%;224;18.17%;560;45.42%;126;10.22%;144;11.68%;92;7.46%;;;;;;;3;0.24%;;;;;;;4;0.32%;14;1.14%;11;0.89%;7;0.57%;13;1.05%
Generals;2011;1;18;0827901018;419;306;12;2;292;73.03%;37;12.09%;135;44.12%;39;12.75%;41;13.40%;28;9.15%;;;;;;;0;0.00%;;;;;;;1;0.33%;4;1.31%;2;0.65%;1;0.33%;4;1.31%
Generals;2011;1;19;0827901019;1098;817;15;7;795;74.41%;226;27.66%;193;23.62%;55;6.73%;168;20.56%;101;12.36%;;;;;;;5;0.61%;;;;;;;0;0.00%;16;1.96%;4;0.49%;15;1.84%;12;1.47%
