Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;DL;% DL;En Comú;% En Comú;ERC;% ERC;PACMA;% PACMA;PP;% PP;PSC;% PSC;Unió;% Unió
Generals;2015;1;1;0827901001;1039;813;8;2;803;79,02%;54;6,58%;354;43,12%;81;9,87%;173;21,07%;7;0,85%;61;7,43%;36;4,38%;36;4,38%
Generals;2015;1;2;0827901002;1081;802;3;2;797;74,47%;56;6,96%;255;31,68%;115;14,29%;212;26,34%;6;0,75%;82;10,19%;46;5,71%;25;3,11%
Generals;2015;1;4;0827901004;1523;1158;11;7;1140;76,76%;101;8,64%;314;26,86%;227;19,42%;309;26,43%;8;0,68%;74;6,33%;82;7,01%;19;1,63%
Generals;2015;1;5;0827901005;992;784;12;5;767;80,24%;56;7,04%;238;29,90%;146;18,34%;175;21,98%;6;0,75%;70;8,79%;48;6,03%;27;3,39%
Generals;2015;1;6;0827901006;1174;909;5;8;896;77,85%;80;8,75%;311;34,03%;136;14,88%;208;22,76%;2;0,22%;97;10,61%;38;4,16%;23;2,52%
Generals;2015;1;7;0827901007;1329;989;4;6;979;74,72%;78;7,85%;286;28,80%;127;12,79%;254;25,58%;9;0,91%;117;11,78%;67;6,75%;34;3,42%
Generals;2015;1;8;0827901008;1863;1420;4;6;1410;76,44%;142;9,97%;463;32,51%;201;14,12%;358;25,14%;16;1,12%;109;7,65%;74;5,20%;46;3,23%
Generals;2015;1;9;0827901009;1032;798;6;1;791;77,91%;51;6,34%;252;31,34%;147;18,28%;197;24,50%;3;0,37%;88;10,95%;31;3,86%;21;2,61%
Generals;2015;1;10;0827901010;942;744;2;0;742;79,19%;82;10,99%;172;23,06%;150;20,11%;202;27,08%;5;0,67%;35;4,69%;72;9,65%;21;2,82%
Generals;2015;1;11;0827901011;914;672;4;6;662;73,96%;88;13,02%;59;8,73%;200;29,59%;110;16,27%;7;1,04%;63;9,32%;127;18,79%;2;0,30%
Generals;2015;1;12;0827901012;1105;820;4;3;813;74,57%;99;12,01%;102;12,38%;248;30,10%;152;18,45%;8;0,97%;70;8,50%;118;14,32%;9;1,09%
Generals;2015;1;13;0827901013;620;453;5;5;443;73,87%;92;20,09%;8;1,75%;127;27,73%;35;7,64%;5;1,09%;54;11,79%;107;23,36%;5;1,09%
Generals;2015;1;14;0827901014;1590;1141;7;8;1126;72,20%;177;15,42%;95;8,28%;319;27,79%;109;9,49%;7;0,61%;151;13,15%;248;21,60%;7;0,61%
Generals;2015;1;15;0827901015;894;672;2;0;670;75,39%;75;11,13%;73;10,83%;179;26,56%;115;17,06%;8;1,19%;65;9,64%;141;20,92%;11;1,63%
Generals;2015;1;16;0827901016;1865;1428;20;5;1403;77,64%;170;11,74%;288;19,89%;302;20,86%;289;19,96%;19;1,31%;101;6,98%;193;13,33%;28;1,93%
Generals;2015;1;17;0827901017;1666;1262;10;3;1249;76,35%;91;7,15%;357;28,07%;252;19,81%;302;23,74%;8;0,63%;85;6,68%;116;9,12%;33;2,59%
Generals;2015;1;18;0827901018;431;352;2;1;349;82,13%;32;9,04%;88;24,86%;53;14,97%;109;30,79%;2;0,56%;30;8,47%;24;6,78%;9;2,54%
Generals;2015;1;19;0827901019;1128;857;3;2;852;76,24%;121;14,07%;90;10,47%;238;27,67%;131;15,23%;13;1,51%;100;11,63%;140;16,28%;14;1,63%
Generals;2015;1;20;0827901020;1018;841;3;1;837;82,91%;100;11,85%;159;18,84%;176;20,85%;199;23,58%;8;0,95%;80;9,48%;98;11,61%;12;1,42%
Generals;2015;1;21;0827901021;1098;813;5;0;808;74,50%;120;14,67%;121;14,79%;216;26,41%;123;15,04%;8;0,98%;82;10,02%;113;13,81%;15;1,83%
Generals;2015;1;22;0827901022;1411;1095;4;5;1086;77,89%;130;11,83%;230;20,93%;249;22,66%;217;19,75%;11;1,00%;116;10,56%;99;9,01%;26;2,37%
Generals;2015;1;23;0827901023;946;785;2;4;779;83,19%;106;13,47%;151;19,19%;173;21,98%;169;21,47%;9;1,14%;67;8,51%;86;10,93%;12;1,52%
Generals;2015;1;24;0827901024;627;511;2;3;506;81,82%;27;5,26%;196;38,21%;88;17,15%;119;23,20%;5;0,97%;45;8,77%;12;2,34%;12;2,34%
Generals;2015;2;1;0827902001;1071;730;2;3;725;68,35%;109;14,89%;33;4,51%;206;28,14%;43;5,87%;9;1,23%;114;15,57%;203;27,73%;5;0,68%
