Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;CDC;% CDC;ECP;% ECP;ERC;% ERC;PACMA;% PACMA;PP;% PP;PSC;% PSC
Generals;2016;1;1;0827901001;1032;768;7;4;757;75,10%;50;6,45%;295;38,06%;78;10,06%;204;26,32%;12;1,55%;86;11,10%;31;4,00%
Generals;2016;1;2;0827901002;1092;766;6;0;760;70,70%;50;6,48%;226;29,27%;106;13,73%;232;30,05%;15;1,94%;91;11,79%;39;5,05%
Generals;2016;1;4;0827901004;1541;1096;10;3;1083;71,77%;88;7,96%;263;23,78%;214;19,35%;341;30,83%;18;1,63%;92;8,32%;67;6,06%
Generals;2016;1;5;0827901005;996;704;7;4;693;71,39%;53;7,45%;212;29,82%;127;17,86%;173;24,33%;8;1,13%;78;10,97%;39;5,49%
Generals;2016;1;6;0827901006;1173;855;10;7;838;73,74%;54;6,24%;257;29,71%;116;13,41%;248;28,67%;10;1,16%;109;12,60%;43;4,97%
Generals;2016;1;7;0827901007;1333;916;5;1;910;69,09%;71;7,71%;266;28,88%;122;13,25%;245;26,60%;15;1,63%;127;13,79%;59;6,41%
Generals;2016;1;8;0827901008;1885;1317;12;7;1298;70,50%;100;7,52%;419;31,53%;200;15,05%;353;26,56%;20;1,50%;121;9,10%;82;6,17%
Generals;2016;1;9;0827901009;1042;728;1;2;725;69,96%;40;5,49%;209;28,67%;120;16,46%;217;29,77%;7;0,96%;96;13,17%;34;4,66%
Generals;2016;1;10;0827901010;944;686;8;3;675;73,52%;69;9,94%;153;22,05%;129;18,59%;199;28,67%;9;1,30%;52;7,49%;60;8,65%
Generals;2016;1;11;0827901011;909;629;5;3;621;69,75%;81;12,78%;53;8,36%;191;30,13%;115;18,14%;8;1,26%;56;8,83%;114;17,98%
Generals;2016;1;12;0827901012;1100;752;1;0;751;68,45%;96;12,75%;77;10,23%;235;31,21%;162;21,51%;8;1,06%;75;9,96%;96;12,75%
Generals;2016;1;13;0827901013;615;423;6;2;415;69,76%;79;18,41%;12;2,80%;123;28,67%;35;8,16%;7;1,63%;60;13,99%;98;22,84%
Generals;2016;1;14;0827901014;1613;1091;13;10;1068;68,44%;130;11,78%;74;6,70%;321;29,08%;128;11,59%;13;1,18%;165;14,95%;233;21,11%
Generals;2016;1;15;0827901015;897;612;10;2;600;69,34%;68;10,93%;67;10,77%;160;25,72%;103;16,56%;9;1,45%;61;9,81%;128;20,58%
Generals;2016;1;16;0827901016;1863;1333;19;6;1308;72,57%;150;11,09%;236;17,46%;278;20,56%;316;23,37%;22;1,63%;123;9,10%;179;13,24%
Generals;2016;1;17;0827901017;1636;1163;11;3;1149;71,76%;76;6,47%;315;26,83%;224;19,08%;323;27,51%;8;0,68%;100;8,52%;100;8,52%
Generals;2016;1;18;0827901018;444;337;2;2;333;76,35%;20;5,90%;82;24,19%;62;18,29%;105;30,97%;2;0,59%;38;11,21%;24;7,08%
Generals;2016;1;19;0827901019;1122;786;12;4;770;71,12%;98;12,28%;88;11,03%;205;25,69%;121;15,16%;25;3,13%;103;12,91%;130;16,29%
Generals;2016;1;20;0827901020;1021;781;1;2;778;76,59%;76;9,72%;148;18,93%;150;19,18%;206;26,34%;10;1,28%;85;10,87%;100;12,79%
Generals;2016;1;21;0827901021;1085;751;7;8;736;69,86%;102;13,46%;128;16,89%;180;23,75%;120;15,83%;20;2,64%;86;11,35%;97;12,80%
Generals;2016;1;22;0827901022;1413;994;11;6;977;71,13%;93;9,25%;206;20,50%;207;20,60%;223;22,19%;13;1,29%;131;13,03%;99;9,85%
Generals;2016;1;23;0827901023;944;750;1;1;748;79,56%;93;12,38%;108;14,38%;162;21,57%;194;25,83%;10;1,33%;89;11,85%;89;11,85%
Generals;2016;1;24;0827901024;633;496;2;2;492;78,67%;31;6,22%;170;34,14%;98;19,68%;121;24,30%;13;2,61%;44;8,84%;15;3,01%
