Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;CUP;% CUP;ECP;% ECP;ERC;% ERC;Junts;% Junts;Más País;% Más País;PACMA;% PACMA;PP;% PP;PSC;% PSC;VOX;% VOX;Altres;% Altres
Generals;2019 10N;1;1;08279801001;1100;895;11;3;881;81,09%;25;2,80%;99;11,10%;50;5,61%;199;22,31%;338;37,89%;5;0,56%;3;0,34%;49;5,49%;85;9,53%;27;3,03%;1;0.0011
Generals;2020 10N;1;2;08279801002;1108;855;5;4;846;76,81%;31;3,64%;88;10,34%;70;8,23%;247;29,02%;232;27,26%;3;0,35%;12;1,41%;63;7,40%;73;8,58%;24;2,82%;3;0.0035
Generals;2021 10N;1;4;08279801004;1540;1263;2;4;1257;81,75%;26;2,07%;146;11,60%;137;10,88%;356;28,28%;322;25,58%;17;1,35%;18;1,43%;66;5,24%;120;9,53%;48;3,81%;1;0.0008
Generals;2022 10N;1;5;08279801005;1001;844;4;1;839;84,22%;26;3,08%;86;10,20%;102;12,10%;243;28,83%;197;23,37%;9;1,07%;6;0,71%;54;6,41%;85;10,08%;30;3,56%;1;0.0012
Generals;2023 10N;1;6;08279801006;1207;965;4;3;958;79,70%;28;2,91%;93;9,67%;78;8,11%;279;29,00%;265;27,55%;10;1,04%;7;0,73%;63;6,55%;89;9,25%;43;4,47%;3;0.0031
Generals;2024 10N;1;7;08279801007;1416;1093;10;4;1079;76,91%;36;3,31%;119;10,93%;87;7,99%;269;24,70%;295;27,09%;15;1,38%;15;1,38%;94;8,63%;108;9,92%;37;3,40%;4;0.0037
Generals;2025 10N;1;8;08279801008;1972;1596;17;4;1575;80,73%;59;3,71%;151;9,48%;158;9,92%;458;28,77%;426;26,76%;14;0,88%;15;0,94%;107;6,72%;141;8,86%;40;2,51%;6;0.0038
Generals;2026 10N;1;9;08279801009;1066;843;12;3;828;78,80%;28;3,33%;100;11,90%;89;10,60%;226;26,90%;211;25,12%;15;1,79%;9;1,07%;66;7,86%;43;5,12%;41;4,88%;0;0.0000
Generals;2027 10N;1;10;08279801010;978;779;9;1;769;79,55%;20;2,57%;90;11,57%;90;11,57%;262;33,68%;136;17,48%;9;1,16%;7;0,90%;33;4,24%;90;11,57%;27;3,47%;5;0.0065
Generals;2028 10N;1;11;08279801011;931;687;5;3;679;73,47%;46;6,73%;45;6,58%;128;18,71%;144;21,05%;58;8,48%;20;2,92%;13;1,90%;41;5,99%;141;20,61%;39;5,70%;4;0.0059
Generals;2029 10N;1;12;08279801012;1107;800;6;3;791;72,00%;29;3,64%;55;6,90%;154;19,32%;195;24,47%;90;11,29%;25;3,14%;13;1,63%;42;5,27%;151;18,95%;32;4,02%;5;0.0063
Generals;2030 10N;1;13;08279801013;644;471;10;2;459;72,83%;32;6,82%;9;1,92%;90;19,19%;76;16,20%;13;2,77%;13;2,77%;9;1,92%;30;6,40%;145;30,92%;34;7,25%;8;0.0174
Generals;2031 10N;1;14;08279801014;1642;1140;7;6;1127;69,06%;82;7,23%;40;3,53%;178;15,70%;209;18,43%;99;8,73%;26;2,29%;20;1,76%;102;8,99%;291;25,66%;74;6,53%;6;0.0053
Generals;2032 10N;1;15;08279801015;940;684;8;3;673;72,45%;28;4,11%;33;4,85%;105;15,42%;147;21,59%;75;11,01%;8;1,17%;15;2,20%;35;5,14%;192;28,19%;31;4,55%;4;0.0059
Generals;2033 10N;1;16;08279801016;1839;1431;9;3;1419;77,65%;55;3,85%;102;7,14%;161;11,27%;400;28,01%;266;18,63%;23;1,61%;18;1,26%;75;5,25%;254;17,79%;59;4,13%;6;0.0042
Generals;2034 10N;1;17;08279801017;1667;1316;5;11;1300;78,28%;40;3,07%;109;8,35%;149;11,42%;391;29,96%;306;23,45%;19;1,46%;16;1,23%;77;5,90%;151;11,57%;40;3,07%;2;0.0015
Generals;2035 10N;1;18;08279801018;457;377;2;1;374;82,28%;14;3,72%;48;12,77%;37;9,84%;104;27,66%;95;25,27%;0;0,00%;1;0,27%;15;3,99%;44;11,70%;10;2,66%;6;0.0160
Generals;2036 10N;1;19;08279801019;1177;867;9;9;849;72,90%;49;5,71%;58;6,76%;146;17,02%;191;22,26%;74;8,62%;10;1,17%;14;1,63%;75;8,74%;176;20,51%;55;6,41%;1;0.0012
Generals;2037 10N;1;20;08279801020;1051;876;11;5;860;82,87%;40;4,59%;71;8,15%;100;11,48%;238;27,32%;139;15,96%;11;1,26%;7;0,80%;65;7,46%;156;17,91%;31;3,56%;2;0.0023
Generals;2038 10N;1;21;08279801021;1071;806;10;5;791;74,79%;56;6,99%;50;6,24%;103;12,86%;185;23,10%;110;13,73%;13;1,62%;14;1,75%;62;7,74%;159;19,85%;36;4,49%;3;0.0038
Generals;2039 10N;1;22;08279801022;1408;1130;10;1;1119;80,18%;49;4,34%;80;7,09%;133;11,78%;315;27,90%;226;20,02%;22;1,95%;11;0,97%;74;6,55%;146;12,93%;60;5,31%;3;0.0027
Generals;2040 10N;1;23;08279801023;968;851;1;6;844;87,29%;36;4,26%;54;6,39%;113;13,37%;238;28,17%;133;15,74%;17;2,01%;7;0,83%;70;8,28%;129;15,27%;43;5,09%;4;0.0047
Generals;2041 10N;1;24;08279801024;660;549;5;1;543;83,03%;14;2,55%;48;8,76%;56;10,22%;142;25,91%;194;35,40%;2;0,36%;6;1,09%;31;5,66%;35;6,39%;13;2,37%;2;0.0037
Generals;2042 10N;2;1;08279802001;1077;712;2;5;705;65,65%;52;7,36%;13;1,84%;112;15,84%;82;11,60%;21;2,97%;12;1,70%;11;1,56%;63;8,91%;254;35,93%;79;11,17%;6;0.0085
Generals;2043 10N;2;2;08279802002;465;241;0;3;238;51,18%;10;4,20%;9;3,78%;32;13,45%;26;10,92%;10;4,20%;5;2,10%;3;1,26%;20;8,40%;93;39,08%;24;10,08%;6;0.0252
Generals;2044 10N;2;3;08279802003;796;466;5;4;457;58,04%;25;5,41%;7;1,52%;59;12,77%;40;8,66%;6;1,30%;6;1,30%;7;1,52%;51;11,04%;190;41,13%;65;14,07%;1;0.0022
Generals;2045 10N;2;4;08279802004;662;379;2;7;370;56,19%;26;6,99%;8;2,15%;60;16,13%;27;7,26%;8;2,15%;9;2,42%;10;2,69%;39;10,48%;146;39,25%;35;9,41%;2;0.0054
Generals;2046 10N;2;5;08279802005;814;551;8;3;540;67,32%;63;11,50%;10;1,82%;78;14,23%;74;13,50%;14;2,55%;12;2,19%;6;1,09%;45;8,21%;180;32,85%;55;10,04%;3;0.0056
Generals;2047 10N;2;6;08279802006;744;478;9;3;466;63,84%;36;7,58%;10;2,11%;77;16,21%;59;12,42%;30;6,32%;12;2,53%;5;1,05%;41;8,63%;142;29,89%;53;11,16%;1;0.0021
Generals;2048 10N;2;8;08279802008;765;512;10;2;500;66,67%;50;9,80%;10;1,96%;87;17,06%;67;13,14%;11;2,16%;13;2,55%;4;0,78%;34;6,67%;152;29,80%;63;12,35%;9;0.0180
Generals;2049 10N;2;9;08279802009;1106;722;5;5;712;64,83%;46;6,42%;13;1,81%;128;17,85%;98;13,67%;21;2,93%;21;2,93%;18;2,51%;50;6,97%;240;33,47%;73;10,18%;4;0.0056
Generals;2050 10N;2;11;08279802011;832;528;2;2;524;63,22%;60;11,41%;11;2,09%;98;18,63%;63;11,98%;9;1,71%;25;4,75%;8;1,52%;40;7,60%;133;25,29%;70;13,31%;7;0.0134
Generals;2051 10N;2;12;08279802012;669;381;6;4;371;56,35%;28;7,43%;7;1,86%;64;16,98%;35;9,28%;11;2,92%;3;0,80%;7;1,86%;31;8,22%;138;36,60%;45;11,94%;2;0.0054
Generals;2052 10N;2;14;08279802014;1477;1052;12;9;1031;70,62%;93;8,92%;28;2,68%;225;21,57%;151;14,48%;27;2,59%;25;2,40%;28;2,68%;71;6,81%;247;23,68%;134;12,85%;2;0.0019
