Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;ECP;% ECP;ERC;% ERC;Front Republicà;% Front Republicà;Junts;% Junts;PACMA;% PACMA;PP;% PP;PSC;% PSC;VOX;% VOX;Altres;% Altres
Generals;2019 28A;1;1;0827901001;1087;927;8;2;917;86,02%;51;5,45%;61;6,52%;275;29,41%;46;4,92%;317;33,90%;10;1,07%;35;3,74%;100;10,70%;21;2,25%;1;0.0011
Generals;2020 28A;1;2;0827901002;1115;917;7;7;903;82,87%;67;7,25%;96;10,39%;326;35,28%;33;3,57%;224;24,24%;13;1,41%;30;3,25%;92;9,96%;19;2,06%;3;0.0033
Generals;2021 28A;1;4;0827901004;1521;1294;6;7;1281;85,47%;77;5,92%;148;11,38%;432;33,23%;78;6,00%;283;21,77%;20;1,54%;48;3,69%;160;12,31%;32;2,46%;3;0.0023
Generals;2022 28A;1;5;0827901005;975;850;5;2;843;87,69%;51;5,96%;103;12,05%;286;33,45%;39;4,56%;178;20,82%;4;0,47%;46;5,38%;116;13,57%;16;1,87%;4;0.0047
Generals;2023 28A;1;6;0827901006;1203;1032;11;3;1018;86,70%;85;8,15%;101;9,68%;354;33,94%;43;4,12%;253;24,26%;3;0,29%;47;4,51%;98;9,40%;34;3,26%;0;0.0000
Generals;2024 28A;1;7;0827901007;1416;1160;10;3;1147;82,63%;85;7,26%;114;9,74%;361;30,85%;57;4,87%;278;23,76%;22;1,88%;65;5,56%;134;11,45%;29;2,48%;2;0.0017
Generals;2025 28A;1;8;0827901008;1973;1651;9;7;1635;84,14%;120;7,23%;194;11,69%;555;33,43%;64;3,86%;400;24,10%;23;1,39%;66;3,98%;178;10,72%;31;1,87%;4;0.0024
Generals;2026 28A;1;9;0827901009;1044;870;2;0;868;83,52%;53;6,08%;95;10,89%;291;33,37%;56;6,42%;208;23,85%;10;1,15%;41;4,70%;77;8,83%;32;3,67%;5;0.0058
Generals;2027 28A;1;10;0827901010;982;837;1;1;835;85,34%;43;5,13%;114;13,60%;295;35,20%;47;5,61%;136;16,23%;13;1,55%;22;2,63%;139;16,59%;25;2,98%;1;0.0012
Generals;2028 28A;1;11;0827901011;922;740;5;1;734;80,80%;114;15,30%;141;18,93%;163;21,88%;20;2,68%;54;7,25%;16;2,15%;27;3,62%;178;23,89%;16;2,15%;5;0.0068
