Elecció;Any;CDIS;CSEC;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CUP;% CUP;ERC;% ERC;FO;% FO;Junts;% Junts;PACMA;% PACMA;PCTC;% PCTC;PdeCat;% PdeCat;PP;% PP;PSC;% PSC;RECORTES CERO;% RECORTES CERO;Sumar;% Sumar;VOX;% VOX;Altres;% Altres
Generals;2023;01;001;1;1;0827901001;1042;750;8;5;737;71,98%;32;4,22%;105;13,85%;4;0,53%;259;34,17%;6;0,79%;0;0,00%;26;3,43%;57;7,52%;137;18,07%;0;0,00%;82;10,82%;29;3,83%;4;0.0054
Generals;2023;01;002;1;2;0827901002;1140;786;7;5;774;68,95%;37;4,67%;151;19,04%;0;0,00%;200;25,22%;9;1,13%;0;0,00%;21;2,65%;86;10,84%;149;18,79%;0;0,00%;93;11,73%;28;3,53%;0;0.0000
Generals;2023;01;004;1;4;0827901004;1563;1119;6;7;1106;71,59%;67;5,96%;186;16,53%;0;0,00%;233;20,71%;10;0,89%;0;0,00%;21;1,87%;101;8,98%;256;22,76%;0;0,00%;180;16,00%;52;4,62%;0;0.0000
Generals;2023;01;005;1;5;0827901005;1068;806;4;3;799;75,47%;34;4,20%;162;20,00%;0;0,00%;157;19,38%;6;0,74%;1;0,12%;10;1,23%;87;10,74%;210;25,93%;0;0,00%;107;13,21%;25;3,09%;1;0.0013
Generals;2023;01;006;1;6;0827901006;1209;907;7;14;886;75,02%;31;3,39%;164;17,94%;1;0,11%;201;21,99%;9;0,98%;0;0,00%;30;3,28%;105;11,49%;202;22,10%;0;0,00%;92;10,07%;51;5,58%;1;0.0011
Generals;2023;01;007;1;7;0827901007;1438;989;13;16;960;68,78%;29;2,89%;157;15,67%;0;0,00%;226;22,55%;7;0,70%;0;0,00%;24;2,40%;118;11,78%;229;22,85%;0;0,00%;122;12,18%;48;4,79%;0;0.0000
Generals;2023;01;008;1;8;0827901008;973;683;3;4;676;70,20%;27;3,94%;116;16,91%;0;0,00%;203;29,59%;6;0,87%;2;0,29%;24;3,50%;72;10,50%;125;18,22%;0;0,00%;68;9,91%;33;4,81%;2;0.0030
Generals;2023;01;009;1;9;0827901009;1047;757;12;4;741;72,30%;24;3,12%;126;16,38%;0;0,00%;170;22,11%;3;0,39%;1;0,13%;28;3,64%;92;11,96%;155;20,16%;0;0,00%;98;12,74%;44;5,72%;1;0.0013
Generals;2023;01;010;1;10;0827901010;1008;731;4;5;722;72,52%;25;3,40%;151;20,54%;2;0,27%;122;16,60%;6;0,82%;2;0,27%;12;1,63%;70;9,52%;198;26,94%;1;0,14%;92;12,52%;41;5,58%;5;0.0069
Generals;2023;01;011;1;11;0827901011;955;653;8;8;637;68,38%;13;1,97%;92;13,92%;2;0,30%;43;6,51%;9;1,36%;0;0,00%;1;0,15%;75;11,35%;232;35,10%;2;0,30%;122;18,46%;46;6,96%;4;0.0063
Generals;2023;01;012;1;12;0827901012;1143;805;5;9;791;70,43%;16;1,98%;99;12,22%;4;0,49%;70;8,64%;11;1,36%;1;0,12%;6;0,74%;69;8,52%;293;36,17%;0;0,00%;159;19,63%;63;7,78%;5;0.0063
Generals;2023;01;013;1;13;0827901013;634;409;6;2;401;64,51%;4;0,96%;40;9,64%;0;0,00%;5;1,20%;10;2,41%;0;0,00%;1;0,24%;39;9,40%;193;46,51%;2;0,48%;60;14,46%;47;11,33%;2;0.0050
Generals;2023;01;014;1;14;0827901014;1540;1038;8;3;1027;67,40%;25;2,39%;94;8,99%;2;0,19%;75;7,17%;14;1,34%;0;0,00%;4;0,38%;181;17,30%;377;36,04%;0;0,00%;160;15,30%;95;9,08%;2;0.0019
Generals;2023;01;015;1;15;0827901015;944;652;8;4;640;69,07%;16;2,42%;77;11,67%;6;0,91%;55;8,33%;8;1,21%;0;0,00%;4;0,61%;62;9,39%;251;38,03%;0;0,00%;99;15,00%;62;9,39%;6;0.0094
Generals;2023;01;016;1;16;0827901016;1787;1256;8;12;1236;70,29%;30;2,37%;216;17,09%;3;0,24%;188;14,87%;14;1,11%;5;0,40%;13;1,03%;123;9,73%;393;31,09%;1;0,08%;170;13,45%;80;6,33%;9;0.0073
Generals;2023;01;017;1;17;0827901017;1669;1194;2;10;1182;71,54%;41;3,43%;206;17,22%;1;0,08%;225;18,81%;10;0,84%;0;0,00%;20;1,67%;114;9,53%;336;28,09%;0;0,00%;192;16,05%;37;3,09%;1;0.0008
Generals;2023;01;018;1;18;0827901018;487;355;1;9;345;72,90%;24;6,74%;58;16,29%;0;0,00%;83;23,31%;3;0,84%;0;0,00%;7;1,97%;32;8,99%;68;19,10%;0;0,00%;53;14,89%;17;4,78%;0;0.0000
Generals;2023;01;019;1;19;0827901019;1154;736;5;7;724;63,78%;19;2,56%;96;12,96%;2;0,27%;49;6,61%;7;0,94%;1;0,13%;3;0,40%;101;13,63%;242;32,66%;0;0,00%;133;17,95%;71;9,58%;3;0.0041
Generals;2023;01;020;1;20;0827901020;1195;849;7;3;839;71,05%;37;4,32%;128;14,95%;2;0,23%;112;13,08%;11;1,29%;0;0,00%;7;0,82%;102;11,92%;242;28,27%;0;0,00%;157;18,34%;41;4,79%;2;0.0024
Generals;2023;01;021;1;21;0827901021;1126;781;5;5;771;69,36%;19;2,42%;113;14,38%;0;0,00%;81;10,31%;16;2,04%;1;0,13%;6;0,76%;123;15,65%;227;28,88%;1;0,13%;130;16,54%;54;6,87%;2;0.0026
Generals;2023;01;022;1;22;0827901022;1417;1019;14;8;997;71,91%;28;2,71%;156;15,10%;3;0,29%;156;15,10%;11;1,06%;1;0,10%;17;1,65%;107;10,36%;316;30,59%;1;0,10%;120;11,62%;81;7,84%;5;0.0050
Generals;2023;01;023;1;23;0827901023;1000;770;3;4;763;77,00%;19;2,46%;103;13,32%;0;0,00%;113;14,62%;6;0,78%;0;0,00%;6;0,78%;104;13,45%;244;31,57%;2;0,26%;104;13,45%;62;8,02%;2;0.0026
Generals;2023;01;024;1;24;0827901024;682;496;5;6;485;72,73%;26;5,19%;86;17,17%;0;0,00%;124;24,75%;0;0,00%;2;0,40%;18;3,59%;48;9,58%;104;20,76%;0;0,00%;63;12,57%;14;2,79%;2;0.0041
Generals;2023;01;025;1;25;0827901025;1046;723;10;7;706;69,12%;26;3,55%;112;15,28%;1;0,14%;136;18,55%;9;1,23%;2;0,27%;26;3,55%;76;10,37%;187;25,51%;1;0,14%;97;13,23%;33;4,50%;4;0.0057
Generals;2023;02;001;2;1;0827902001;1063;626;7;5;614;58,89%;5;0,79%;37;5,85%;2;0,32%;16;2,53%;7;1,11%;0;0,00%;1;0,16%;102;16,11%;276;43,60%;0;0,00%;88;13,90%;80;12,64%;2;0.0033
Generals;2023;02;003;2;3;0827902003;958;494;8;4;482;51,57%;0;0,00%;26;5,18%;3;0,60%;9;1,79%;4;0,80%;0;0,00%;0;0,00%;69;13,75%;246;49,00%;0;0,00%;58;11,55%;67;13,35%;3;0.0062
