Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;PP;% PP;ICV / Comuns;% ICV / Comuns;Cs;% Cs;CUP;% CUP;PxC;% PxC;En Blanco;% En Blanco;PRIMARIES;% PRIMARIES;TxT;% TxT;VOX;% VOX;Podem;% Podem;PACMA;% PACMA;Altres;% Altres
Municipals;2007;1;1;0827901001;1142;667;17;7;643;59,89%;102;14,91%;362;52,92%;76;11,11%;45;6,58%;32;4,68%;4;0,58%;;;;;;;;;;;;;;;;;22;0.0342
Municipals;2007;1;2;0827901002;1106;625;33;2;590;59,49%;110;16,72%;262;39,82%;94;14,29%;52;7,90%;41;6,23%;5;0,76%;;;;;;;;;;;;;;;;;26;0.0441
Municipals;2007;1;4;0827901004;1216;665;25;4;636;56,74%;137;19,86%;258;37,39%;96;13,91%;46;6,67%;54;7,83%;13;1,88%;;;;;;;;;;;;;;;;;32;0.0503
Municipals;2007;1;5;0827901005;878;492;14;2;476;57,63%;106;20,95%;189;37,35%;72;14,23%;29;5,73%;46;9,09%;16;3,16%;;;;;;;;;;;;;;;;;18;0.0378
Municipals;2007;1;6;0827901006;1818;989;40;4;945;56,60%;199;19,34%;389;37,80%;126;12,24%;85;8,26%;91;8,84%;18;1,75%;;;;;;;;;;;;;;;;;37;0.0392
Municipals;2007;1;7;0827901007;1199;663;31;3;629;57,88%;168;24,21%;225;32,42%;72;10,37%;82;11,82%;40;5,76%;19;2,74%;;;;;;;;;;;;;;;;;23;0.0366
Municipals;2007;1;8;0827901008;1370;751;22;4;725;56,42%;174;22,51%;308;39,84%;86;11,13%;71;9,18%;54;6,99%;13;1,68%;;;;;;;;;;;;;;;;;19;0.0262
Municipals;2007;1;9;0827901009;810;440;24;1;415;57,28%;78;16,81%;182;39,22%;56;12,07%;50;10,78%;26;5,60%;5;1,08%;;;;;;;;;;;;;;;;;18;0.0434
Municipals;2007;1;10;0827901010;924;480;25;2;453;54,65%;144;28,51%;134;26,53%;73;14,46%;20;3,96%;50;9,90%;8;1,58%;;;;;;;;;;;;;;;;;24;0.0530
Municipals;2007;1;11;0827901011;921;438;17;4;417;49,40%;211;46,37%;67;14,73%;37;8,13%;30;6,59%;37;8,13%;24;5,27%;;;;;;;;;;;;;;;;;11;0.0264
Municipals;2007;1;12;0827901012;1095;492;24;5;463;47,12%;163;31,59%;92;17,83%;59;11,43%;34;6,59%;78;15,12%;17;3,29%;;;;;;;;;;;;;;;;;20;0.0432
Municipals;2007;1;13;0827901013;620;253;6;0;247;41,77%;124;47,88%;26;10,04%;22;8,49%;24;9,27%;36;13,90%;12;4,63%;;;;;;;;;;;;;;;;;3;0.0121
Municipals;2007;1;14;0827901014;1600;741;23;1;717;47,75%;343;44,90%;122;15,97%;61;7,98%;90;11,78%;57;7,46%;27;3,53%;;;;;;;;;;;;;;;;;17;0.0237
Municipals;2007;1;15;0827901015;946;454;17;2;435;49,79%;202;42,89%;79;16,77%;44;9,34%;27;5,73%;53;11,25%;14;2,97%;;;;;;;;;;;;;;;;;16;0.0368
Municipals;2007;1;16;0827901016;1757;855;40;4;811;50,94%;291;32,51%;209;23,35%;104;11,62%;71;7,93%;85;9,50%;26;2,91%;;;;;;;;;;;;;;;;;25;0.0308
Municipals;2007;1;17;0827901017;1670;894;47;7;840;56,35%;268;28,48%;315;33,48%;82;8,71%;70;7,44%;69;7,33%;8;0,85%;;;;;;;;;;;;;;;;;28;0.0333
Municipals;2007;1;18;0827901018;402;225;6;2;217;57,46%;52;22,51%;96;41,56%;29;12,55%;11;4,76%;17;7,36%;1;0,43%;;;;;;;;;;;;;;;;;11;0.0507
Municipals;2007;1;19;0827901019;901;454;14;0;440;51,94%;174;37,18%;90;19,23%;46;9,83%;54;11,54%;53;11,32%;17;3,63%;;;;;;;;;;;;;;;;;6;0.0136
Municipals;2007;1;20;0827901020;841;473;19;1;453;58,50%;180;36,59%;109;22,15%;48;9,76%;48;9,76%;43;8,74%;14;2,85%;;;;;;;;;;;;;;;;;11;0.0243
Municipals;2007;1;21;0827901021;1055;482;20;2;460;47,58%;171;34,06%;124;24,70%;50;9,96%;35;6,97%;57;11,35%;16;3,19%;;;;;;;;;;;;;;;;;7;0.0152
