Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;VOTS_VALIDS;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;PP;% PP;ICV / Comuns;% ICV / Comuns;Cs;% Cs;CUP;% CUP;PxC;% PxC;En Blanco;% En Blanco;PRIMARIES;% PRIMARIES;TxT;% TxT;VOX;% VOX;Podem;% Podem;PACMA;% PACMA;Altres;% Altres;EUiA;% EUiA;Verds;% Verds
Municipals;1999;1;1;;1839;809;11;12;786;797;43.99%;159;19.95%;392;49.18%;76;9.54%;131;16.44%;10;1.25%;;;;;;;;;;;;;;;;;;;2;0.25%;3;0.38%;13;1.63%
Municipals;1999;1;2;;1096;671;18;2;651;669;61.22%;132;19.73%;269;40.21%;89;13.30%;106;15.84%;21;3.14%;;;;;;;;;;;;;;;;;;;5;0.75%;2;0.30%;27;4.04%
Municipals;1999;1;4;;1096;633;21;1;611;632;57.76%;122;19.30%;247;39.08%;86;13.61%;96;15.19%;39;6.17%;;;;;;;;;;;;;;;;;;;5;0.79%;5;0.79%;11;1.74%
Municipals;1999;1;5;;1590;864;27;1;836;863;54.34%;233;27.00%;329;38.12%;114;13.21%;94;10.89%;35;4.06%;;;;;;;;;;;;;;;;;;;2;0.23%;9;1.04%;20;2.32%
Municipals;1999;1;6;;1584;855;22;7;826;848;53.98%;194;22.88%;334;39.39%;111;13.09%;122;14.39%;42;4.95%;;;;;;;;;;;;;;;;;;;10;1.18%;0;0.00%;13;1.53%
Municipals;1999;1;7;;1140;656;13;0;643;656;57.54%;162;24.70%;229;34.91%;89;13.57%;109;16.62%;22;3.35%;;;;;;;;;;;;;;;;;;;5;0.76%;6;0.91%;21;3.20%
Municipals;1999;1;8;;895;495;13;3;479;492;55.31%;95;19.31%;205;41.67%;65;13.21%;75;15.24%;23;4.67%;;;;;;;;;;;;;;;;;;;1;0.20%;1;0.20%;14;2.85%
Municipals;1999;1;9;;789;435;23;1;411;434;55.13%;86;19.82%;166;38.25%;52;11.98%;67;15.44%;17;3.92%;;;;;;;;;;;;;;;;;;;3;0.69%;10;2.30%;10;2.30%
Municipals;1999;1;10;;669;367;14;1;352;366;54.86%;99;27.05%;120;32.79%;48;13.11%;27;7.38%;22;6.01%;;;;;;;;;;;;;;;;;;;2;0.55%;9;2.46%;25;6.83%
Municipals;1999;1;11;;760;384;7;1;376;383;50.53%;222;57.96%;56;14.62%;22;5.74%;34;8.88%;17;4.44%;;;;;;;;;;;;;;;;;;;2;0.52%;4;1.04%;19;4.96%
Municipals;1999;1;12;;2337;1168;30;1;1137;1167;49.98%;509;43.62%;206;17.65%;88;7.54%;135;11.57%;129;11.05%;;;;;;;;;;;;;;;;;;;10;0.86%;20;1.71%;40;3.43%
Municipals;1999;1;13;;615;291;5;0;286;291;47.32%;192;65.98%;15;5.15%;8;2.75%;27;9.28%;12;4.12%;;;;;;;;;;;;;;;;;;;0;0.00%;14;4.81%;18;6.19%
Municipals;1999;1;14;;1757;875;17;5;853;870;49.80%;500;57.47%;109;12.53%;41;4.71%;116;13.33%;46;5.29%;;;;;;;;;;;;;;;;;;;2;0.23%;7;0.80%;32;3.68%
Municipals;1999;1;15;;2006;997;10;1;986;996;49.70%;441;44.28%;239;24.00%;86;8.63%;85;8.53%;69;6.93%;;;;;;;;;;;;;;;;;;;6;0.60%;20;2.01%;40;4.02%
Municipals;1999;1;16;;1815;1013;20;4;989;1009;55.81%;417;41.33%;238;23.59%;106;10.51%;109;10.80%;81;8.03%;;;;;;;;;;;;;;;;;;;3;0.30%;5;0.50%;30;2.97%
Municipals;1999;1;17;;1779;1038;32;3;1003;1035;58.35%;320;30.92%;383;37.00%;104;10.05%;108;10.43%;45;4.35%;;;;;;;;;;;;;;;;;;;0;0.00%;17;1.64%;26;2.51%
Municipals;1999;1;18;;404;222;3;3;216;219;54.95%;50;22.83%;79;36.07%;39;17.81%;34;15.53%;7;3.20%;;;;;;;;;;;;;;;;;;;1;0.46%;2;0.91%;4;1.83%
Municipals;1999;2;1;;1357;693;19;1;673;692;51.07%;438;63.29%;39;5.64%;22;3.18%;95;13.73%;39;5.64%;;;;;;;;;;;;;;;;;;;1;0.14%;20;2.89%;19;2.75%
Municipals;1999;2;2;;1080;545;7;2;536;543;50.46%;388;71.45%;31;5.71%;5;0.92%;53;9.76%;17;3.13%;;;;;;;;;;;;;;;;;;;1;0.18%;22;4.05%;19;3.50%
Municipals;1999;2;3;;777;431;2;2;427;429;55.47%;302;70.40%;20;4.66%;9;2.10%;61;14.22%;24;5.59%;;;;;;;;;;;;;;;;;;;2;0.47%;6;1.40%;3;0.70%
Municipals;1999;2;4;;1140;598;8;5;585;593;52.46%;384;64.76%;51;8.60%;11;1.85%;56;9.44%;42;7.08%;;;;;;;;;;;;;;;;;;;3;0.51%;29;4.89%;9;1.52%
Municipals;1999;2;5;;1047;544;18;2;524;542;51.96%;354;65.31%;33;6.09%;7;1.29%;77;14.21%;26;4.80%;;;;;;;;;;;;;;;;;;;4;0.74%;15;2.77%;8;1.48%
Municipals;1999;2;6;;864;422;8;4;410;418;48.84%;225;53.83%;51;12.20%;13;3.11%;59;14.11%;35;8.37%;;;;;;;;;;;;;;;;;;;4;0.96%;6;1.44%;17;4.07%
Municipals;1999;2;7;;537;303;2;1;300;302;56.42%;197;65.23%;12;3.97%;2;0.66%;38;12.58%;25;8.28%;;;;;;;;;;;;;;;;;;;0;0.00%;23;7.62%;3;0.99%
Municipals;1999;2;8;;866;439;7;3;429;436;50.69%;284;65.14%;27;6.19%;9;2.06%;49;11.24%;38;8.72%;;;;;;;;;;;;;;;;;;;0;0.00%;12;2.75%;10;2.29%
Municipals;1999;2;9;;764;369;1;0;368;369;48.30%;259;70.19%;19;5.15%;2;0.54%;37;10.03%;26;7.05%;;;;;;;;;;;;;;;;;;;1;0.27%;15;4.07%;9;2.44%
Municipals;1999;2;10;;534;280;2;1;277;279;52.43%;180;64.52%;33;11.83%;1;0.36%;25;8.96%;19;6.81%;;;;;;;;;;;;;;;;;;;0;0.00%;6;2.15%;13;4.66%
Municipals;1999;2;11;;763;360;12;3;345;357;47.18%;247;69.19%;8;2.24%;6;1.68%;37;10.36%;25;7.00%;;;;;;;;;;;;;;;;;;;0;0.00%;12;3.36%;10;2.80%
Municipals;1999;2;12;;991;506;2;5;499;501;51.06%;311;62.08%;70;13.97%;8;1.60%;51;10.18%;20;3.99%;;;;;;;;;;;;;;;;;;;1;0.20%;24;4.79%;14;2.79%
Municipals;1999;2;14;;1300;505;5;7;493;498;38.85%;318;63.86%;27;5.42%;9;1.81%;54;10.84%;49;9.84%;;;;;;;;;;;;;;;;;;;2;0.40%;23;4.62%;11;2.21%
Municipals;1999;2;15;;789;308;4;1;303;307;39.04%;144;46.91%;101;32.90%;3;0.98%;17;5.54%;34;11.07%;;;;;;;;;;;;;;;;;;;1;0.33%;1;0.33%;2;0.65%
Municipals;1999;3;1;;993;491;16;3;472;488;49.45%;232;47.54%;97;19.88%;43;8.81%;39;7.99%;37;7.58%;;;;;;;;;;;;;;;;;;;4;0.82%;6;1.23%;14;2.87%
Municipals;1999;3;2;;2027;943;8;1;934;942;46.52%;486;51.59%;143;15.18%;84;8.92%;105;11.15%;65;6.90%;;;;;;;;;;;;;;;;;;;8;0.85%;19;2.02%;24;2.55%
Municipals;1999;3;3;;1061;475;8;0;467;475;44.77%;282;59.37%;55;11.58%;13;2.74%;57;12.00%;34;7.16%;;;;;;;;;;;;;;;;;;;3;0.63%;12;2.53%;11;2.32%
