Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;CIU;% CIU;CUP;% CUP;ERC;% ERC;ICV;% ICV;PP;% PP;PSC;% PSC;Altres;% Altres
Municipals;2007;1;1;0827901001;1142;667;17;7;643;59,89%;4;0,58%;362;52,92%;10;1,46%;76;11,11%;32;4,68%;45;6,58%;102;14,91%;12;0.0187
Municipals;2007;1;2;0827901002;1106;625;33;2;590;59,49%;5;0,76%;262;39,82%;9;1,37%;94;14,29%;41;6,23%;52;7,90%;110;16,72%;17;0.0288
Municipals;2007;1;4;0827901004;1216;665;25;4;636;56,74%;13;1,88%;258;37,39%;15;2,17%;96;13,91%;54;7,83%;46;6,67%;137;19,86%;17;0.0267
Municipals;2007;1;5;0827901005;878;492;14;2;476;57,63%;16;3,16%;189;37,35%;15;2,96%;72;14,23%;46;9,09%;29;5,73%;106;20,95%;3;0.0063
Municipals;2007;1;6;0827901006;1818;989;40;4;945;56,60%;18;1,75%;389;37,80%;13;1,26%;126;12,24%;91;8,84%;85;8,26%;199;19,34%;24;0.0254
Municipals;2007;1;7;0827901007;1199;663;31;3;629;57,88%;19;2,74%;225;32,42%;14;2,02%;72;10,37%;40;5,76%;82;11,82%;168;24,21%;9;0.0143
Municipals;2007;1;8;0827901008;1370;751;22;4;725;56,42%;13;1,68%;308;39,84%;14;1,81%;86;11,13%;54;6,99%;71;9,18%;174;22,51%;5;0.0069
Municipals;2007;1;9;0827901009;810;440;24;1;415;57,28%;5;1,08%;182;39,22%;7;1,51%;56;12,07%;26;5,60%;50;10,78%;78;16,81%;11;0.0265
Municipals;2007;1;10;0827901010;924;480;25;2;453;54,65%;8;1,58%;134;26,53%;16;3,17%;73;14,46%;50;9,90%;20;3,96%;144;28,51%;8;0.0177
Municipals;2007;1;11;0827901011;921;438;17;4;417;49,40%;24;5,27%;67;14,73%;10;2,20%;37;8,13%;37;8,13%;30;6,59%;211;46,37%;1;0.0024
