Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CUP;% CUP;CiU;% CiU;Cs;% Cs;En Blanco;% En Blanco;ERC;% ERC;ICV;% ICV;PP;% PP;PSC;% PSC;PxC;% PxC
Municipals;2011;1;1;08279801001;1027;689;18;10;661;0,661148978;7;1,03%;402;59,20%;4;0,59%;6;0,88%;62;9,13%;18;2,65%;37;5,45%;94;13,84%;1;0,15%
Municipals;2011;1;2;08279801002;1096;616;20;7;589;0,555656934;11;1,81%;317;52,05%;3;0,49%;2;0,33%;63;10,34%;36;5,91%;45;7,39%;75;12,32%;4;0,66%
Municipals;2011;1;4;08279801004;1331;763;40;5;718;0,569496619;28;3,69%;312;41,16%;6;0,79%;17;2,24%;60;7,92%;41;5,41%;66;8,71%;127;16,75%;8;1,06%
Municipals;2011;1;5;08279801005;941;570;29;6;535;0,59936238;19;3,37%;236;41,84%;5;0,89%;7;1,24%;43;7,62%;36;6,38%;53;9,40%;99;17,55%;1;0,18%
Municipals;2011;1;6;08279801006;1182;687;31;12;644;0,57106599;15;2,22%;306;45,33%;9;1,33%;15;2,22%;47;6,96%;40;5,93%;77;11,41%;100;14,81%;1;0,15%
Municipals;2011;1;7;08279801007;1239;708;38;8;662;0,564971751;18;2,57%;309;44,14%;7;1,00%;6;0,86%;41;5,86%;28;4,00%;75;10,71%;143;20,43%;4;0,57%
Municipals;2011;1;8;08279801008;1701;997;44;18;935;0,575543798;20;2,04%;497;50,77%;8;0,82%;16;1,63%;72;7,35%;51;5,21%;95;9,70%;139;14,20%;3;0,31%
Municipals;2011;1;9;08279801009;863;488;28;10;450;0,553881808;6;1,26%;243;50,84%;6;1,26%;8;1,67%;37;7,74%;22;4,60%;44;9,21%;75;15,69%;1;0,21%
Municipals;2011;1;10;08279801010;930;483;34;8;441;0,510752688;13;2,74%;176;37,05%;3;0,63%;7;1,47%;53;11,16%;37;7,79%;32;6,74%;99;20,84%;4;0,84%
Municipals;2011;1;11;08279801011;939;442;28;9;405;0,46112886;9;2,08%;94;21,71%;15;3,46%;10;2,31%;17;3,93%;37;8,55%;42;9,70%;155;35,80%;10;2,31%
Municipals;2011;1;12;08279801012;1078;502;21;9;472;0,457328386;10;2,03%;125;25,35%;12;2,43%;9;1,83%;29;5,88%;63;12,78%;49;9,94%;151;30,63%;6;1,22%
Municipals;2011;1;13;08279801013;630;292;16;1;275;0,461904762;2;0,69%;40;13,75%;12;4,12%;2;0,69%;11;3,78%;34;11,68%;44;15,12%;110;37,80%;8;2,75%
Municipals;2011;1;14;08279801014;1582;754;45;10;699;0,470290771;5;0,67%;132;17,74%;21;2,82%;14;1,88%;25;3,36%;57;7,66%;116;15,59%;278;37,37%;24;3,23%
Municipals;2011;1;15;08279801015;940;501;24;11;466;0,521276596;5;1,02%;113;23,06%;6;1,22%;7;1,43%;37;7,55%;53;10,82%;40;8,16%;182;37,14%;0;0,00%
Municipals;2011;1;16;08279801016;1771;940;42;18;880;0,520609825;19;2,06%;286;31,02%;15;1,63%;27;2,93%;77;8,35%;58;6,29%;85;9,22%;258;27,98%;4;0,43%
Municipals;2011;1;17;08279801017;1652;967;25;12;930;0,578087167;18;1,88%;385;40,31%;8;0,84%;14;1,47%;74;7,75%;70;7,33%;75;7,85%;227;23,77%;16;1,68%
Municipals;2011;1;18;08279801018;430;259;10;2;247;0,597674419;5;1,95%;117;45,53%;1;0,39%;6;2,33%;24;9,34%;19;7,39%;15;5,84%;40;15,56%;6;2,33%
Municipals;2011;1;19;08279801019;1096;587;21;7;559;0,52919708;8;1,38%;121;20,86%;19;3,28%;13;2,24%;44;7,59%;64;11,03%;87;15,00%;158;27,24%;18;3,10%
Municipals;2011;1;20;08279801020;948;546;25;4;517;0,571729958;9;1,66%;162;29,89%;9;1,66%;8;1,48%;48;8,86%;40;7,38%;61;11,25%;163;30,07%;0;0,00%
Municipals;2011;1;21;08279801021;1035;544;35;11;498;0,514975845;10;1,88%;142;26,64%;21;3,94%;6;1,13%;27;5,07%;51;9,57%;60;11,26%;142;26,64%;20;3,75%
Municipals;2011;1;22;08279801022;1316;685;31;14;640;0,509878419;9;1,34%;251;37,41%;5;0,75%;17;2,53%;48;7,15%;45;6,71%;78;11,62%;135;20,12%;4;0,60%
Municipals;2011;1;23;08279801023;935;528;33;7;488;0,557219251;10;1,92%;170;32,63%;12;2,30%;9;1,73%;32;6,14%;38;7,29%;58;11,13%;126;24,18%;10;1,92%
Municipals;2011;1;24;08279801024;609;391;14;8;369;0,628899836;14;3,66%;194;50,65%;3;0,78%;5;1,31%;38;9,92%;27;7,05%;27;7,05%;46;12,01%;1;0,26%
Municipals;2011;2;1;08279802001;1039;542;18;3;521;0,518768046;2;0,37%;54;10,02%;8;1,48%;3;0,56%;16;2,97%;46;8,53%;98;18,18%;241;44,71%;23;4,27%
Municipals;2011;2;2;08279802002;509;262;8;;;0,514734774;0;0,00%;39;14,89%;2;0,76%;4;1,53%;7;2,67%;25;9,54%;43;16,41%;107;40,84%;17;6,49%
Municipals;2011;2;3;08279802003;497;250;7;1;242;0,501006036;1;0,40%;39;15,66%;2;0,80%;1;0,40%;4;1,61%;9;3,61%;40;16,06%;118;47,39%;15;6,02%
Municipals;2011;2;4;08279802004;737;361;10;3;348;0,485753053;0;0,00%;44;12,29%;5;1,40%;4;1,12%;4;1,12%;35;9,78%;53;14,80%;165;46,09%;25;6,98%
Municipals;2011;2;5;08279802005;789;397;13;9;375;0,491761724;1;0,26%;65;16,75%;9;2,32%;4;1,03%;12;3,09%;19;4,90%;62;15,98%;140;36,08%;34;8,76%
Municipals;2011;2;6;08279802006;689;337;14;6;317;0,480406386;0;0,00%;52;15,71%;13;3,93%;8;2,42%;14;4,23%;45;13,60%;51;15,41%;106;32,02%;19;5,74%
Municipals;2011;2;7;08279802007;318;141;8;1;132;0,440251572;1;0,71%;20;14,29%;2;1,43%;0;0,00%;3;2,14%;10;7,14%;41;29,29%;40;28,57%;8;5,71%
Municipals;2011;2;8;08279802008;712;332;20;1;311;0,46488764;3;0,91%;48;14,50%;14;4,23%;5;1,51%;10;3,02%;33;9,97%;37;11,18%;122;36,86%;26;7,85%
Municipals;2011;2;9;08279802009;564;282;9;3;270;0,494680851;3;1,08%;26;9,32%;6;2,15%;2;0,72%;8;2,87%;28;10,04%;46;16,49%;127;45,52%;11;3,94%
Municipals;2011;2;10;08279802010;462;230;8;4;218;0,489177489;0;0,00%;17;7,52%;3;1,33%;5;2,21%;7;3,10%;29;12,83%;36;15,93%;86;38,05%;21;9,29%
Municipals;2011;2;11;08279802011;851;346;20;7;319;0,398354877;1;0,29%;59;17,40%;10;2,95%;10;2,95%;3;0,88%;36;10,62%;49;14,45%;126;37,17%;14;4,13%
Municipals;2011;2;12;08279802012;633;305;20;1;284;0,480252765;0;0,00%;65;21,38%;4;1,32%;3;0,99%;28;9,21%;25;8,22%;35;11,51%;101;33,22%;7;2,30%
Municipals;2011;2;14;08279802014;1355;549;31;12;506;0,396309963;7;1,30%;89;16,57%;27;5,03%;12;2,23%;16;2,98%;66;12,29%;70;13,04%;170;31,66%;31;5,77%
Municipals;2011;2;15;08279802015;637;255;1;0;254;0,400313972;0;0,00%;144;56,47%;0;0,00%;2;0,78%;4;1,57%;6;2,35%;12;4,71%;68;26,67%;7;2,75%
Municipals;2011;2;16;08279802016;1173;457;48;7;402;0,383631714;3;0,67%;57;12,67%;16;3,56%;9;2,00%;19;4,22%;59;13,11%;47;10,44%;124;27,56%;45;10,00%
Municipals;2011;2;17;08279802017;846;325;7;5;313;0,378250591;1;0,31%;50;15,63%;8;2,50%;8;2,50%;4;1,25%;41;12,81%;28;8,75%;124;38,75%;32;10,00%
Municipals;2011;3;1;08279803001;1337;632;30;2;600;0,471204188;5;0,79%;146;23,17%;18;2,86%;6;0,95%;32;5,08%;51;8,10%;76;12,06%;222;35,24%;9;1,43%
Municipals;2011;3;2;08279803002;965;519;29;3;487;0,534715026;8;1,55%;127;24,61%;7;1,36%;8;1,55%;24;4,65%;49;9,50%;63;12,21%;163;31,59%;15;2,91%
Municipals;2011;3;3;08279803003;1165;520;28;4;488;0,442918455;2;0,39%;92;17,83%;10;1,94%;8;1,55%;24;4,65%;44;8,53%;58;11,24%;209;40,50%;20;3,88%
Municipals;2011;3;4;08279803004;894;348;31;6;311;0,382550336;3;0,88%;41;11,99%;10;2,92%;4;1,17%;4;1,17%;35;10,23%;37;10,82%;148;43,27%;18;5,26%
Municipals;2011;3;5;08279803005;1413;654;39;8;607;0,457183298;7;1,08%;195;30,19%;7;1,08%;12;1,86%;45;6,97%;53;8,20%;41;6,35%;193;29,88%;10;1,55%
Municipals;2011;3;6;08279803006;1400;672;36;5;631;0,476428571;9;1,35%;224;33,58%;8;1,20%;20;3,00%;49;7,35%;50;7,50%;66;9,90%;159;23,84%;20;3,00%
Municipals;2011;3;7;08279803007;1516;736;52;13;671;0,476912929;16;2,21%;205;28,35%;21;2,90%;27;3,73%;45;6,22%;76;10,51%;67;9,27%;167;23,10%;18;2,49%
Municipals;2011;3;8;08279803008;1203;550;17;7;526;0,451371571;1;0,18%;83;15,29%;10;1,84%;2;0,37%;8;1,47%;42;7,73%;68;12,52%;273;50,28%;20;3,68%
Municipals;2011;3;9;08279803009;1816;769;43;10;716;0,417951542;18;2,37%;158;20,82%;29;3,82%;14;1,84%;30;3,95%;98;12,91%;95;12,52%;213;28,06%;22;2,90%
Municipals;2011;3;10;08279803010;1537;631;22;8;601;0,405335068;1;0,16%;80;12,84%;11;1,77%;8;1,28%;7;1,12%;86;13,80%;96;15,41%;262;42,05%;22;3,53%
Municipals;2011;3;11;08279803011;1115;371;14;4;353;0,329147982;4;1,09%;40;10,90%;11;3,00%;3;0,82%;2;0,54%;32;8,72%;62;16,89%;161;43,87%;16;4,36%
Municipals;2011;3;12;08279803012;1715;757;30;8;719;0,436734694;1;0,13%;104;13,89%;25;3,34%;10;1,34%;14;1,87%;80;10,68%;190;25,37%;247;32,98%;17;2,27%
Municipals;2011;3;13;08279803013;425;206;8;1;197;0,482352941;1;0,49%;54;26,34%;2;0,98%;1;0,49%;2;0,98%;10;4,88%;25;12,20%;89;43,41%;6;2,93%
Municipals;2011;3;14;08279803014;1107;469;18;6;445;0,418247516;13;2,81%;66;14,25%;3;0,65%;13;2,81%;17;3,67%;35;7,56%;74;15,98%;186;40,17%;16;3,46%
Municipals;2011;3;15;08279803015;861;466;26;6;434;0,534262485;4;0,87%;81;17,61%;13;2,83%;3;0,65%;14;3,04%;54;11,74%;64;13,91%;172;37,39%;12;2,61%
Municipals;2011;3;16;08279803016;605;334;10;3;321;0,547107438;0;0,00%;19;5,74%;2;0,60%;5;1,51%;10;3,02%;25;7,55%;45;13,60%;183;55,29%;20;6,04%
Municipals;2011;3;17;08279803017;853;401;26;3;372;0,466588511;0;0,00%;45;11,31%;13;3,27%;7;1,76%;8;2,01%;37;9,30%;61;15,33%;169;42,46%;12;3,02%
Municipals;2011;3;18;08279803018;766;372;6;14;352;0,467362924;0;0,00%;42;11,73%;6;1,68%;9;2,51%;10;2,79%;31;8,66%;50;13,97%;153;42,74%;26;7,26%
Municipals;2011;3;19;08279803019;931;443;11;3;429;0,472610097;8;1,82%;49;11,14%;13;2,95%;2;0,45%;11;2,50%;43;9,77%;64;14,55%;211;47,95%;15;3,41%
Municipals;2011;3;20;08279803020;1224;544;25;7;512;0,43872549;6;1,12%;93;17,32%;13;2,42%;12;2,23%;40;7,45%;45;8,38%;68;12,66%;196;36,50%;21;3,91%
Municipals;2011;4;1;08279804001;1038;561;23;6;532;0,534682081;14;2,52%;274;49,37%;6;1,08%;6;1,08%;20;3,60%;36;6,49%;46;8,29%;107;19,28%;6;1,08%
Municipals;2011;4;2;08279804002;1128;589;22;13;554;0,510638298;10;1,74%;258;44,79%;7;1,22%;11;1,91%;33;5,73%;35;6,08%;31;5,38%;136;23,61%;5;0,87%
Municipals;2011;4;3;08279804003;1214;640;31;18;591;0,512355848;7;1,13%;206;33,12%;5;0,80%;8;1,29%;30;4,82%;65;10,45%;65;10,45%;160;25,72%;19;3,05%
Municipals;2011;4;4;08279804004;1094;577;23;8;546;0,520109689;9;1,58%;155;27,24%;6;1,05%;8;1,41%;31;5,45%;59;10,37%;63;11,07%;180;31,63%;11;1,93%
Municipals;2011;4;5;08279804005;1157;549;28;13;508;0,46326707;6;1,12%;160;29,85%;15;2,80%;17;3,17%;26;4,85%;48;8,96%;47;8,77%;145;27,05%;17;3,17%
Municipals;2011;4;6;08279804006;1359;696;34;13;649;0,502575423;7;1,02%;122;17,86%;22;3,22%;9;1,32%;19;2,78%;68;9,96%;89;13,03%;263;38,51%;15;2,20%
Municipals;2011;4;7;08279804007;1787;766;33;12;721;0,421936206;14;1,86%;131;17,37%;17;2,25%;10;1,33%;21;2,79%;80;10,61%;92;12,20%;292;38,73%;31;4,11%
Municipals;2011;4;8;08279804008;852;421;16;6;399;0,487089202;3;0,72%;70;16,87%;13;3,13%;1;0,24%;9;2,17%;62;14,94%;62;14,94%;129;31,08%;22;5,30%
Municipals;2011;4;9;08279804009;746;312;8;2;302;0,415549598;1;0,32%;24;7,74%;8;2,58%;8;2,58%;2;0,65%;30;9,68%;54;17,42%;123;39,68%;34;10,97%
Municipals;2011;4;10;08279804010;459;208;3;2;203;0,448801743;2;0,97%;18;8,74%;0;0,00%;0;0,00%;10;4,85%;20;9,71%;24;11,65%;113;54,85%;5;2,43%
Municipals;2011;4;11;08279804011;564;265;13;1;251;0,468085106;3;1,14%;38;14,39%;8;3,03%;3;1,14%;7;2,65%;27;10,23%;23;8,71%;122;46,21%;12;4,55%
Municipals;2011;4;12;08279804012;968;502;20;16;466;0,502066116;10;2,06%;111;22,84%;3;0,62%;11;2,26%;22;4,53%;57;11,73%;41;8,44%;171;35,19%;17;3,50%
Municipals;2011;4;13;08279804013;1198;654;25;23;606;0,526711185;8;1,27%;207;32,81%;6;0,95%;13;2,06%;40;6,34%;50;7,92%;58;9,19%;183;29,00%;13;2,06%
Municipals;2011;4;14;08279804014;941;552;23;9;520;0,577045696;14;2,58%;255;46,96%;3;0,55%;7;1,29%;46;8,47%;24;4,42%;55;10,13%;93;17,13%;1;0,18%
Municipals;2011;4;15;08279804015;837;496;18;7;471;0,584229391;13;2,66%;274;56,03%;1;0,20%;7;1,43%;29;5,93%;31;6,34%;42;8,59%;56;11,45%;4;0,82%
Municipals;2011;4;16;08279804016;923;551;17;11;523;0,585048754;16;2,96%;272;50,37%;2;0,37%;17;3,15%;26;4,81%;37;6,85%;56;10,37%;77;14,26%;1;0,19%
Municipals;2011;4;17;08279804017;1050;603;43;11;549;0,563809524;11;1,86%;195;32,94%;8;1,35%;18;3,04%;61;10,30%;41;6,93%;58;9,80%;115;19,43%;6;1,01%
Municipals;2011;4;18;08279804018;1603;824;37;10;777;0,507797879;17;2,09%;276;33,91%;16;1,97%;14;1,72%;45;5,53%;69;8,48%;69;8,48%;220;27,03%;16;1,97%
Municipals;2011;4;19;08279804019;915;429;25;7;397;0,461202186;7;1,66%;83;19,67%;10;2,37%;15;3,55%;18;4,27%;42;9,95%;60;14,22%;134;31,75%;11;2,61%
Municipals;2011;4;20;08279804020;528;237;11;3;223;0,443181818;2;0,85%;21;8,97%;1;0,43%;1;0,43%;2;0,85%;12;5,13%;34;14,53%;129;55,13%;14;5,98%
Municipals;2011;4;21;08279804021;779;359;19;6;334;0,453145058;3;0,85%;35;9,92%;3;0,85%;4;1,13%;9;2,55%;29;8,22%;56;15,86%;161;45,61%;19;5,38%
Municipals;2011;4;22;08279804022;1575;682;38;3;641;0,431111111;4;0,59%;82;12,08%;37;5,45%;15;2,21%;17;2,50%;74;10,90%;104;15,32%;203;29,90%;37;5,45%
Municipals;2011;4;23;08279804023;1519;721;34;12;675;0,466754444;6;0,85%;111;15,66%;23;3,24%;5;0,71%;13;1,83%;106;14,95%;92;12,98%;246;34,70%;29;4,09%
Municipals;2011;4;24;08279804024;1439;558;25;9;524;0,381514941;2;0,36%;102;18,58%;13;2,37%;7;1,28%;19;3,46%;49;8,93%;110;20,04%;174;31,69%;20;3,64%
Municipals;2011;4;25;08279804025;931;422;14;4;404;0,448979592;1;0,24%;97;23,21%;12;2,87%;8;1,91%;14;3,35%;41;9,81%;47;11,24%;153;36,60%;11;2,63%
Municipals;2011;4;26;08279804026;1030;595;32;9;554;0,568932039;12;2,05%;239;40,78%;4;0,68%;11;1,88%;33;5,63%;47;8,02%;55;9,39%;129;22,01%;4;0,68%
Municipals;2011;5;1;08279805001;1411;651;39;14;598;0,45145287;12;1,88%;153;24,02%;21;3,30%;14;2,20%;22;3,45%;52;8,16%;77;12,09%;195;30,61%;15;2,35%
Municipals;2011;5;2;08279805002;1126;519;21;12;486;0,45026643;3;0,59%;77;15,19%;6;1,18%;10;1,97%;10;1,97%;40;7,89%;79;15,58%;215;42,41%;20;3,94%
Municipals;2011;5;3;08279805003;1390;685;22;6;657;0,488489209;16;2,36%;212;31,22%;9;1,33%;14;2,06%;36;5,30%;51;7,51%;80;11,78%;195;28,72%;17;2,50%
Municipals;2011;5;4;08279805004;1114;593;36;10;547;0,523339318;9;1,54%;148;25,39%;8;1,37%;9;1,54%;50;8,58%;41;7,03%;57;9,78%;197;33,79%;12;2,06%
Municipals;2011;5;5;08279805005;752;389;15;5;369;0,510638298;8;2,08%;120;31,25%;3;0,78%;8;2,08%;25;6,51%;35;9,11%;36;9,38%;101;26,30%;11;2,86%
Municipals;2011;5;6;08279805006;1588;944;51;9;884;0,588790932;11;1,18%;269;28,77%;6;0,64%;21;2,25%;48;5,13%;79;8,45%;77;8,24%;232;24,81%;103;11,02%
Municipals;2011;5;7;08279805007;864;507;28;4;475;0,582175926;13;2,58%;163;32,41%;5;0,99%;7;1,39%;54;10,74%;50;9,94%;47;9,34%;108;21,47%;9;1,79%
Municipals;2011;5;8;08279805008;1402;708;35;13;660;0,495720399;11;1,58%;211;30,36%;10;1,44%;13;1,87%;56;8,06%;61;8,78%;54;7,77%;200;28,78%;8;1,15%
Municipals;2011;5;9;08279805009;1335;668;21;11;636;0,492134831;4;0,61%;179;27,25%;15;2,28%;9;1,37%;21;3,20%;70;10,65%;86;13,09%;226;34,40%;8;1,22%
Municipals;2011;5;10;08279805010;1457;748;21;10;717;0,506520247;7;0,95%;93;12,60%;18;2,44%;14;1,90%;15;2,03%;66;8,94%;109;14,77%;357;48,37%;13;1,76%
Municipals;2011;5;11;08279805011;1430;766;45;15;706;0,525174825;8;1,07%;175;23,30%;11;1,46%;13;1,73%;37;4,93%;67;8,92%;116;15,45%;235;31,29%;9;1,20%
Municipals;2011;5;12;08279805012;593;293;15;1;277;0,492411467;4;1,37%;56;19,18%;4;1,37%;1;0,34%;10;3,42%;25;8,56%;34;11,64%;129;44,18%;5;1,71%
Municipals;2011;5;13;08279805013;1022;435;23;6;406;0,419765166;4;0,93%;67;15,62%;8;1,86%;4;0,93%;12;2,80%;51;11,89%;44;10,26%;182;42,42%;11;2,56%
Municipals;2011;5;14;08279805014;1562;803;32;13;758;0,505761844;4;0,51%;135;17,09%;13;1,65%;8;1,01%;13;1,65%;64;8,10%;136;17,22%;331;41,90%;15;1,90%
Municipals;2011;5;15;08279805015;1511;658;21;16;621;0,424884183;3;0,47%;82;12,77%;17;2,65%;7;1,09%;29;4,52%;73;11,37%;67;10,44%;285;44,39%;31;4,83%
Municipals;2011;5;16;08279805016;1704;797;27;24;746;0,453638498;4;0,52%;133;17,21%;22;2,85%;10;1,29%;16;2,07%;72;9,31%;115;14,88%;312;40,36%;13;1,68%
Municipals;2011;5;17;08279805017;1271;576;43;2;531;0,451612903;5;0,87%;124;21,60%;18;3,14%;17;2,96%;15;2,61%;62;10,80%;63;10,98%;170;29,62%;9;1,57%
Municipals;2011;5;18;08279805018;998;544;21;0;523;0,54509018;3;0,55%;76;13,97%;9;1,65%;11;2,02%;6;1,10%;43;7,90%;105;19,30%;226;41,54%;13;2,39%
Municipals;2011;5;19;08279805019;799;311;16;10;285;0,376720901;1;0,33%;71;23,59%;11;3,65%;6;1,99%;11;3,65%;32;10,63%;33;10,96%;84;27,91%;15;4,98%
Municipals;2011;5;20;08279805020;1166;552;25;7;520;0,467409949;7;1,28%;160;29,36%;9;1,65%;20;3,67%;23;4,22%;51;9,36%;48;8,81%;161;29,54%;14;2,57%
Municipals;2011;5;21;08279805021;1372;725;19;5;701;0,524781341;10;1,39%;145;20,14%;23;3,19%;21;2,92%;24;3,33%;87;12,08%;97;13,47%;255;35,42%;16;2,22%
