Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;CiU;% CiU;CUP;% CUP;ERC;% ERC;PP;% PP;PSC;% PSC;PxC;% PxC;En Comú;% En Comú;Altres;% Altres
Municipals;2015;1;1;8279801001;1043;694;9;1;684;66,44%;29;4,18%;311;44,88%;48;6,93%;148;21,36%;43;6,20%;52;7,50%;4;0,58%;43;6,20%;6;0.0088
Municipals;2015;1;2;8279801002;1101;676;11;3;662;61,13%;25;3,71%;207;30,76%;55;8,17%;182;27,04%;35;5,20%;80;11,89%;3;0,45%;60;8,92%;15;0.0227
Municipals;2015;1;4;8279801004;1525;955;11;3;941;62,43%;58;6,09%;227;23,84%;118;12,39%;241;25,32%;48;5,04%;130;13,66%;3;0,32%;107;11,24%;9;0.0096
Municipals;2015;1;5;8279801005;998;627;4;1;622;62,73%;41;6,55%;178;28,43%;75;11,98%;137;21,88%;33;5,27%;80;12,78%;1;0,16%;71;11,34%;6;0.0096
Municipals;2015;1;6;8279801006;1173;765;6;4;755;64,88%;38;4,99%;245;32,19%;77;10,12%;172;22,60%;54;7,10%;95;12,48%;6;0,79%;58;7,62%;10;0.0132
Municipals;2015;1;7;8279801007;1336;796;12;3;781;59,36%;33;4,16%;237;29,89%;62;7,82%;179;22,57%;76;9,58%;119;15,01%;2;0,25%;64;8,07%;9;0.0115
Municipals;2015;1;8;8279801008;1843;1145;21;5;1119;61,86%;67;5,88%;400;35,09%;90;7,89%;256;22,46%;56;4,91%;145;12,72%;8;0,70%;88;7,72%;9;0.0080
Municipals;2015;1;9;8279801009;1036;632;7;1;624;60,91%;24;3,80%;187;29,64%;70;11,09%;161;25,52%;39;6,18%;76;12,04%;5;0,79%;53;8,40%;9;0.0144
Municipals;2015;1;10;8279801010;949;563;7;0;556;59,33%;33;5,86%;105;18,65%;51;9,06%;163;28,95%;18;3,20%;110;19,54%;6;1,07%;66;11,72%;4;0.0072
Municipals;2015;1;11;8279801011;919;531;9;1;521;57,67%;60;11,32%;54;10,19%;36;6,79%;93;17,55%;18;3,40%;151;28,49%;3;0,57%;102;19,25%;4;0.0077
Municipals;2015;1;12;8279801012;1112;648;10;5;633;57,82%;61;9,49%;76;11,82%;46;7,15%;112;17,42%;22;3,42%;161;25,04%;7;1,09%;139;21,62%;9;0.0142
Municipals;2015;1;13;8279801013;622;311;0;5;306;49,20%;56;18,30%;7;2,29%;18;5,88%;29;9,48%;13;4,25%;102;33,33%;6;1,96%;69;22,55%;6;0.0196
Municipals;2015;1;14;8279801014;1564;864;11;5;848;54,92%;106;12,34%;67;7,80%;26;3,03%;103;11,99%;62;7,22%;248;28,87%;22;2,56%;198;23,05%;16;0.0189
Municipals;2015;1;15;8279801015;902;505;3;2;500;55,76%;44;8,75%;77;15,31%;20;3,98%;75;14,91%;17;3,38%;148;29,42%;9;1,79%;103;20,48%;7;0.0140
Municipals;2015;1;16;8279801016;1841;1079;19;4;1056;58,39%;92;8,56%;211;19,63%;110;10,23%;222;20,65%;48;4,47%;222;20,65%;17;1,58%;126;11,72%;8;0.0076
Municipals;2015;1;17;8279801017;1682;1050;9;5;1036;62,13%;42;4,02%;288;27,56%;89;8,52%;245;23,44%;49;4,69%;184;17,61%;11;1,05%;116;11,10%;12;0.0116
Municipals;2015;1;18;8279801018;420;306;2;0;304;72,86%;25;8,17%;77;25,16%;36;11,76%;74;24,18%;16;5,23%;46;15,03%;5;1,63%;22;7,19%;3;0.0099
Municipals;2015;1;19;8279801019;1105;654;7;3;644;58,91%;71;10,91%;66;10,14%;52;7,99%;95;14,59%;38;5,84%;176;27,04%;7;1,08%;124;19,05%;15;0.0233
Municipals;2015;1;20;8279801020;1009;675;7;2;666;66,70%;62;9,21%;130;19,32%;54;8,02%;138;20,51%;33;4,90%;159;23,63%;5;0,74%;80;11,89%;5;0.0075
Municipals;2015;1;21;8279801021;1075;641;8;0;633;59,63%;72;11,23%;96;14,98%;38;5,93%;101;15,76%;45;7,02%;142;22,15%;6;0,94%;125;19,50%;8;0.0126
Municipals;2015;1;22;8279801022;1384;827;10;1;816;59,68%;46;5,57%;197;23,85%;82;9,93%;152;18,40%;48;5,81%;156;18,89%;4;0,48%;109;13,20%;22;0.0270
Municipals;2015;1;23;8279801023;957;621;9;2;610;64,68%;59;9,53%;96;15,51%;71;11,47%;130;21,00%;32;5,17%;118;19,06%;10;1,62%;87;14,05%;7;0.0115
Municipals;2015;1;24;8279801024;619;446;7;2;437;71,73%;19;4,28%;161;36,26%;34;7,66%;106;23,87%;22;4,95%;41;9,23%;0;0,00%;49;11,04%;5;0.0114
Municipals;2015;2;1;8279802001;1070;582;3;1;578;54,30%;77;13,25%;25;4,30%;16;2,75%;50;8,61%;52;8,95%;218;37,52%;29;4,99%;103;17,73%;8;0.0138
Municipals;2015;2;2;8279802002;515;224;1;0;223;43,50%;33;14,73%;7;3,13%;5;2,23%;8;3,57%;15;6,70%;101;45,09%;13;5,80%;40;17,86%;1;0.0045
Municipals;2015;2;3;8279802003;828;411;5;2;404;49,40%;52;12,71%;12;2,93%;12;2,93%;27;6,60%;31;7,58%;170;41,56%;22;5,38%;74;18,09%;4;0.0099
Municipals;2015;2;4;8279802004;711;353;2;3;348;49,23%;41;11,71%;12;3,43%;9;2,57%;17;4,86%;29;8,29%;146;41,71%;14;4,00%;74;21,14%;6;0.0172
Municipals;2015;2;5;8279802005;828;406;1;3;402;48,67%;63;15,63%;22;5,46%;8;1,99%;27;6,70%;27;6,70%;153;37,97%;21;5,21%;76;18,86%;5;0.0124
Municipals;2015;2;6;8279802006;726;415;4;1;410;57,02%;51;12,32%;18;4,35%;15;3,62%;32;7,73%;43;10,39%;133;32,13%;17;4,11%;92;22,22%;9;0.0220
Municipals;2015;2;8;8279802008;696;362;2;5;355;51,29%;51;14,29%;11;3,08%;15;4,20%;17;4,76%;23;6,44%;112;31,37%;21;5,88%;97;27,17%;8;0.0225
Municipals;2015;2;9;8279802009;1088;548;7;1;540;50,28%;74;13,53%;16;2,93%;15;2,74%;41;7,50%;31;5,67%;208;38,03%;33;6,03%;111;20,29%;11;0.0204
Municipals;2015;2;11;8279802011;804;404;5;2;397;50,00%;54;13,43%;15;3,73%;9;2,24%;23;5,72%;26;6,47%;132;32,84%;20;4,98%;95;23,63%;23;0.0579
Municipals;2015;2;12;8279802012;679;310;2;2;306;45,36%;30;9,74%;13;4,22%;3;0,97%;16;5,19%;20;6,49%;133;43,18%;7;2,27%;78;25,32%;6;0.0196
Municipals;2015;2;14;8279802014;1420;722;17;5;700;50,49%;128;17,85%;26;3,63%;41;5,72%;44;6,14%;23;3,21%;203;28,31%;30;4,18%;196;27,34%;9;0.0129
