Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;VOTS_VALIDS;Participació;Cs;% Cs;CUP;% CUP;ERC;% ERC;Junts;% Junts;Podem;% Podem;PP;% PP;PRIMARIES;% PRIMARIES;PSC;% PSC;TEC;% TEC;TxT;% TxT;VOX;% VOX;Altres;% Altres
Municipals;2019;1;1;8279801001;1096;842;2;1;839;841;76.73;33;3.92;58;6.9;200;23.78;226;26.87;6;0.71;23;2.73;23;2.73;53;6.3;16;1.9;178;21.17;6;0.71;17;0.0203
Municipals;2019;1;2;8279801002;1117;791;5;0;786;791;70.81;22;2.78;56;7.08;189;23.89;175;22.12;8;1.01;20;2.53;17;2.15;69;8.72;51;6.45;162;20.48;4;0.51;13;0.0165
Municipals;2019;1;4;8279801004;1539;1131;4;6;1121;1125;73.1;33;2.93;83;7.38;273;24.27;197;17.51;19;1.69;34;3.02;36;3.2;96;8.53;50;4.44;280;24.89;12;1.07;8;0.0071
Municipals;2019;1;5;8279801005;987;764;3;2;759;762;77.2;34;4.46;43;5.64;181;23.75;124;16.27;15;1.97;29;3.81;22;2.89;79;10.37;44;5.77;180;23.62;5;0.66;3;0.004
Municipals;2019;1;6;8279801006;1212;899;3;0;896;899;74.17;47;5.23;39;4.34;231;25.7;189;21.02;9;1;23;2.56;34;3.78;79;8.79;37;4.12;187;20.8;9;1;12;0.0134
Municipals;2019;1;7;8279801007;1428;1000;6;1;993;999;69.96;35;3.5;46;4.6;208;20.82;199;19.92;13;1.3;43;4.3;33;3.3;97;9.71;32;3.2;266;26.63;11;1.1;10;0.0101
Municipals;2019;1;8;8279801008;1983;1467;7;1;1459;1466;73.93;72;4.91;83;5.66;325;22.17;298;20.33;16;1.09;46;3.14;39;2.66;121;8.25;53;3.62;383;26.13;14;0.95;9;0.0062
Municipals;2019;1;9;8279801009;1050;746;2;3;741;743;70.76;43;5.79;53;7.13;194;26.11;129;17.36;14;1.88;23;3.1;20;2.69;45;6.06;38;5.11;161;21.67;12;1.62;9;0.0121
Municipals;2019;1;10;8279801010;981;693;3;0;690;693;70.64;31;4.47;50;7.22;185;26.7;97;14;14;2.02;16;2.31;21;3.03;71;10.25;34;4.91;163;23.52;5;0.72;3;0.0043
Municipals;2019;1;11;8279801011;923;590;5;2;583;588;63.71;45;7.65;31;5.27;98;16.67;29;4.93;30;5.1;15;2.55;3;0.51;117;19.9;37;6.29;169;28.74;9;1.53;0;0
Municipals;2019;1;12;8279801012;1100;692;5;2;685;690;62.73;37;5.36;28;4.06;123;17.83;56;8.12;38;5.51;18;2.61;16;2.32;130;18.84;31;4.49;203;29.42;0;0;5;0.0073
Municipals;2019;1;13;8279801013;643;390;6;2;382;388;60.34;38;9.79;10;2.58;32;8.25;2;0.52;27;6.96;9;2.32;1;0.26;111;28.61;15;3.87;117;30.15;19;4.9;1;0.0026
Municipals;2019;1;14;8279801014;1625;946;1;4;941;942;57.97;109;11.57;30;3.18;125;13.27;53;5.63;32;3.4;40;4.25;9;0.96;222;23.57;45;4.78;250;26.54;25;2.65;1;0.0011
Municipals;2019;1;15;8279801015;936;601;6;1;594;600;64.1;38;6.33;25;4.17;82;13.67;59;9.83;23;3.83;9;1.5;8;1.33;140;23.33;26;4.33;164;27.33;20;3.33;0;0
Municipals;2019;1;16;8279801016;1864;1246;2;4;1240;1242;66.63;67;5.39;66;5.31;284;22.87;169;13.61;44;3.54;16;1.29;27;2.17;197;15.86;34;2.74;313;25.2;22;1.77;1;0.0008
Municipals;2019;1;17;8279801017;1657;1193;2;2;1189;1191;71.88;48;4.03;56;4.7;306;25.69;195;16.37;30;2.52;26;2.18;34;2.85;127;10.66;64;5.37;292;24.52;7;0.59;4;0.0034
Municipals;2019;1;18;8279801018;440;342;2;1;339;341;77.5;15;4.4;26;7.62;85;24.93;67;19.65;5;1.47;5;1.47;9;2.64;35;10.26;13;3.81;76;22.29;1;0.29;2;0.0059
Municipals;2019;1;19;8279801019;1158;735;7;2;726;733;63.3;56;7.64;30;4.09;125;17.05;49;6.68;23;3.14;30;4.09;4;0.55;128;17.46;49;6.68;217;29.6;15;2.05;0;0
Municipals;2019;1;20;8279801020;1049;800;3;2;795;798;76.07;50;6.27;46;5.76;171;21.43;85;10.65;14;1.75;29;3.63;15;1.88;124;15.54;32;4.01;221;27.69;4;0.5;4;0.005
Municipals;2019;1;21;8279801021;1070;696;4;1;691;695;64.95;68;9.78;25;3.6;125;17.99;78;11.22;17;2.45;24;3.45;9;1.29;129;18.56;37;5.32;172;24.75;6;0.86;1;0.0014
Municipals;2019;1;22;8279801022;1405;982;6;1;975;981;69.82;51;5.2;53;5.4;194;19.78;131;13.35;19;1.94;33;3.36;27;2.75;127;12.95;44;4.49;277;28.24;12;1.22;7;0.0072
Municipals;2019;1;23;8279801023;968;756;4;1;751;755;78;66;8.74;36;4.77;160;21.19;79;10.46;19;2.52;24;3.18;7;0.93;120;15.89;47;6.23;174;23.05;11;1.46;8;0.0107
Municipals;2019;1;24;8279801024;663;493;4;0;489;493;74.36;15;3.04;24;4.87;124;25.15;121;24.54;10;2.03;18;3.65;19;3.85;42;8.52;30;6.09;80;16.23;2;0.41;4;0.0082
Municipals;2019;2;1;8279802001;1094;612;1;2;609;610;55.76;62;10.16;16;2.62;58;9.51;16;2.62;22;3.61;22;3.61;3;0.49;185;30.33;25;4.1;167;27.38;27;4.43;6;0.0099
Municipals;2019;2;2;8279802002;458;187;0;1;186;186;40.61;10;5.38;2;1.08;10;5.38;8;4.3;9;4.84;9;4.84;1;0.54;63;33.87;12;6.45;54;29.03;8;4.3;0;0
Municipals;2019;2;3;8279802003;799;381;1;0;380;381;47.68;45;11.81;7;1.84;33;8.66;6;1.57;8;2.1;17;4.46;1;0.26;127;33.33;15;3.94;106;27.82;15;3.94;0;0
Municipals;2019;2;4;8279802004;660;319;3;0;316;319;48.33;45;14.11;8;2.51;12;3.76;8;2.51;19;5.96;19;5.96;1;0.31;91;28.53;14;4.39;88;27.59;9;2.82;2;0.0063
Municipals;2019;2;5;8279802005;827;468;4;2;462;466;56.35;49;10.52;9;1.93;34;7.3;8;1.72;21;4.51;22;4.72;3;0.64;117;25.11;21;4.51;160;34.33;15;3.22;3;0.0065
Municipals;2019;2;6;8279802006;737;399;0;1;398;398;54;43;10.8;12;3.02;33;8.29;17;4.27;19;4.77;17;4.27;0;0;112;28.14;24;6.03;109;27.39;12;3.02;0;0
Municipals;2019;2;8;8279802008;781;450;2;2;446;448;57.36;57;12.72;7;1.56;28;6.25;8;1.79;26;5.8;15;3.35;2;0.45;125;27.9;19;4.24;142;31.7;16;3.57;1;0.0022
Municipals;2019;2;9;8279802009;1121;570;0;0;570;570;50.85;46;8.07;11;1.93;46;8.07;13;2.28;27;4.74;19;3.33;2;0.35;185;32.46;32;5.61;174;30.53;15;2.63;0;0
Municipals;2019;2;11;8279802011;827;420;2;2;416;418;50.54;52;12.44;12;2.87;29;6.94;10;2.39;20;4.78;17;4.07;1;0.24;116;27.75;17;4.07;124;29.67;17;4.07;1;0.0024
Municipals;2019;2;12;8279802012;673;307;2;4;301;303;45.02;20;6.6;5;1.65;14;4.62;3;0.99;17;5.61;14;4.62;0;0;68;22.44;10;3.3;137;45.21;12;3.96;1;0.0033
Municipals;2019;2;14;8279802014;1477;793;2;3;788;790;53.49;83;10.51;22;2.78;86;10.89;14;1.77;45;5.7;17;2.15;2;0.25;155;19.62;33;4.18;295;37.34;33;4.18;3;0.0038
Municipals;2019;2;15;8279802015;595;222;0;0;222;222;37.31;27;12.16;0;0;5;2.25;2;0.9;11;4.95;10;4.5;0;0;66;29.73;7;3.15;83;37.39;11;4.95;0;0
Municipals;2019;2;16;8279802016;1573;888;0;3;885;885;56.26;99;11.19;31;3.5;120;13.56;24;2.71;50;5.65;12;1.36;0;0;173;19.55;40;4.52;299;33.79;37;4.18;0;0
