Elecció;Any;Districte;Secció;CDIS;CSEC;CUSEC;Censo;Votants;Vots;Participació;ARA PL;% ARA PL;Junts;% Junts;Cs;% Cs;CUP;% CUP;ERC;% ERC;PACMA;% PACMA;PCTC;% PCTC;PFIV;% PFIV;PP;% PP;PSC;% PSC;Comuns;% Comuns;TxT;% TxT;Valents;% Valents;VOX;% VOX;Altres;% Altres
Municipals;2023;1;1;01;001;0827901001;1052;626;620;59,51%;0;0,00%;193;31,13%;4;0,65%;43;6,94%;52;8,39%;4;0,65%;1;0,16%;24;3,87%;24;3,87%;46;7,42%;14;2,26%;191;30,81%;0;0,00%;12;1,94%;37;0.0597
Municipals;2023;1;2;01;002;0827901002;1146;691;685;60,30%;3;0,43%;175;25,55%;10;1,46%;42;6,13%;76;11,09%;4;0,58%;0;0,00%;14;2,04%;31;4,53%;68;9,93%;39;5,69%;192;28,03%;0;0,00%;19;2,77%;29;0.0423
Municipals;2023;1;4;01;004;0827901004;1575;956;947;60,70%;3;0,31%;176;18,59%;4;0,42%;70;7,39%;112;11,83%;14;1,48%;5;0,53%;15;1,58%;44;4,65%;96;10,14%;38;4,01%;310;32,73%;2;0,21%;43;4,54%;40;0.0422
Municipals;2023;1;5;01;005;0827901005;1068;641;632;60,02%;0;0,00%;124;19,62%;7;1,11%;41;6,49%;71;11,23%;6;0,95%;0;0,00%;7;1,11%;34;5,38%;87;13,77%;29;4,59%;189;29,91%;0;0,00%;22;3,48%;22;0.0348
Municipals;2023;1;6;01;006;0827901006;1208;735;718;60,84%;0;0,00%;162;22,56%;8;1,11%;36;5,01%;79;11,00%;10;1,39%;0;0,00%;20;2,79%;31;4,32%;77;10,72%;27;3,76%;226;31,48%;2;0,28%;29;4,04%;33;0.0460
Municipals;2023;1;7;01;007;0827901007;1437;797;783;55,46%;2;0,25%;149;19,03%;7;0,89%;36;4,60%;60;7,66%;6;0,77%;2;0,26%;16;2,04%;46;5,87%;95;12,13%;19;2,43%;281;35,89%;6;0,77%;47;6,00%;37;0.0473
Municipals;2023;1;8;01;008;0827901008;980;601;594;61,33%;3;0,50%;129;21,72%;6;1,01%;42;7,07%;52;8,75%;2;0,34%;0;0,00%;13;2,19%;33;5,56%;60;10,10%;18;3,03%;206;34,68%;1;0,17%;22;3,70%;24;0.0404
Municipals;2023;1;9;01;009;0827901009;1048;630;627;60,11%;1;0,16%;133;21,21%;6;0,96%;34;5,42%;56;8,93%;4;0,64%;0;0,00%;20;3,19%;41;6,54%;69;11,00%;24;3,83%;199;31,74%;3;0,48%;28;4,47%;33;0.0526
Municipals;2023;1;10;01;010;0827901010;1013;603;600;59,53%;3;0,50%;84;14,00%;1;0,17%;52;8,67%;70;11,67%;12;2,00%;1;0,17%;2;0,33%;26;4,33%;91;15,17%;35;5,83%;180;30,00%;1;0,17%;32;5,33%;17;0.0283
Municipals;2023;1;11;01;011;0827901011;953;496;489;52,05%;2;0,40%;43;8,79%;8;1,64%;27;5,52%;47;9,61%;5;1,02%;0;0,00%;0;0,00%;32;6,54%;94;19,22%;32;6,54%;152;31,08%;2;0,41%;33;6,75%;16;0.0327
