Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU;% CiU;PP;% PP;ICV;% ICV;ERC;% ERC;EUiA;% EUiA;Verds;% Verds;Altres;% Altres
Municipals;1999;1;1;1839;809;11;12;786;43.99%;159;19.95%;392;49.18%;131;16.44%;10;1.25%;76;9.54%;3;0.38%;13;1.63%;2;0.25%
Municipals;1999;1;2;1096;671;18;2;651;61.22%;132;19.73%;269;40.21%;106;15.84%;21;3.14%;89;13.30%;2;0.30%;27;4.04%;5;0.75%
Municipals;1999;1;4;1096;633;21;1;611;57.76%;122;19.30%;247;39.08%;96;15.19%;39;6.17%;86;13.61%;5;0.79%;11;1.74%;5;0.79%
Municipals;1999;1;5;1590;864;27;1;836;54.34%;233;27.00%;329;38.12%;94;10.89%;35;4.06%;114;13.21%;9;1.04%;20;2.32%;2;0.23%
Municipals;1999;1;6;1584;855;22;7;826;53.98%;194;22.88%;334;39.39%;122;14.39%;42;4.95%;111;13.09%;0;0.00%;13;1.53%;10;1.18%
Municipals;1999;1;7;1140;656;13;0;643;57.54%;162;24.70%;229;34.91%;109;16.62%;22;3.35%;89;13.57%;6;0.91%;21;3.20%;5;0.76%
Municipals;1999;1;8;895;495;13;3;479;55.31%;95;19.31%;205;41.67%;75;15.24%;23;4.67%;65;13.21%;1;0.20%;14;2.85%;1;0.20%
Municipals;1999;1;9;789;435;23;1;411;55.13%;86;19.82%;166;38.25%;67;15.44%;17;3.92%;52;11.98%;10;2.30%;10;2.30%;3;0.69%
Municipals;1999;1;10;669;367;14;1;352;54.86%;99;27.05%;120;32.79%;27;7.38%;22;6.01%;48;13.11%;9;2.46%;25;6.83%;2;0.55%
Municipals;1999;1;11;760;384;7;1;376;50.53%;222;57.96%;56;14.62%;34;8.88%;17;4.44%;22;5.74%;4;1.04%;19;4.96%;2;0.52%
Municipals;1999;1;12;2337;1168;30;1;1137;49.98%;509;43.62%;206;17.65%;135;11.57%;129;11.05%;88;7.54%;20;1.71%;40;3.43%;10;0.86%
Municipals;1999;1;13;615;291;5;0;286;47.32%;192;65.98%;15;5.15%;27;9.28%;12;4.12%;8;2.75%;14;4.81%;18;6.19%;0;0.00%
Municipals;1999;1;14;1757;875;17;5;853;49.80%;500;57.47%;109;12.53%;116;13.33%;46;5.29%;41;4.71%;7;0.80%;32;3.68%;2;0.23%
Municipals;1999;1;15;2006;997;10;1;986;49.70%;441;44.28%;239;24.00%;85;8.53%;69;6.93%;86;8.63%;20;2.01%;40;4.02%;6;0.60%
Municipals;1999;1;16;1815;1013;20;4;989;55.81%;417;41.33%;238;23.59%;109;10.80%;81;8.03%;106;10.51%;5;0.50%;30;2.97%;3;0.30%
Municipals;1999;1;17;1779;1038;32;3;1003;58.35%;320;30.92%;383;37.00%;108;10.43%;45;4.35%;104;10.05%;17;1.64%;26;2.51%;0;0.00%
Municipals;1999;1;18;404;222;3;3;216;54.95%;50;22.83%;79;36.07%;34;15.53%;7;3.20%;39;17.81%;2;0.91%;4;1.83%;1;0.46%
Municipals;1999;2;1;1357;693;19;1;673;51.07%;438;63.29%;39;5.64%;95;13.73%;39;5.64%;22;3.18%;20;2.89%;19;2.75%;1;0.14%
Municipals;1999;2;2;1080;545;7;2;536;50.46%;388;71.45%;31;5.71%;53;9.76%;17;3.13%;5;0.92%;22;4.05%;19;3.50%;1;0.18%
Municipals;1999;2;3;777;431;2;2;427;55.47%;302;70.40%;20;4.66%;61;14.22%;24;5.59%;9;2.10%;6;1.40%;3;0.70%;2;0.47%
Municipals;1999;2;4;1140;598;8;5;585;52.46%;384;64.76%;51;8.60%;56;9.44%;42;7.08%;11;1.85%;29;4.89%;9;1.52%;3;0.51%
Municipals;1999;2;5;1047;544;18;2;524;51.96%;354;65.31%;33;6.09%;77;14.21%;26;4.80%;7;1.29%;15;2.77%;8;1.48%;4;0.74%
Municipals;1999;2;6;864;422;8;4;410;48.84%;225;53.83%;51;12.20%;59;14.11%;35;8.37%;13;3.11%;6;1.44%;17;4.07%;4;0.96%
Municipals;1999;2;7;537;303;2;1;300;56.42%;197;65.23%;12;3.97%;38;12.58%;25;8.28%;2;0.66%;23;7.62%;3;0.99%;0;0.00%
Municipals;1999;2;8;866;439;7;3;429;50.69%;284;65.14%;27;6.19%;49;11.24%;38;8.72%;9;2.06%;12;2.75%;10;2.29%;0;0.00%
Municipals;1999;2;9;764;369;1;0;368;48.30%;259;70.19%;19;5.15%;37;10.03%;26;7.05%;2;0.54%;15;4.07%;9;2.44%;1;0.27%
Municipals;1999;2;10;534;280;2;1;277;52.43%;180;64.52%;33;11.83%;25;8.96%;19;6.81%;1;0.36%;6;2.15%;13;4.66%;0;0.00%
Municipals;1999;2;11;763;360;12;3;345;47.18%;247;69.19%;8;2.24%;37;10.36%;25;7.00%;6;1.68%;12;3.36%;10;2.80%;0;0.00%
Municipals;1999;2;12;991;506;2;5;499;51.06%;311;62.08%;70;13.97%;51;10.18%;20;3.99%;8;1.60%;24;4.79%;14;2.79%;1;0.20%
Municipals;1999;2;14;1300;505;5;7;493;38.85%;318;63.86%;27;5.42%;54;10.84%;49;9.84%;9;1.81%;23;4.62%;11;2.21%;2;0.40%
Municipals;1999;2;15;789;308;4;1;303;39.04%;144;46.91%;101;32.90%;17;5.54%;34;11.07%;3;0.98%;1;0.33%;2;0.65%;1;0.33%
Municipals;1999;3;1;993;491;16;3;472;49.45%;232;47.54%;97;19.88%;39;7.99%;37;7.58%;43;8.81%;6;1.23%;14;2.87%;4;0.82%
Municipals;1999;3;2;2027;943;8;1;934;46.52%;486;51.59%;143;15.18%;105;11.15%;65;6.90%;84;8.92%;19;2.02%;24;2.55%;8;0.85%
Municipals;1999;3;3;1061;475;8;0;467;44.77%;282;59.37%;55;11.58%;57;12.00%;34;7.16%;13;2.74%;12;2.53%;11;2.32%;3;0.63%
Municipals;1999;3;4;869;423;8;1;414;48.68%;244;57.82%;41;9.72%;61;14.45%;24;5.69%;14;3.32%;21;4.98%;7;1.66%;2;0.47%
Municipals;1999;3;5;1123;526;15;1;510;46.84%;241;45.90%;138;26.29%;40;7.62%;14;2.67%;54;10.29%;4;0.76%;17;3.24%;2;0.38%
Municipals;1999;3;6;827;465;10;6;449;56.23%;134;29.19%;158;34.42%;57;12.42%;23;5.01%;57;12.42%;4;0.87%;12;2.61%;4;0.87%
