Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;VOTS_VALIDS;Participació;CiU;% CiU;PSC;% PSC;ERC;% ERC;PP;% PP;ICV;% ICV;Cs;% Cs;Verds;% Verds;Altres;% Altres
Parlament;2006;1;1;1041;767;23;1;743;766;73.68%;463;60.44%;61;7.96%;93;12.14%;62;8.09%;44;5.74%;3;0.39%;5;0.65%;12;1.57%
Parlament;2006;1;2;1089;765;18;0;747;765;70.25%;379;49.54%;60;7.84%;130;16.99%;63;8.24%;69;9.02%;19;2.48%;6;0.78%;21;2.75%
Parlament;2006;1;4;1228;865;27;4;834;861;70.44%;399;46.34%;86;9.99%;146;16.96%;76;8.83%;89;10.34%;17;1.97%;5;0.58%;16;1.86%
Parlament;2006;1;5;863;639;13;1;625;638;74.04%;304;47.65%;80;12.54%;93;14.58%;59;9.25%;66;10.34%;10;1.57%;1;0.16%;12;1.88%
Parlament;2006;1;6;1845;1310;24;4;1282;1306;71.00%;633;48.47%;150;11.49%;193;14.78%;118;9.04%;125;9.57%;23;1.76%;5;0.38%;35;2.68%
Parlament;2006;1;7;1194;832;11;2;819;830;69.68%;398;47.95%;112;13.49%;129;15.54%;89;10.72%;58;6.99%;16;1.93%;2;0.24%;15;1.81%
Parlament;2006;1;8;1295;901;22;4;875;897;69.58%;460;51.28%;90;10.03%;142;15.83%;83;9.25%;70;7.80%;14;1.56%;10;1.11%;6;0.67%
Parlament;2006;1;9;798;562;11;1;550;561;70.43%;287;51.16%;64;11.41%;97;17.29%;46;8.20%;46;8.20%;3;0.53%;5;0.89%;2;0.36%
Parlament;2006;1;10;905;618;14;1;603;617;68.29%;231;37.44%;106;17.18%;131;21.23%;33;5.35%;76;12.32%;14;2.27%;3;0.49%;9;1.46%
Parlament;2006;1;11;909;526;16;0;510;526;57.87%;137;26.05%;172;32.70%;72;13.69%;45;8.56%;50;9.51%;20;3.80%;3;0.57%;11;2.09%
Parlament;2006;1;12;1073;566;13;0;553;566;52.75%;189;33.39%;139;24.56%;101;17.84%;45;7.95%;35;6.18%;21;3.71%;6;1.06%;17;3.00%
Parlament;2006;1;13;620;298;7;0;291;298;48.06%;60;20.13%;119;39.93%;24;8.05%;36;12.08%;38;12.75%;8;2.68%;1;0.34%;5;1.68%
Parlament;2006;1;14;1621;838;18;6;814;832;51.70%;207;24.88%;275;33.05%;105;12.62%;113;13.58%;69;8.29%;31;3.73%;7;0.84%;7;0.84%
Parlament;2006;1;15;940;553;10;1;542;552;58.83%;166;30.07%;154;27.90%;101;18.30%;37;6.70%;58;10.51%;12;2.17%;11;1.99%;3;0.54%
Parlament;2006;1;16;1786;1119;17;2;1100;1117;62.65%;384;34.38%;245;21.93%;229;20.50%;84;7.52%;113;10.12%;26;2.33%;6;0.54%;13;1.16%
Parlament;2006;1;17;1668;1176;42;2;1132;1174;70.50%;533;45.40%;174;14.82%;176;14.99%;81;6.90%;144;12.27%;13;1.11%;6;0.51%;5;0.43%
Parlament;2006;1;18;393;245;7;3;235;242;62.34%;118;48.76%;33;13.64%;37;15.29%;13;5.37%;25;10.33%;1;0.41%;2;0.83%;6;2.48%
Parlament;2006;1;19;886;493;9;1;483;492;55.64%;154;31.30%;138;28.05%;63;12.80%;54;10.98%;45;9.15%;13;2.64%;9;1.83%;7;1.42%
Parlament;2006;1;20;837;585;24;3;558;582;69.89%;199;34.19%;120;20.62%;85;14.60%;63;10.82%;59;10.14%;26;4.47%;2;0.34%;4;0.69%
Parlament;2006;1;21;1049;617;15;0;602;617;58.82%;214;34.68%;165;26.74%;86;13.94%;43;6.97%;64;10.37%;15;2.43%;7;1.13%;8;1.30%
Parlament;2006;1;22;1279;799;10;0;789;799;62.47%;333;41.68%;132;16.52%;134;16.77%;71;8.89%;71;8.89%;24;3.00%;6;0.75%;18;2.25%
Parlament;2006;1;23;849;575;20;6;549;569;67.73%;201;35.33%;95;16.70%;84;14.76%;51;8.96%;65;11.42%;41;7.21%;7;1.23%;5;0.88%
Parlament;2006;2;1;1102;565;11;0;554;565;51.27%;96;16.99%;247;43.72%;38;6.73%;98;17.35%;44;7.79%;14;2.48%;7;1.24%;10;1.77%
Parlament;2006;2;2;609;260;6;0;254;260;42.69%;37;14.23%;125;48.08%;13;5.00%;45;17.31%;21;8.08%;5;1.92%;4;1.54%;4;1.54%
Parlament;2006;2;3;566;251;2;1;248;250;44.35%;51;20.40%;134;53.60%;11;4.40%;33;13.20%;14;5.60%;5;2.00%;0;0.00%;0;0.00%
Parlament;2006;2;4;814;382;11;2;369;380;46.93%;51;13.42%;189;49.74%;8;2.11%;71;18.68%;37;9.74%;6;1.58%;1;0.26%;6;1.58%
Parlament;2006;2;5;844;426;14;4;408;422;50.47%;72;17.06%;192;45.50%;27;6.40%;52;12.32%;37;8.77%;15;3.55%;5;1.18%;8;1.90%
Parlament;2006;2;6;691;366;12;0;354;366;52.97%;72;19.67%;145;39.62%;29;7.92%;48;13.11%;41;11.20%;14;3.83%;2;0.55%;3;0.82%
Parlament;2006;2;7;356;154;2;0;152;154;43.26%;31;20.13%;64;41.56%;4;2.60%;30;19.48%;16;10.39%;0;0.00%;0;0.00%;7;4.55%
Parlament;2006;2;8;744;335;6;0;329;335;45.03%;62;18.51%;152;45.37%;27;8.06%;47;14.03%;25;7.46%;4;1.19%;5;1.49%;7;2.09%
Parlament;2006;2;9;634;310;8;0;302;310;48.90%;32;10.32%;149;48.06%;26;8.39%;34;10.97%;41;13.23%;10;3.23%;4;1.29%;6;1.94%
Parlament;2006;2;10;469;211;5;0;206;211;44.99%;39;18.48%;99;46.92%;13;6.16%;30;14.22%;15;7.11%;7;3.32%;2;0.95%;1;0.47%
Parlament;2006;2;11;761;309;5;1;303;308;40.60%;49;15.91%;145;47.08%;19;6.17%;38;12.34%;35;11.36%;11;3.57%;1;0.32%;5;1.62%
Parlament;2006;2;12;733;332;6;1;325;331;45.29%;87;26.28%;137;41.39%;18;5.44%;32;9.67%;32;9.67%;7;2.11%;4;1.21%;8;2.42%
Parlament;2006;2;14;1685;652;17;1;634;651;38.69%;116;17.82%;271;41.63%;52;7.99%;66;10.14%;70;10.75%;31;4.76%;10;1.54%;18;2.76%
Parlament;2006;2;15;645;161;2;2;157;159;24.96%;57;35.85%;67;42.14%;5;3.14%;8;5.03%;9;5.66%;2;1.26%;2;1.26%;7;4.40%
Parlament;2006;2;16;924;341;3;0;338;341;36.90%;76;22.29%;114;33.43%;51;14.96%;31;9.09%;51;14.96%;5;1.47%;1;0.29%;9;2.64%
Parlament;2006;3;1;1302;707;8;3;696;704;54.30%;206;29.26%;229;32.53%;106;15.06%;58;8.24%;58;8.24%;12;1.70%;12;1.70%;15;2.13%
Parlament;2006;3;2;1030;584;11;0;573;584;56.70%;176;30.14%;172;29.45%;93;15.92%;57;9.76%;51;8.73%;17;2.91%;3;0.51%;4;0.68%
Parlament;2006;3;3;1166;547;9;0;538;547;46.91%;127;23.22%;205;37.48%;65;11.88%;50;9.14%;56;10.24%;14;2.56%;10;1.83%;11;2.01%
Parlament;2006;3;4;903;382;4;2;376;380;42.30%;84;22.11%;157;41.32%;40;10.53%;37;9.74%;39;10.26%;6;1.58%;5;1.32%;8;2.11%
Parlament;2006;3;5;1248;706;16;0;690;706;56.57%;271;38.39%;151;21.39%;132;18.70%;38;5.38%;68;9.63%;12;1.70%;10;1.42%;8;1.13%
Parlament;2006;3;6;1207;748;17;4;727;744;61.97%;280;37.63%;162;21.77%;130;17.47%;42;5.65%;78;10.48%;21;2.82%;5;0.67%;9;1.21%
Parlament;2006;3;7;1299;782;21;1;760;781;60.20%;294;37.64%;155;19.85%;124;15.88%;47;6.02%;94;12.04%;29;3.71%;9;1.15%;8;1.02%
Parlament;2006;3;8;1257;549;6;4;539;545;43.68%;82;15.05%;296;54.31%;19;3.49%;61;11.19%;36;6.61%;25;4.59%;6;1.10%;14;2.57%
Parlament;2006;3;9;1444;825;11;3;811;822;57.13%;243;29.56%;221;26.89%;104;12.65%;75;9.12%;103;12.53%;30;3.65%;16;1.95%;19;2.31%
Parlament;2006;3;10;1641;579;9;1;569;578;35.28%;65;11.25%;293;50.69%;31;5.36%;78;13.49%;48;8.30%;25;4.33%;9;1.56%;20;3.46%
Parlament;2006;3;11;1209;326;8;0;318;326;26.96%;75;23.01%;146;44.79%;20;6.13%;34;10.43%;19;5.83%;19;5.83%;2;0.61%;3;0.92%
Parlament;2006;3;12;1623;739;9;6;724;733;45.53%;126;17.19%;286;39.02%;43;5.87%;150;20.46%;56;7.64%;44;6.00%;11;1.50%;8;1.09%
Parlament;2006;3;13;458;208;2;1;205;207;45.41%;42;20.29%;100;48.31%;17;8.21%;16;7.73%;19;9.18%;1;0.48%;3;1.45%;7;3.38%
Parlament;2006;3;14;1196;535;8;3;524;532;44.73%;100;18.80%;218;40.98%;56;10.53%;82;15.41%;47;8.83%;8;1.50%;4;0.75%;9;1.69%
Parlament;2006;3;15;833;460;12;0;448;460;55.22%;125;27.17%;136;29.57%;41;8.91%;54;11.74%;53;11.52%;19;4.13%;7;1.52%;13;2.83%
Parlament;2006;3;16;650;319;6;0;313;319;49.08%;53;16.61%;175;54.86%;14;4.39%;32;10.03%;19;5.96%;13;4.08%;2;0.63%;5;1.57%
Parlament;2006;3;17;951;394;5;0;389;394;41.43%;60;15.23%;184;46.70%;35;8.88%;47;11.93%;28;7.11%;21;5.33%;7;1.78%;7;1.78%
Parlament;2006;3;18;828;281;11;0;270;281;33.94%;52;18.51%;115;40.93%;26;9.25%;28;9.96%;31;11.03%;10;3.56%;1;0.36%;7;2.49%
Parlament;2006;3;19;998;489;5;2;482;487;49.00%;94;19.30%;220;45.17%;41;8.42%;42;8.62%;42;8.62%;19;3.90%;9;1.85%;15;3.08%
Parlament;2006;3;20;1118;565;13;1;551;564;50.54%;152;26.95%;199;35.28%;79;14.01%;43;7.62%;52;9.22%;12;2.13%;6;1.06%;8;1.42%
Parlament;2006;4;1;1014;685;23;4;658;681;67.55%;308;45.23%;82;12.04%;102;14.98%;58;8.52%;80;11.75%;18;2.64%;3;0.44%;7;1.03%
Parlament;2006;4;2;1143;724;10;5;709;719;63.34%;354;49.24%;107;14.88%;110;15.30%;35;4.87%;84;11.68%;6;0.83%;5;0.70%;8;1.11%
Parlament;2006;4;3;1231;751;15;3;733;748;61.01%;298;39.84%;146;19.52%;129;17.25%;74;9.89%;63;8.42%;10;1.34%;4;0.53%;9;1.20%
Parlament;2006;4;4;1080;631;12;2;617;629;58.43%;219;34.82%;168;26.71%;80;12.72%;59;9.38%;73;11.61%;8;1.27%;4;0.64%;6;0.95%
Parlament;2006;4;5;1070;564;11;3;550;561;52.71%;192;34.22%;122;21.75%;91;16.22%;39;6.95%;60;10.70%;21;3.74%;10;1.78%;15;2.67%
Parlament;2006;4;6;1355;722;20;4;698;718;53.28%;160;22.28%;280;39.00%;74;10.31%;56;7.80%;75;10.45%;26;3.62%;10;1.39%;17;2.37%
Parlament;2006;4;7;1678;743;16;2;725;741;44.28%;164;22.13%;312;42.11%;80;10.80%;65;8.77%;64;8.64%;18;2.43%;12;1.62%;10;1.35%
Parlament;2006;4;8;666;348;10;2;336;346;52.25%;77;22.25%;141;40.75%;21;6.07%;41;11.85%;46;13.29%;6;1.73%;0;0.00%;4;1.16%
Parlament;2006;4;9;757;298;8;0;290;298;39.37%;39;13.09%;156;52.35%;17;5.70%;35;11.74%;23;7.72%;7;2.35%;4;1.34%;9;3.02%
Parlament;2006;4;10;544;236;3;0;233;236;43.38%;22;9.32%;134;56.78%;20;8.47%;19;8.05%;20;8.47%;11;4.66%;2;0.85%;5;2.12%
Parlament;2006;4;11;575;271;1;0;270;271;47.13%;47;17.34%;144;53.14%;30;11.07%;17;6.27%;20;7.38%;5;1.85%;3;1.11%;4;1.48%
Parlament;2006;4;12;996;566;19;9;538;557;56.83%;160;28.73%;175;31.42%;72;12.93%;45;8.08%;57;10.23%;12;2.15%;11;1.97%;6;1.08%
Parlament;2006;4;13;1227;778;20;1;757;777;63.41%;269;34.62%;179;23.04%;120;15.44%;77;9.91%;91;11.71%;9;1.16%;5;0.64%;7;0.90%
Parlament;2006;4;14;955;670;12;4;654;666;70.16%;352;52.85%;96;14.41%;88;13.21%;37;5.56%;54;8.11%;18;2.70%;3;0.45%;6;0.90%
Parlament;2006;4;15;838;571;22;1;548;570;68.14%;313;54.91%;57;10.00%;77;13.51%;47;8.25%;40;7.02%;10;1.75%;0;0.00%;4;0.70%
Parlament;2006;4;16;977;702;18;4;680;698;71.85%;387;55.44%;74;10.60%;81;11.60%;71;10.17%;44;6.30%;12;1.72%;4;0.57%;7;1.00%
Parlament;2006;4;17;945;655;20;1;634;654;69.31%;251;38.38%;119;18.20%;126;19.27%;56;8.56%;49;7.49%;17;2.60%;4;0.61%;12;1.83%
Parlament;2006;4;18;1484;885;17;2;866;883;59.64%;354;40.09%;214;24.24%;115;13.02%;49;5.55%;92;10.42%;22;2.49%;9;1.02%;11;1.25%
Parlament;2006;4;19;945;501;13;1;487;500;53.02%;151;30.20%;156;31.20%;42;8.40%;58;11.60%;46;9.20%;16;3.20%;9;1.80%;9;1.80%
Parlament;2006;4;20;546;235;3;0;232;235;43.04%;31;13.19%;157;66.81%;9;3.83%;10;4.26%;15;6.38%;4;1.70%;1;0.43%;5;2.13%
Parlament;2006;4;21;840;380;11;1;368;379;45.24%;47;12.40%;210;55.41%;21;5.54%;39;10.29%;31;8.18%;6;1.58%;4;1.06%;10;2.64%
Parlament;2006;4;22;1547;667;18;0;649;667;43.12%;135;20.24%;221;33.13%;80;11.99%;82;12.29%;83;12.44%;40;6.00%;0;0.00%;8;1.20%
Parlament;2006;4;23;1502;652;10;3;639;649;43.41%;142;21.88%;255;39.29%;63;9.71%;60;9.24%;81;12.48%;29;4.47%;0;0.00%;9;1.39%
Parlament;2006;4;24;1209;363;11;1;351;362;30.02%;93;25.69%;114;31.49%;54;14.92%;45;12.43%;33;9.12%;11;3.04%;0;0.00%;1;0.28%
Parlament;2006;4;25;964;506;12;0;494;506;52.49%;144;28.46%;150;29.64%;50;9.88%;65;12.85%;58;11.46%;17;3.36%;5;0.99%;5;0.99%
Parlament;2006;4;26;1021;728;15;2;711;726;71.30%;352;48.48%;110;15.15%;107;14.74%;53;7.30%;65;8.95%;13;1.79%;4;0.55%;7;0.96%
Parlament;2006;5;1;1399;722;23;1;698;721;51.61%;214;29.68%;185;25.66%;89;12.34%;75;10.40%;83;11.51%;43;5.96%;1;0.14%;8;1.11%
Parlament;2006;5;2;1219;506;4;2;500;504;41.51%;88;17.46%;218;43.25%;32;6.35%;63;12.50%;60;11.90%;23;4.56%;5;0.99%;11;2.18%
Parlament;2006;5;3;1454;819;7;9;803;810;56.33%;315;38.89%;193;23.83%;116;14.32%;68;8.40%;68;8.40%;20;2.47%;4;0.49%;19;2.35%
Parlament;2006;5;4;1956;1232;31;1;1200;1231;62.99%;422;34.28%;297;24.13%;178;14.46%;74;6.01%;168;13.65%;35;2.84%;10;0.81%;16;1.30%
Parlament;2006;5;5;728;442;5;1;436;441;60.71%;163;36.96%;99;22.45%;61;13.83%;39;8.84%;52;11.79%;11;2.49%;5;1.13%;6;1.36%
Parlament;2006;5;6;1589;985;22;3;960;982;61.99%;363;36.97%;236;24.03%;155;15.78%;62;6.31%;102;10.39%;24;2.44%;7;0.71%;11;1.12%
Parlament;2006;5;7;844;562;9;4;549;558;66.59%;216;38.71%;117;20.97%;96;17.20%;51;9.14%;51;9.14%;11;1.97%;1;0.18%;6;1.08%
Parlament;2006;5;8;1439;832;11;0;821;832;57.82%;291;34.98%;193;23.20%;132;15.87%;65;7.81%;97;11.66%;26;3.13%;4;0.48%;13;1.56%
