Elecció;Any;Districte;Secció;CiU;Cs;ERC;ICV;PP;PSC;PxC;Reagrupament;SI;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;VOTS_VALIDS;Participació;% CiU;% Cs;% ERC;% ICV;% PP;% PSC;% PXC;% Reagrupament;% SI;Altres;% Altres
Parlament;2010;1;1;513;12;55;27;55;43;4;12;42;1012;807;20;3;784;804;81.72;62.03;1.45;6.65;3.26;6.65;5.2;0.48;1.45;5.08;21;0.0268
Parlament;2010;1;10;330;18;76;50;35;69;6;19;25;918;664;19;1;644;663;74.4;48.32;2.64;11.13;7.32;5.12;10.1;0.88;2.78;3.66;16;0.0248
Parlament;2010;1;11;215;36;30;36;48;118;7;3;18;926;557;27;3;527;554;63.07;36.82;6.16;5.14;6.16;8.22;20.21;1.2;0.51;3.08;16;0.0304
Parlament;2010;1;12;253;27;64;71;57;93;12;5;21;1062;643;19;5;619;638;62.34;38.22;4.08;9.67;10.73;8.61;14.05;1.81;0.76;3.17;16;0.0258
Parlament;2010;1;13;107;22;21;39;55;89;5;2;2;624;369;12;0;357;369;61.06;28.08;5.77;5.51;10.24;14.44;23.36;1.31;0.52;0.52;15;0.042
Parlament;2010;1;14;288;47;40;67;127;224;26;11;18;1589;906;26;2;878;904;58.65;30.9;5.04;4.29;7.19;13.63;24.03;2.79;1.18;1.93;30;0.0342
Parlament;2010;1;15;215;22;53;61;38;122;7;8;18;911;589;21;4;564;585;66.96;35.25;3.61;8.69;10;6.23;20;1.15;1.31;2.95;20;0.0355
Parlament;2010;1;16;508;27;98;86;109;177;20;32;42;1752;1178;32;5;1141;1173;69.06;41.98;2.23;8.1;7.11;9.01;14.63;1.65;2.64;3.47;42;0.0368
Parlament;2010;1;17;604;19;105;91;82;122;15;20;55;1642;1192;34;10;1148;1182;74.67;49.27;1.55;8.56;7.42;6.69;9.95;1.22;1.63;4.49;35;0.0305
Parlament;2010;1;18;161;8;25;18;17;26;4;4;16;423;302;9;3;290;299;73.52;51.77;2.57;8.04;5.79;5.47;8.36;1.29;1.29;5.14;11;0.0379
Parlament;2010;1;19;236;17;35;62;83;117;20;5;23;1018;645;19;10;616;635;65.23;35.54;2.56;5.27;9.34;12.5;17.62;3.01;0.75;3.46;18;0.0292
Parlament;2010;1;2;404;11;86;51;66;42;10;17;42;1104;769;16;2;751;767;71.11;51.46;1.4;10.96;6.5;8.41;5.35;1.27;2.17;5.35;22;0.0293
Parlament;2010;1;20;301;29;58;44;69;95;3;13;24;919;679;20;0;659;679;76.06;43.06;4.15;8.3;6.29;9.87;13.59;0.43;1.86;3.43;23;0.0349
Parlament;2010;1;21;296;35;48;51;58;110;17;8;19;1028;681;25;1;655;680;68.68;41.93;4.96;6.8;7.22;8.22;15.58;2.41;1.13;2.69;13;0.0198
Parlament;2010;1;22;441;16;84;42;78;104;6;18;33;1273;866;23;2;841;864;69.84;49.61;1.8;9.45;4.72;8.77;11.7;0.67;2.02;3.71;19;0.0226
Parlament;2010;1;23;312;29;52;40;75;64;14;12;23;910;672;27;4;641;668;76.81;44.64;4.15;7.44;5.72;10.73;9.16;2;1.72;3.29;20;0.0312
Parlament;2010;1;24;269;8;41;30;41;30;2;11;23;611;478;10;2;466;476;79.87;55.12;1.64;8.4;6.15;8.4;6.15;0.41;2.25;4.71;11;0.0236
Parlament;2010;1;4;494;22;83;59;82;78;6;20;46;1291;949;28;2;919;947;75.68;50.56;2.25;8.5;6.04;8.39;7.98;0.61;2.05;4.71;29;0.0316
Parlament;2010;1;5;379;9;52;43;60;59;5;21;34;917;695;12;4;679;691;77.1;53.61;1.27;7.36;6.08;8.49;8.35;0.71;2.97;4.81;17;0.025
Parlament;2010;1;6;505;11;63;49;89;56;4;15;41;1181;888;13;4;871;884;76.29;56.05;1.22;6.99;5.44;9.88;6.22;0.44;1.66;4.55;38;0.0436
Parlament;2010;1;7;465;22;70;52;67;62;8;12;47;1214;861;22;4;835;857;72.73;52.66;2.49;7.93;5.89;7.59;7.02;0.91;1.36;5.32;30;0.0359
Parlament;2010;1;8;715;23;85;66;115;69;6;18;71;1652;1230;18;10;1202;1220;75.54;57.29;1.84;6.81;5.29;9.21;5.53;0.48;1.44;5.69;34;0.0283
Parlament;2010;1;9;340;9;50;56;47;23;4;17;39;849;613;15;2;596;611;73.97;54.14;1.43;7.96;8.92;7.48;3.66;0.64;2.71;6.21;11;0.0185
Parlament;2010;2;1;114;21;24;46;101;201;29;1;11;1042;595;22;3;570;592;59.21;18.48;3.4;3.89;7.46;16.37;32.58;4.7;0.16;1.78;22;0.0386
Parlament;2010;2;10;70;9;8;28;38;71;11;0;2;454;260;4;2;254;258;58.15;26.52;3.41;3.03;10.61;14.39;26.89;4.17;0;0.76;17;0.0669
Parlament;2010;2;11;117;25;12;26;64;118;30;0;3;853;422;7;2;413;420;50.29;27.27;5.83;2.8;6.06;14.92;27.51;6.99;0;0.7;18;0.0436
Parlament;2010;2;12;94;2;6;22;39;75;19;1;2;631;298;12;2;284;296;49.13;30.32;0.65;1.94;7.1;12.58;24.19;6.13;0.32;0.65;24;0.0845
Parlament;2010;2;14;199;55;32;64;102;134;41;2;17;1362;689;16;3;670;686;51.76;28.23;7.8;4.54;9.08;14.47;19.01;5.82;0.28;2.41;24;0.0358
Parlament;2010;2;15;158;4;9;13;6;62;17;0;3;642;280;2;3;275;277;43.93;56.03;1.42;3.19;4.61;2.13;21.99;6.03;0;1.06;3;0.0109
Parlament;2010;2;16;163;48;31;73;63;91;45;6;11;1116;579;18;0;561;579;53.49;27.3;8.04;5.19;12.23;10.55;15.24;7.54;1.01;1.84;30;0.0535
Parlament;2010;2;17;114;19;8;39;36;90;43;0;1;813;374;2;1;371;373;46.25;30.32;5.05;2.13;10.37;9.57;23.94;11.44;0;0.27;21;0.0566
Parlament;2010;2;2;42;3;6;14;40;99;6;0;3;506;244;11;0;233;244;50.4;16.47;1.18;2.35;5.49;15.69;38.82;2.35;0;1.18;20;0.0858
Parlament;2010;2;3;64;3;7;8;43;95;15;2;0;501;247;5;3;239;244;50.3;25.4;1.19;2.78;3.17;17.06;37.7;5.95;0.79;0;2;0.0084
Parlament;2010;2;4;78;17;6;30;57;144;31;0;0;734;388;12;3;373;385;54.5;19.5;4.25;1.5;7.5;14.25;36;7.75;0;0;10;0.0268
Parlament;2010;2;5;109;20;9;22;62;125;36;0;2;762;410;7;6;397;404;54.72;26.14;4.8;2.16;5.28;14.87;29.98;8.63;0;0.48;12;0.0302
Parlament;2010;2;6;110;20;12;33;63;105;25;0;8;691;406;13;5;388;401;60.64;26.25;4.77;2.86;7.88;15.04;25.06;5.97;0;1.91;12;0.0309
Parlament;2010;2;7;33;6;5;13;35;37;6;0;2;308;153;10;0;143;153;52.92;20.25;3.68;3.07;7.98;21.47;22.7;3.68;0;1.23;6;0.042
Parlament;2010;2;8;107;19;9;32;37;119;32;1;1;723;377;13;1;363;376;53.94;27.44;4.87;2.31;8.21;9.49;30.51;8.21;0.26;0.26;6;0.0165
Parlament;2010;2;9;69;19;12;22;35;106;10;2;3;560;290;5;0;285;290;52.68;23.39;6.44;4.07;7.46;11.86;35.93;3.39;0.68;1.02;7;0.0246
Parlament;2010;3;1;324;40;42;65;86;148;16;14;23;1324;791;14;4;773;787;60.8;40.25;4.97;5.22;8.07;10.68;18.39;1.99;1.74;2.86;15;0.0194
Parlament;2010;3;10;157;26;20;65;103;210;28;4;2;1545;665;13;2;650;663;43.88;23.16;3.83;2.95;9.59;15.19;30.97;4.13;0.59;0.29;35;0.0538
Parlament;2010;3;11;88;29;7;24;75;129;42;1;11;1104;433;10;2;421;431;40.13;19.86;6.55;1.58;5.42;16.93;29.12;9.48;0.23;2.48;15;0.0356
Parlament;2010;3;12;224;73;36;45;199;242;39;0;1;1701;915;24;5;886;910;55.2;23.86;7.77;3.83;4.79;21.19;25.77;4.15;0;0.11;27;0.0305
Parlament;2010;3;13;61;8;6;15;20;58;17;2;3;401;203;6;0;197;203;52.12;29.19;3.83;2.87;7.18;9.57;27.75;8.13;0.96;1.44;7;0.0355
Parlament;2010;3;14;148;8;39;40;83;149;30;4;10;1099;564;25;4;535;560;53.59;25.13;1.36;6.62;6.79;14.09;25.3;5.09;0.68;1.7;24;0.0449
