Elecció;Any;% PxC;Participació;PP;PSC;% ICV;% CUP;% PSC;PACMA;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CiU;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;% CiU;VOTS_NULS;ERC;Districte;NUM_ELECTORS;% ERC;PxC;% PP;ICV;Secció;CUP;Altres;% Altres
Parlament;2012;1.43;76.46;101;183;8.66;2.52;15.39;6;0.5;6.31;1178;11;422;75;1160;1171;35.49;7;191;4;1555;16.06;17;8.49;103;18;30;32;2.76%
Parlament;2012;4.92;59.02;81;213;8.76;3.69;32.72;6;0.92;8.45;648;3;86;55;640;643;13.21;5;69;3;1103;10.6;32;12.44;57;14;24;17;2.66%
Parlament;2012;5;63.21;37;118;7.5;1.07;42.14;2;0.71;6.43;274;6;25;18;266;272;8.93;2;20;6;443;7.14;14;13.21;21;19;3;8;3.01%
Parlament;2012;1.16;81.73;43;72;7.49;3.62;9.3;4;0.52;3.49;768;6;322;27;762;768;41.6;0;167;1;947;21.58;9;5.56;58;10;28;32;4.20%
Parlament;2012;3.67;66.73;84;199;13.14;1.98;28.11;4;0.56;10.45;692;16;98;74;674;690;13.84;2;59;6;1061;8.33;26;11.86;93;5;14;23;3.41%
Parlament;2012;0.39;81.47;76;62;6.8;3.53;8.1;2;0.26;4.05;753;12;352;31;739;751;46.01;2;124;1;939;16.21;3;9.93;52;5;27;10;1.35%
Parlament;2012;2.72;70.94;138;418;11.17;0.87;40.58;10;0.97;8.35;1016;14;118;86;1001;1015;11.46;1;52;5;1452;5.05;28;13.4;115;10;9;27;2.70%
Parlament;2012;1.87;74.53;70;167;10.01;2.27;22.3;8;1.07;9.48;736;13;175;71;723;736;23.36;0;92;3;1005;12.28;14;9.35;75;2;17;34;4.70%
Parlament;2012;4.79;64.9;59;159;16.57;1.2;31.74;7;1.4;15.57;488;13;30;78;473;486;5.99;2;14;6;772;2.79;24;11.78;83;29;6;13;2.75%
Parlament;2012;0.5;83.33;86;91;8.05;1.89;11.45;1;0.13;6.04;782;13;275;48;763;776;34.59;6;158;1;954;19.87;4;10.82;64;20;15;21;2.75%
Parlament;2012;6.46;65.73;75;205;12.92;1.42;22.45;4;0.44;17.2;895;18;126;157;870;888;13.8;7;82;2;1389;8.98;59;8.21;118;14;13;31;3.56%
