Elecció;Any;Participació;PP;PSC;% UNIO.CAT;% JxSí;% CUP;% PSC;PACMA;UNIO.CAT;JxSí;% CSQP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CSQP;Cs;VOTS_CANDIDATURES;VOTS_NULS;Districte;NUM_ELECTORS;% PP;Secció;CUP;Altres;% Altres
Parlament;2015;79.73;45;113;1.41;38.56;5.93;15.96;8;10;273;10.17;1.13;18.93;706;2;72;134;702;2;1;888;6.36;15;42;5;0.71%
Parlament;2015;61.55;51;173;1.41;11.14;2.68;24.4;9;10;79;12.41;1.27;36.67;703;6;88;260;693;4;3;1152;7.19;11;19;4;0.58%
Parlament;2015;86.27;74;43;3.54;62.48;8.35;4.22;1;36;636;3.63;0.1;9.23;1014;4;37;94;1006;4;1;1180;7.27;6;85;0;0.00%
Parlament;2015;63.14;35;117;0.58;9.25;3.76;33.82;3;2;32;10.4;0.87;26.59;342;4;36;92;337;1;4;548;10.12;20;13;7;2.08%
Parlament;2015;77.85;94;176;1.46;25.71;7.78;16.1;10;16;281;12.35;0.91;25.07;1087;6;135;274;1077;4;4;1404;8.6;6;85;6;0.56%
Parlament;2015;74.98;62;143;2.25;29.65;6.54;16.12;10;20;263;13.75;1.13;20.74;880;7;122;184;869;4;3;1183;6.99;20;58;7;0.81%
Parlament;2015;81.7;31;94;2.28;28.1;6.85;13.41;10;16;197;13.84;1.43;27.96;698;3;97;196;694;1;5;858;4.42;29;48;5;0.72%
Parlament;2015;80.76;24;69;1.48;36.54;8.14;10.21;6;10;247;12.43;0.89;24.26;672;4;84;164;667;1;5;837;3.55;19;55;8;1.20%
Parlament;2015;76.53;71;147;1.67;19.7;7.71;13.66;15;18;212;15.43;1.39;31.69;1071;5;166;341;1060;6;2;1406;6.6;14;83;7;0.66%
Parlament;2015;85.26;64;91;3.78;51.93;8.64;7.63;2;45;619;6.04;0.17;14.43;1187;5;72;172;1174;8;1;1398;5.37;22;103;6;0.51%
Parlament;2015;79.68;59;98;2.85;50.81;9.65;9.96;11;28;500;7.32;1.12;10.16;977;7;72;100;966;4;4;1235;6;3;95;3;0.31%
Parlament;2015;71.94;60;149;1.19;25.33;6.06;17.72;12;10;213;13.44;1.43;26.28;838;3;113;221;832;3;6;1169;7.13;2;51;3;0.36%
