Elecció;Any;Districte;Secció;Junts;Participació;PP;PSC;% CUP;% PSC;% Junts;PACMA;% CECP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CECP;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;VOTS_NULS;ERC;Districte;NUM_ELECTORS;% ERC;% PP;Secció;CUP;Altres;% Altres
Parlament;2017;1;1;443;88.22;31;58;5.66;6.2;47.33;4;2.78;0.43;11.11;930;6;26;104;921;927;3;202;1;1061;21.58;3.31;1;53;0;0
Parlament;2017;1;2;336;85.92;36;57;6.24;6.03;35.52;4;4.86;0.42;12.68;934;12;46;120;916;928;6;257;1;1101;27.17;3.81;2;59;1;0.11
Parlament;2017;1;4;475;89.65;38;87;7.82;6.36;34.72;8;5.63;0.58;14.04;1360;8;77;192;1352;1360;0;366;1;1526;26.75;2.78;4;107;2;0.15
Parlament;2017;1;5;311;89.09;27;56;7.04;6.47;35.91;3;6.35;0.35;16.97;864;2;55;147;859;861;3;198;1;972;22.86;3.12;5;61;1;0.12
Parlament;2017;1;6;414;88.49;40;64;5.68;6.17;39.88;1;3.56;0.1;14.74;1032;6;37;153;1020;1026;6;251;1;1173;24.18;3.85;6;59;1;0.1
Parlament;2017;1;7;451;87.69;58;89;5.9;7.39;37.46;14;3.74;1.16;16.45;1198;6;45;198;1191;1197;1;263;1;1373;21.84;4.82;7;71;2;0.17
Parlament;2017;1;8;673;88.29;42;118;4.8;6.99;39.85;11;6.1;0.65;13.38;1680;9;103;226;1662;1671;9;406;1;1913;24.04;2.49;8;81;2;0.12
Parlament;2017;1;9;350;86.22;28;42;8.49;4.63;38.59;2;4.63;0.22;14.77;905;2;42;134;903;905;0;226;1;1052;24.92;3.09;9;77;2;0.22
Parlament;2017;1;10;277;89.93;10;84;5.43;9.7;31.99;1;6.35;0.12;14.32;862;4;55;124;858;862;0;259;1;963;29.91;1.15;10;47;1;0.12
Parlament;2017;1;11;133;84.91;22;122;5.32;15.82;17.25;8;7.52;1.04;26.98;767;4;58;208;763;767;0;167;1;908;21.66;2.85;11;41;4;0.52
Parlament;2017;1;12;183;83.02;25;120;3.17;13.13;20.02;5;11.27;0.55;21.88;909;5;103;200;900;905;4;234;1;1101;25.6;2.74;12;29;1;0.11
Parlament;2017;1;13;35;82.3;19;107;2.91;20.74;6.78;10;11.24;1.94;34.88;512;4;58;180;507;511;1;82;1;627;15.89;3.68;13;15;1;0.2
