Elecció;Any;Districte;Secció;Cens;Votants;Participació;Abstenció;VOTS_CANDIDATURES;VOTS_VALIDS;PSC;% PSC ;ERC;% ERC;Junts;% Junts;VOX;% VOX;ECP;% ECP;CUP;% CUP;Cs;% Cs;PP;%  PP;Altres;% Altres;PdeCat;% PdeCat
Parlament;2021;1;1;1089;761;69.88%;328;737;749;65;8.68%;126;16.82%;350;46.73%;30;4.01%;25;3.34%;68;9.08%;19;2.54%;27;3.60%;27;3.66%;25;3.34%
Parlament;2021;1;2;1109;743;67.00%;366;727;732;66;9.02%;172;23.50%;255;34.84%;23;3.14%;31;4.23%;78;10.66%;17;2.32%;34;4.64%;51;7.02%;42;5.74%
Parlament;2021;1;4;1546;1061;68.63%;485;1049;1053;131;12.44%;232;22.03%;360;34.19%;42;3.99%;69;6.55%;95;9.02%;33;3.13%;28;2.66%;59;5.62%;41;3.89%
Parlament;2021;1;5;1025;722;70.44%;303;710;718;93;12.95%;168;23.40%;217;30.22%;26;3.62%;46;6.41%;62;8.64%;21;2.92%;32;4.46%;45;6.34%;38;5.29%
Parlament;2021;1;6;1217;848;69.68%;369;832;844;83;9.83%;203;24.05%;272;32.23%;41;4.86%;32;3.79%;64;7.58%;33;3.91%;33;3.91%;71;8.53%;57;6.75%
Parlament;2021;1;7;1422;943;66.32%;479;924;932;124;13.30%;182;19.53%;323;34.66%;63;6.76%;30;3.22%;73;7.83%;23;2.47%;43;4.61%;63;6.82%;48;5.15%
Parlament;2021;1;8;1966;1324;67.34%;642;1301;1319;148;11.22%;303;22.97%;461;34.95%;56;4.25%;64;4.85%;97;7.35%;48;3.64%;45;3.41%;79;6.07%;66;5.00%
Parlament;2021;1;9;1044;701;67.15%;343;686;696;67;9.63%;152;21.84%;215;30.89%;44;6.32%;32;4.60%;66;9.48%;26;3.74%;32;4.60%;52;7.58%;42;6.03%
Parlament;2021;1;10;986;629;63.79%;357;618;623;104;16.69%;171;27.45%;167;26.81%;29;4.65%;33;5.30%;72;11.56%;9;1.44%;10;1.61%;23;3.72%;20;3.21%
Parlament;2021;1;11;929;496;53.39%;433;488;491;133;27.09%;111;22.61%;64;13.03%;33;6.72%;42;8.55%;35;7.13%;31;6.31%;19;3.87%;20;4.10%;10;2.04%
Parlament;2021;1;12;1106;600;54.25%;506;587;591;144;24.37%;139;23.52%;110;18.61%;36;6.09%;59;9.98%;37;6.26%;30;5.08%;12;2.03%;20;3.41%;8;1.35%
Parlament;2021;1;13;653;314;48.09%;339;305;311;118;37.94%;61;19.61%;12;3.86%;44;14.15%;22;7.07%;9;2.89%;15;4.82%;16;5.14%;8;2.62%;1;0.32%
Parlament;2021;1;14;1580;787;49.81%;793;769;779;245;31.45%;133;17.07%;111;14.25%;85;10.91%;64;8.22%;32;4.11%;43;5.52%;37;4.75%;19;2.47%;10;1.28%
Parlament;2021;1;15;934;520;55.67%;414;505;515;153;29.71%;112;21.75%;93;18.06%;27;5.24%;41;7.96%;24;4.66%;29;5.63%;10;1.94%;16;3.17%;11;2.14%
Parlament;2021;1;16;1817;1054;58.01%;763;1030;1040;217;20.87%;262;25.19%;282;27.12%;50;4.81%;44;4.23%;67;6.44%;34;3.27%;26;2.50%;48;4.66%;35;3.37%
Parlament;2021;1;17;1694;1106;65.29%;588;1080;1092;159;14.56%;253;23.17%;362;33.15%;37;3.39%;66;6.04%;85;7.78%;26;2.38%;30;2.75%;62;5.74%;42;3.85%
Parlament;2021;1;18;461;346;75.05%;115;342;345;37;10.72%;75;21.74%;108;31.30%;12;3.48%;26;7.54%;39;11.30%;15;4.35%;12;3.48%;18;5.26%;17;4.93%
Parlament;2021;1;19;1144;617;53.93%;527;602;609;148;24.30%;149;24.47%;83;13.63%;51;8.37%;46;7.55%;43;7.06%;32;5.25%;27;4.43%;23;3.82%;11;1.81%
Parlament;2021;1;20;1065;709;66.57%;356;690;700;132;18.86%;162;23.14%;185;26.43%;35;5.00%;44;6.29%;51;7.29%;37;5.29%;21;3.00%;23;3.33%;12;1.71%
Parlament;2021;1;21;1088;591;54.32%;497;577;582;128;21.99%;139;23.88%;106;18.21%;38;6.53%;46;7.90%;39;6.70%;28;4.81%;21;3.61%;32;5.55%;16;2.75%
Parlament;2021;1;22;1418;912;64.32%;506;892;903;150;16.61%;214;23.70%;242;26.80%;61;6.76%;46;5.09%;59;6.53%;43;4.76%;33;3.65%;44;4.93%;26;2.88%
Parlament;2021;1;23;980;687;70.10%;293;674;681;147;21.59%;148;21.73%;152;22.32%;53;7.78%;50;7.34%;38;5.58%;25;3.67%;24;3.52%;37;5.49%;32;4.70%
Parlament;2021;1;24;650;459;70.62%;191;449;454;38;8.37%;104;22.91%;196;43.17%;12;2.64%;23;5.07%;27;5.95%;10;2.20%;12;2.64%;27;6.01%;23;5.07%
Parlament;2021;2;1;1043;444;42.57%;599;440;441;171;38.78%;70;15.87%;30;6.80%;63;14.29%;31;7.03%;10;2.27%;33;7.48%;21;4.76%;11;2.50%;2;0.45%
Parlament;2021;2;2;439;148;33.71%;291;143;144;58;40.28%;22;15.28%;16;11.11%;17;11.81%;5;3.47%;4;2.78%;15;10.42%;5;3.47%;1;0.70%;0;0.00%
Parlament;2021;2;3;796;244;30.65%;552;235;237;116;48.95%;24;10.13%;12;5.06%;30;12.66%;14;5.91%;8;3.38%;16;6.75%;13;5.49%;2;0.85%;0;0.00%
Parlament;2021;2;4;670;254;37.91%;416;248;251;114;45.42%;33;13.15%;9;3.59%;30;11.95%;22;8.76%;2;0.80%;15;5.98%;18;7.17%;5;2.02%;0;0.00%
Parlament;2021;2;5;827;332;40.15%;495;327;329;140;42.55%;57;17.33%;10;3.04%;36;10.94%;28;8.51%;10;3.04%;31;9.42%;12;3.65%;3;0.92%;3;0.90%
Parlament;2021;2;6;724;313;43.23%;411;306;309;109;35.28%;33;10.68%;30;9.71%;52;16.83%;26;8.41%;14;4.53%;17;5.50%;12;3.88%;13;4.25%;5;1.62%
Parlament;2021;2;8;757;291;38.44%;466;283;288;102;35.42%;47;16.32%;15;5.21%;51;17.71%;26;9.03%;9;3.13%;23;7.99%;3;1.04%;7;2.47%;1;0.35%
Parlament;2021;2;9;1105;439;39.73%;666;433;436;154;35.32%;74;16.97%;30;6.88%;43;9.86%;45;10.32%;15;3.44%;32;7.34%;26;5.96%;14;3.23%;7;1.61%
Parlament;2021;2;11;850;342;40.24%;508;334;335;120;35.82%;50;14.93%;16;4.78%;50;14.93%;21;6.27%;15;4.48%;35;10.45%;17;5.07%;10;2.99%;2;0.60%
Parlament;2021;2;12;667;189;28.34%;478;184;184;71;38.59%;27;14.67%;7;3.80%;20;10.87%;15;8.15%;6;3.26%;22;11.96%;9;4.89%;7;3.80%;3;1.60%
Parlament;2021;2;14;1465;626;42.73%;839;614;617;207;33.55%;100;16.21%;40;6.48%;91;14.75%;62;10.05%;18;2.92%;72;11.67%;16;2.59%;8;1.30%;2;0.32%
Parlament;2021;2;15;578;128;22.15%;450;127;127;44;34.65%;13;10.24%;3;2.36%;29;22.83%;11;8.66%;0;0.00%;18;14.17%;3;2.36%;6;4.72%;2;1.57%
Parlament;2021;2;16;1573;717;45.58%;856;706;709;221;31.17%;148;20.87%;56;7.90%;110;15.51%;55;7.76%;33;4.65%;47;6.63%;16;2.26%;20;2.83%;8;1.13%
Parlament;2021;2;17;1442;498;34.54%;944;485;488;172;35.25%;86;17.62%;27;5.53%;74;15.16%;35;7.17%;25;5.12%;40;8.20%;14;2.87%;12;2.47%;0;0.00%
Parlament;2021;3;1;1304;657;50.38%;647;640;647;148;22.87%;168;25.97%;113;17.47%;47;7.26%;43;6.65%;38;5.87%;45;6.96%;18;2.78%;20;3.13%;14;2.16%
Parlament;2021;3;2;1116;567;50.81%;549;550;553;138;24.95%;128;23.15%;89;16.09%;46;8.32%;44;7.96%;41;7.41%;27;4.88%;14;2.53%;23;4.18%;7;1.26%
Parlament;2021;3;3;1185;540;45.57%;645;531;533;184;34.52%;95;17.82%;66;12.38%;61;11.44%;40;7.50%;19;3.56%;41;7.69%;14;2.63%;11;2.07%;2;0.38%
Parlament;2021;3;4;950;379;39.89%;571;370;375;117;31.20%;65;17.33%;33;8.80%;38;10.13%;43;11.47%;14;3.73%;25;6.67%;22;5.87%;13;3.51%;5;1.33%
Parlament;2021;3;5;1747;945;54.09%;802;930;937;203;21.66%;232;24.76%;204;21.77%;39;4.16%;70;7.47%;68;7.26%;56;5.98%;19;2.03%;39;4.19%;22;2.35%
Parlament;2021;3;6;1571;867;55.19%;704;844;855;150;17.54%;230;26.90%;212;24.80%;42;4.91%;51;5.96%;59;6.90%;29;3.39%;24;2.81%;47;5.57%;35;4.09%
Parlament;2021;3;7;1639;841;51.31%;798;830;837;169;20.19%;218;26.05%;183;21.86%;62;7.41%;55;6.57%;56;6.69%;37;4.42%;22;2.63%;28;3.37%;19;2.27%
Parlament;2021;3;8;1539;660;42.88%;879;643;652;249;38.19%;90;13.80%;25;3.83%;98;15.03%;66;10.12%;18;2.76%;44;6.75%;32;4.91%;21;3.27%;3;0.46%
Parlament;2021;3;14;1122;419;37.34%;703;406;410;140;34.15%;65;15.85%;43;10.49%;65;15.85%;26;6.34%;26;6.34%;24;5.85%;11;2.68%;6;1.48%;1;0.24%
Parlament;2021;3;15;889;469;52.76%;420;458;460;138;30.00%;90;19.57%;45;9.78%;50;10.87%;47;10.22%;23;5.00%;35;7.61%;16;3.48%;14;3.06%;5;1.09%
Parlament;2021;3;16;701;306;43.65%;395;298;301;124;41.20%;25;8.31%;7;2.33%;44;14.62%;26;8.64%;8;2.66%;34;11.30%;23;7.64%;7;2.35%;1;0.33%
Parlament;2021;3;17;843;332;39.38%;511;326;328;147;44.82%;36;10.98%;4;1.22%;39;11.89%;29;8.84%;9;2.74%;36;10.98%;13;3.96%;13;3.99%;2;0.61%
Parlament;2021;3;18;754;392;51.99%;362;384;390;126;32.31%;69;17.69%;18;4.62%;61;15.64%;30;7.69%;13;3.33%;43;11.03%;13;3.33%;11;2.86%;5;1.28%
Parlament;2021;3;19;883;347;39.30%;536;335;338;134;39.64%;45;13.31%;21;6.21%;45;13.31%;26;7.69%;8;2.37%;39;11.54%;15;4.44%;2;0.60%;1;0.29%
Parlament;2021;3;20;1172;523;44.62%;649;506;510;138;27.06%;130;25.49%;84;16.47%;32;6.27%;40;7.84%;29;5.69%;33;6.47%;6;1.18%;14;2.77%;7;1.37%
Parlament;2021;4;1;1066;695;65.20%;371;689;691;76;11.00%;137;19.83%;236;34.15%;37;5.35%;35;5.07%;51;7.38%;22;3.18%;40;5.79%;55;7.98%;47;6.80%
Parlament;2021;4;2;1124;701;62.37%;423;683;693;89;12.84%;163;23.52%;240;34.63%;27;3.90%;36;5.19%;58;8.37%;22;3.17%;11;1.59%;37;5.42%;35;5.05%
Parlament;2021;4;3;1285;718;55.88%;567;708;713;120;16.83%;204;28.61%;178;24.96%;40;5.61%;54;7.57%;57;7.99%;22;3.09%;21;2.95%;12;1.69%;9;1.26%
Parlament;2021;4;4;1156;605;52.34%;551;593;600;125;20.83%;153;25.50%;114;19.00%;35;5.83%;39;6.50%;36;6.00%;49;8.17%;14;2.33%;28;4.72%;20;3.33%
Parlament;2021;4;5;1237;585;47.29%;652;554;562;122;21.71%;154;27.40%;104;18.51%;38;6.76%;38;6.76%;25;4.45%;32;5.69%;17;3.02%;24;4.33%;13;2.31%
Parlament;2021;4;6;1455;691;47.49%;764;681;687;185;26.93%;162;23.58%;88;12.81%;82;11.94%;47;6.84%;37;5.39%;49;7.13%;18;2.62%;13;1.91%;5;0.73%
Parlament;2021;4;7;1849;767;41.48%;1082;746;757;207;27.34%;163;21.53%;77;10.17%;113;14.93%;72;9.51%;25;3.30%;51;6.74%;20;2.64%;18;2.41%;9;1.19%
Parlament;2021;4;8;968;390;40.29%;578;378;383;103;26.89%;89;23.24%;46;12.01%;33;8.62%;45;11.75%;22;5.74%;20;5.22%;16;4.18%;4;1.06%;1;0.26%
Parlament;2021;4;9;750;294;39.20%;456;285;290;97;33.45%;56;19.31%;16;5.52%;44;15.17%;22;7.59%;9;3.10%;28;9.66%;8;2.76%;5;1.75%;0;0.00%
Parlament;2021;4;10;708;285;40.25%;423;284;284;118;41.55%;31;10.92%;15;5.28%;50;17.61%;15;5.28%;12;4.23%;24;8.45%;8;2.82%;11;3.87%;1;0.35%
