Elecció;Any;% CUP;NUM_ELECTORS;% VOX;% PSC;VOTS_CANDIDATURES;PP;Junts;% Aliança;CDIS;% PACMA;% Cs;Participació;CUP;ERC;CSEC;% Comuns;Districte;VOX;PSC;Cs;% ERC;% Junts;% PP;Secció;Comuns;Aliança;PACMA;CUSEC;Altres;% Altres
Parlament;2024;4.55%;1423;8.56%;22.30%;946;76;263;3.70%;1;1.16%;0.32%;66.48%;43;155;22;4.44%;1;81;211;3;16.38%;27.80%;8.03%;22;42;35;11;827901022;26;2.75%
Parlament;2024;2.87%;781;14.36%;44.91%;383;33;20;0.52%;4;0.78%;0.52%;49.04%;11;48;21;6.53%;4;55;172;2;12.53%;5.22%;8.62%;21;25;2;3;827904021;12;3.13%
Parlament;2024;2.23%;878;13.15%;43.18%;403;57;33;1.24%;3;0.99%;1.74%;45.90%;9;28;19;4.71%;3;53;174;7;6.95%;8.19%;14.14%;19;19;5;4;827903019;14;3.47%
Parlament;2024;1.59%;1199;17.29%;40.20%;694;90;23;1.59%;6;1.30%;1.15%;57.88%;11;69;28;8.21%;6;120;279;8;9.94%;3.31%;12.97%;28;57;11;9;827906028;17;2.45%
Parlament;2024;2.92%;983;12.48%;34.52%;617;65;75;3.57%;5;1.30%;0.32%;62.77%;18;81;29;5.35%;5;77;213;2;13.13%;12.16%;10.53%;29;33;22;8;827905029;23;3.73%
Parlament;2024;0.55%;974;19.61%;45.86%;362;43;17;0.28%;2;0.83%;1.38%;37.17%;2;25;3;4.42%;2;71;166;5;6.91%;4.70%;11.88%;3;16;1;3;827902003;13;3.59%
Parlament;2024;1.61%;799;18.12%;36.01%;436;56;27;1.38%;3;4.13%;0.69%;54.57%;7;32;18;7.57%;3;79;157;3;7.34%;6.19%;12.84%;18;33;6;18;827903018;18;4.13%
Parlament;2024;0.81%;782;19.51%;36.86%;369;45;2;0.27%;2;1.08%;0.00%;47.19%;23;44;8;5.96%;2;72;136;0;11.92%;6.23%;12.20%;8;22;1;4;827902008;20;5.42%
Parlament;2024;1.83%;1231;23.59%;33.49%;657;67;25;2.59%;6;2.44%;1.98%;53.37%;4;70;26;6.54%;6;155;220;13;10.65%;3.81%;10.20%;26;43;17;16;827906026;27;4.11%
Parlament;2024;6.62%;966;4.42%;15.93%;634;55;245;5.52%;4;0.63%;0.32%;65.63%;42;68;16;5.05%;4;28;101;2;10.73%;38.64%;8.68%;16;32;35;4;827904016;22;3.47%
Parlament;2024;7.37%;1028;5.52%;19.97%;706;42;228;3.82%;1;0.71%;0.42%;68.68%;52;118;10;3.97%;1;39;141;3;16.71%;32.29%;5.95%;10;28;27;5;827901010;23;3.26%
Parlament;2024;2.05%;592;18.77%;35.19%;341;47;19;1.17%;5;0.88%;2.64%;57.60%;7;20;31;9.68%;5;64;120;9;5.87%;5.57%;13.78%;31;33;4;3;827905031;15;4.40%
Parlament;2024;0.90%;1110;26.80%;38.74%;444;56;9;1.35%;7;4.28%;1.35%;40.00%;4;22;3;3.83%;7;119;172;6;4.95%;2.03%;12.61%;3;17;6;19;827907003;14;3.15%
Parlament;2024;2.47%;732;19.78%;36.26%;364;51;30;1.92%;2;0.55%;1.10%;49.73%;9;25;6;5.77%;2;72;132;4;6.87%;8.24%;14.01%;6;21;7;2;827902006;11;3.02%
Parlament;2024;2.12%;1086;15.82%;39.64%;613;72;39;1.31%;5;1.47%;0.65%;56.45%;13;65;2;5.87%;5;97;243;4;10.60%;6.36%;11.75%;2;36;8;9;827905002;27;4.40%
Parlament;2024;3.73%;1258;6.00%;20.48%;884;74;254;2.60%;4;1.02%;0.68%;70.27%;33;167;17;5.77%;4;53;181;6;18.89%;28.73%;8.37%;17;51;23;9;827904017;33;3.73%
Parlament;2024;0.52%;687;18.60%;41.60%;387;49;20;0.78%;6;1.55%;0.52%;56.33%;2;35;13;5.43%;6;72;161;2;9.04%;5.17%;12.66%;13;21;3;6;827906013;16;4.13%
Parlament;2024;2.99%;961;8.79%;29.00%;569;57;81;2.46%;1;1.41%;0.35%;59.21%;17;98;11;8.79%;1;50;165;2;17.22%;14.24%;10.02%;11;50;14;8;827901011;27;4.75%
Parlament;2024;1.91%;835;16.23%;46.54%;419;55;14;0.95%;3;1.43%;1.91%;50.18%;8;27;17;5.49%;3;68;195;8;6.44%;3.34%;13.13%;17;23;4;6;827903017;11;2.63%
Parlament;2024;2.25%;1430;13.00%;41.50%;800;84;59;1.50%;5;0.75%;0.75%;55.94%;18;87;14;7.75%;5;104;332;6;10.88%;7.38%;10.50%;14;62;12;6;827905014;30;3.75%
Parlament;2024;3.70%;952;6.63%;26.35%;649;69;148;4.01%;5;1.54%;0.62%;68.17%;24;97;27;6.78%;5;43;171;4;14.95%;22.80%;10.48%;27;44;26;10;827905027;13;2.00%
Parlament;2024;1.19%;1346;19.11%;34.22%;675;65;66;3.11%;5;1.93%;0.89%;50.15%;8;77;13;5.04%;5;129;231;6;11.41%;9.78%;9.63%;13;34;21;13;827905013;25;3.70%
Parlament;2024;2.06%;998;11.34%;31.75%;485;42;76;3.30%;4;1.44%;1.44%;48.60%;10;66;8;7.22%;4;55;154;7;13.61%;15.67%;8.66%;8;35;16;7;827904008;17;3.51%
Parlament;2024;2.45%;1617;15.13%;39.71%;899;100;54;2.89%;6;0.89%;1.11%;55.60%;22;97;10;6.01%;6;136;357;10;10.79%;6.01%;11.12%;10;54;26;8;827906010;35;3.89%
Parlament;2024;5.24%;1193;4.48%;22.63%;782;74;200;3.32%;1;0.77%;1.28%;65.55%;41;126;20;6.91%;1;35;177;10;16.11%;25.58%;9.46%;20;54;26;6;827901020;33;4.22%
Parlament;2024;1.15%;687;22.52%;48.47%;262;18;10;0.76%;2;1.15%;0.76%;38.14%;3;21;12;4.20%;2;59;127;2;8.02%;3.82%;6.87%;12;11;2;3;827902012;6;2.29%
Parlament;2024;1.26%;523;20.50%;40.17%;239;27;10;0.42%;4;2.09%;0.42%;45.70%;3;25;20;6.28%;4;49;96;1;10.46%;4.18%;11.30%;20;15;1;5;827904020;7;2.93%
Parlament;2024;1.07%;1576;18.34%;31.72%;845;70;66;4.97%;2;3.20%;1.18%;53.62%;9;107;16;7.10%;2;155;268;10;12.66%;7.81%;8.28%;16;60;42;27;827902016;31;3.67%
Parlament;2024;6.27%;1229;4.56%;13.34%;877;78;339;3.99%;1;1.03%;0.91%;71.36%;55;120;6;4.33%;1;40;117;8;13.68%;38.65%;8.89%;6;38;35;9;827901006;38;4.33%
Parlament;2024;1.76%;946;9.78%;32.88%;511;67;75;0.98%;5;1.57%;0.98%;54.02%;9;59;32;8.41%;5;50;168;5;11.55%;14.68%;13.11%;32;43;5;8;827905032;22;4.31%
Parlament;2024;4.80%;1065;5.37%;14.41%;708;53;248;5.23%;1;0.85%;0.85%;66.48%;34;125;9;4.94%;1;38;102;6;17.66%;35.03%;7.49%;9;35;37;6;827901009;24;3.39%
Parlament;2024;1.73%;1071;22.94%;38.96%;462;47;23;1.73%;6;0.87%;2.81%;43.14%;8;30;20;5.84%;6;106;180;13;6.49%;4.98%;10.17%;20;27;8;4;827906020;16;3.46%
Parlament;2024;2.05%;1541;21.29%;35.96%;634;62;34;3.47%;2;2.52%;1.74%;41.14%;13;60;17;3.94%;2;135;228;11;9.46%;5.36%;9.78%;17;25;22;16;827902017;28;4.42%
Parlament;2024;2.64%;986;12.26%;44.72%;530;60;33;2.08%;5;0.57%;0.75%;53.75%;14;52;10;7.36%;5;65;237;4;9.81%;6.23%;11.32%;10;39;11;3;827905010;12;2.26%
Parlament;2024;3.52%;1496;11.95%;32.70%;795;90;84;3.77%;4;2.52%;0.63%;53.14%;28;98;6;6.42%;4;95;260;5;12.33%;10.57%;11.32%;6;51;30;20;827904006;34;4.28%
Parlament;2024;4.51%;1535;6.76%;23.28%;932;82;226;4.83%;5;1.07%;0.54%;60.72%;42;156;3;6.76%;5;63;217;5;16.74%;24.25%;8.80%;3;63;45;10;827905003;23;2.47%
Parlament;2024;3.05%;589;11.28%;30.18%;328;26;45;3.05%;5;1.22%;0.61%;55.69%;10;57;12;9.15%;5;37;99;2;17.38%;13.80%;7.93%;12;30;10;4;827905012;8;2.44%
Parlament;2024;3.32%;995;3.17%;14.48%;663;52;299;4.68%;1;0.75%;0.60%;66.63%;22;97;8;3.02%;1;21;96;4;14.63%;44.95%;7.84%;8;20;31;5;827901008;16;2.41%
