Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;VOTS_VALIDS;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;PP;% PP;ICV / Comuns;% ICV / Comuns;Cs;% Cs;CUP;% CUP;VOX;% VOX;PxC;% PxC;Reagrupament;% Reagrupament;SI;% SI;Aliança;% Aliança;PACMA;% PACMA;Unió;% Unió;JxSí;% JxSí;Altres;% Altres;Verds;% Verds
Parlament;2006;1;1;1041;767;23;1;743;766;73.68%;61;7.96%;463;60.44%;93;12.14%;62;8.09%;44;5.74%;3;0.39%;;;;;;;;;;;;;;;;;;;12;1.57%;5;0.65%
Parlament;2006;1;2;1089;765;18;0;747;765;70.25%;60;7.84%;379;49.54%;130;16.99%;63;8.24%;69;9.02%;19;2.48%;;;;;;;;;;;;;;;;;;;21;2.75%;6;0.78%
Parlament;2006;1;4;1228;865;27;4;834;861;70.44%;86;9.99%;399;46.34%;146;16.96%;76;8.83%;89;10.34%;17;1.97%;;;;;;;;;;;;;;;;;;;16;1.86%;5;0.58%
Parlament;2006;1;5;863;639;13;1;625;638;74.04%;80;12.54%;304;47.65%;93;14.58%;59;9.25%;66;10.34%;10;1.57%;;;;;;;;;;;;;;;;;;;12;1.88%;1;0.16%
Parlament;2006;1;6;1845;1310;24;4;1282;1306;71.00%;150;11.49%;633;48.47%;193;14.78%;118;9.04%;125;9.57%;23;1.76%;;;;;;;;;;;;;;;;;;;35;2.68%;5;0.38%
Parlament;2006;1;7;1194;832;11;2;819;830;69.68%;112;13.49%;398;47.95%;129;15.54%;89;10.72%;58;6.99%;16;1.93%;;;;;;;;;;;;;;;;;;;15;1.81%;2;0.24%
Parlament;2006;1;8;1295;901;22;4;875;897;69.58%;90;10.03%;460;51.28%;142;15.83%;83;9.25%;70;7.80%;14;1.56%;;;;;;;;;;;;;;;;;;;6;0.67%;10;1.11%
Parlament;2006;1;9;798;562;11;1;550;561;70.43%;64;11.41%;287;51.16%;97;17.29%;46;8.20%;46;8.20%;3;0.53%;;;;;;;;;;;;;;;;;;;2;0.36%;5;0.89%
Parlament;2006;1;10;905;618;14;1;603;617;68.29%;106;17.18%;231;37.44%;131;21.23%;33;5.35%;76;12.32%;14;2.27%;;;;;;;;;;;;;;;;;;;9;1.46%;3;0.49%
Parlament;2006;1;11;909;526;16;0;510;526;57.87%;172;32.70%;137;26.05%;72;13.69%;45;8.56%;50;9.51%;20;3.80%;;;;;;;;;;;;;;;;;;;11;2.09%;3;0.57%
Parlament;2006;1;12;1073;566;13;0;553;566;52.75%;139;24.56%;189;33.39%;101;17.84%;45;7.95%;35;6.18%;21;3.71%;;;;;;;;;;;;;;;;;;;17;3.00%;6;1.06%
Parlament;2006;1;13;620;298;7;0;291;298;48.06%;119;39.93%;60;20.13%;24;8.05%;36;12.08%;38;12.75%;8;2.68%;;;;;;;;;;;;;;;;;;;5;1.68%;1;0.34%
Parlament;2006;1;14;1621;838;18;6;814;832;51.70%;275;33.05%;207;24.88%;105;12.62%;113;13.58%;69;8.29%;31;3.73%;;;;;;;;;;;;;;;;;;;7;0.84%;7;0.84%
Parlament;2006;1;15;940;553;10;1;542;552;58.83%;154;27.90%;166;30.07%;101;18.30%;37;6.70%;58;10.51%;12;2.17%;;;;;;;;;;;;;;;;;;;3;0.54%;11;1.99%
Parlament;2006;1;16;1786;1119;17;2;1100;1117;62.65%;245;21.93%;384;34.38%;229;20.50%;84;7.52%;113;10.12%;26;2.33%;;;;;;;;;;;;;;;;;;;13;1.16%;6;0.54%
